cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,validation_label,notes
2019,ART MUSEUM COMPLEX - CAPITAL,18,ART MUSEUM,Interior and Exterior Improvements,ART.1.1,,2021,2023,Make infrastructure improvements required for life safety basic operations.,Make infrastructure improvements required for life safety basic operations.,,18000.0,,6000.0,6000.0,6000.0,,,,
2019,ART MUSEUM COMPLEX - CAPITAL,18,ART MUSEUM,Philadelphia Museum of Art - Building Rehabilitation-FY19,ART.1A,,2020,2020,See description under line item 1.,See description under line item 1.,,10000.0,10000.0,,,,,,,
2019,,21,PHILADELPHIA INTERNATIONAL AIRPORT,Airfield Area,AVN.2.1,,2020,2025,"This program includes the areas of the Airport reserved aircraft operations and aircraft-related activities, and other equipment on the Airport.","This program includes the areas of the Airport reserved aircraft operations and aircraft-related activities, and other equipment on the Airport.",,628633.0,104900.0,104175.0,104251.0,104849.0,104958.0,105500.0,,
2019,,21,PHILADELPHIA INTERNATIONAL AIRPORT,Terminal Area,AVN.3.1,,2020,2025,"This program includes the Airport passenger terminal buildings, including the areas available for baggage handling systems, and the sidewalk and curb adjacent to the landside of the terminal buildings","This program includes the Airport passenger terminal buildings, including the areas available for baggage handling systems, and the sidewalk and curb adjacent to the landside of the terminal buildings",,857876.0,141150.0,142000.0,142225.0,143000.0,144550.0,144951.0,,
2019,,21,PHILADELPHIA INTERNATIONAL AIRPORT,Terminal Area-FY19,AVN.3A,,2020,2020,See description under line item 3.,See description under line item 3.,,15000.0,15000.0,,,,,,,
2019,,22,PHILADELPHIA INTERNATIONAL AIRPORT,Outside Terminal Area (OTA),AVN.4.1,,2020,2025,"This program includes the Airport arrival and departure roadways, and areas on which a hotel, parking facilities, rental entities operate.","This program includes the Airport arrival and departure roadways, and areas on which a hotel, parking facilities, rental entities operate.",,448425.0,73141.0,74151.0,74630.0,75150.0,75601.0,75752.0,,
2019,,23,PHILADELPHIA INTERNATIONAL AIRPORT,Other Airport Services,AVN.5.1,,2020,2025,"This program includes expenses and airport revenues are not directly accounted for in the Airfield Area, Terminal or Outside Terminal Area. Also included here are PNE","This program includes expenses and airport revenues are not directly accounted for in the Airfield Area, Terminal or Outside Terminal Area. Also included here are PNE",,506911.0,82549.0,83360.0,84150.0,84651.0,85950.0,86251.0,,
2019,COMMERCIAL DEVELOPMENT,26,COMMERCE,Neighborhood Commercial Centers-Site Improvements,COM.6.1,,2021,2025,"Upgrade curbs, sidewalks, lighting, landscaping, and parking commercial corridors to complement public and private investment.","Upgrade curbs, sidewalks, lighting, landscaping, and parking commercial corridors to complement public and private investment.",,12500.0,,2500.0,2500.0,2500.0,2500.0,2500.0,validated,
2019,COMMERCIAL DEVELOPMENT,26,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY19,COM.6A,,2020,2020,See description under line item 6.,See description under line item 6.,,4000.0,4000.0,,,,,,,
2019,COMMERCIAL DEVELOPMENT,26,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY17,COM.6B,,2020,2020,See description under line item 6.,See description under line item 6.,,3996.0,3996.0,,,,,,,
2019,COMMERCIAL DEVELOPMENT,26,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY16,COM.6C,,2020,2020,See description under line item 6.,See description under line item 6.,,9168.0,9168.0,,,,,,,
2019,COMMERCIAL DEVELOPMENT,27,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY14,COM.6E,,2020,2020,See description under line item 6.,See description under line item 6.,,1724.0,1724.0,,,,,,,
2019,INDUSTRIAL DEVELOPMENT,28,COMMERCE,Lower Schuylkill River Industrial District,COM.7.1,,2023,2025,Improve infrastructure and access to industrial land adjoining the Lower Schuylkill River.,Improve infrastructure and access to industrial land adjoining the Lower Schuylkill River.,,1500.0,,,,500.0,500.0,500.0,,
2019,INDUSTRIAL DEVELOPMENT,28,COMMERCE,Industrial Districts-FY17,COM.7A,,2020,2020,See description under line item 7.,See description under line item 7.,,3000.0,3000.0,,,,,,,
2019,INDUSTRIAL DEVELOPMENT,28,COMMERCE,Navy Yard Infrastructure Improvements,COM.8.1,,2020,2025,Make infrastructure improvements in support of public private development.,Make infrastructure improvements in support of public private development.,,9100.0,6100.0,1000.0,500.0,500.0,500.0,500.0,,
2019,INDUSTRIAL DEVELOPMENT,29,COMMERCE,Environmental Assessment/Remediation,COM.9.1,,2022,2025,Provide environmental assessment and remedial assistance City properties with contamination issues.,Provide environmental assessment and remedial assistance City properties with contamination issues.,,2000.0,,,500.0,500.0,500.0,500.0,,
2019,INDUSTRIAL DEVELOPMENT,29,COMMERCE,Environmental Assessment/Remediation-FY15,COM.9A,,2020,2020,See description under line item 9.,See description under line item 9.,,400.0,400.0,,,,,,,
2019,INDUSTRIAL DEVELOPMENT,29,COMMERCE,"Improvements, Engineering and Administration",COM.10.1,,2020,2020,"Conduct engineering, architectural, and environmental related to land acquisition and development.","Conduct engineering, architectural, and environmental related to land acquisition and development.",,5000.0,5000.0,,,,,,,
2019,INDUSTRIAL DEVELOPMENT,30,COMMERCE,Acquisition and Improvements,COM.11.1,,2020,2020,Purchase and improve industrial sites throughout Philadelphia.,Purchase and improve industrial sites throughout Philadelphia.,,12000.0,12000.0,,,,,,,
2019,INDUSTRIAL DEVELOPMENT,30,COMMERCE,PIDC Landbank Acquisition & Improvements-FY19,COM.11A,,2020,2020,See description under line item 11.,See description under line item 11.,,3000.0,3000.0,,,,,,,
2019,INDUSTRIAL DEVELOPMENT,30,COMMERCE,PIDC Landbank Acquisition & Improvements-FY18,COM.11B,,2020,2020,See description under line item 11.,See description under line item 11.,,3000.0,3000.0,,,,,,,
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Penn's Landing Improvements,COM.12.1,,2020,2024,Make improvements to Penn's Landing.,Make improvements to Penn's Landing.,,80000.0,10000.0,10000.0,20000.0,20000.0,20000.0,,,
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Master Plan Implementation,COM.12.2,,2020,2025,"Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.","Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.",,3000.0,500.0,500.0,500.0,500.0,500.0,500.0,,
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,General Site Improvements,COM.12.3,,2020,2025,Implement infrastructure and site improvements in support public and private development.,Implement infrastructure and site improvements in support public and private development.,,3000.0,500.0,500.0,500.0,500.0,500.0,500.0,,
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Central Delaware River Waterfront-FY17,COM.12B,,2020,2020,See description under line item 12.,See description under line item 12.,,16160.0,16160.0,,,,,,,
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill Riverfront Improvements,COM.13.1,,2020,2025,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,,14000.0,3000.0,6000.0,1500.0,1500.0,1500.0,500.0,,
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill River Waterfront-FY19,COM.13A,,2020,2020,See description under line item 13.,See description under line item 13.,,7000.0,7000.0,,,,,,,
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill River Waterfront-FY17,COM.13B,,2020,2020,See description under line item 13.,See description under line item 13.,,16550.0,16550.0,,,,,,,
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront,COM.14.1,,2020,2025,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,,3250.0,750.0,500.0,500.0,500.0,500.0,500.0,,
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront-FY19,COM.14A,,2020,2020,See description under line item 14.,See description under line item 14.,,500.0,500.0,,,,,,,
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront-FY17,COM.14B,,2020,2020,See description under line item 14.,See description under line item 14.,,3420.0,3420.0,,,,,,,
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront-FY16,COM.14C,,2020,2020,See description under line item 14.,See description under line item 14.,,850.0,850.0,,,,,,,
2019,CAPITAL PROJECTS,37,FINANCE,Administration - ITEF,FIN.15.1,,2020,2025,Fund critical renovations and other improvements to City-owned facilities.,Fund critical renovations and other improvements to City-owned facilities.,,26585.0,21585.0,1000.0,1000.0,1000.0,1000.0,1000.0,,
2019,CAPITAL PROJECTS,37,FINANCE,Improvements to Facilities-FY19,FIN.15A,,2020,2020,See description under line item 15.,See description under line item 15.,,7622.0,7622.0,,,,,,,
2019,CAPITAL PROJECTS,38,FINANCE,Improvements to Facilities-FY16,FIN.15D,,2020,2020,See description under line item 15.,See description under line item 15.,,500.0,500.0,,,,,,,
2019,CAPITAL PROJECTS,38,FINANCE,Improvements to Facilities-FY14,FIN.15F,,2020,2020,See description under line item 15.,See description under line item 15.,,140.0,140.0,,,,,,,
2019,CAPITAL PROJECTS,38,FINANCE,New Voting Machines-FY19,FIN.16A,,2020,2020,See description under line item 16.,See description under line item 16.,,40000.0,40000.0,,,,,,,
2019,CAPITAL PROJECTS,39,FINANCE,City Council - ITEF CD1,FIN.17.1,,2020,2025,Fund critical renovations and other improvements to City-owned sites as needed.,Fund critical renovations and other improvements to City-owned sites as needed.,,3060.0,510.0,510.0,510.0,510.0,510.0,510.0,,
2019,CAPITAL PROJECTS,39,FINANCE,City Council - ITEF CD1-FY18,FIN.17B,,2020,2020,See description under line item 17.,See description under line item 17.,,510.0,510.0,,,,,,,
2019,CAPITAL PROJECTS,39,FINANCE,City Council - ITEF CD1-FY16,FIN.17D,,2020,2020,See description under line item 17.,See description under line item 17.,,42.0,42.0,,,,,,,
2019,CAPITAL PROJECTS,40,FINANCE,City Council - ITEF CD1-FY14,FIN.17F,,2020,2020,See description under line item 17.,See description under line item 17.,,9.0,9.0,,,,,,,
2019,CAPITAL PROJECTS,40,FINANCE,City Council - ITEF CD2,FIN.18.1,,2020,2025,Fund critical renovations and other improvements to City-owned sites as needed.,Fund critical renovations and other improvements to City-owned sites as needed.,,3060.0,510.0,510.0,510.0,510.0,510.0,510.0,,
2019,CAPITAL PROJECTS,40,FINANCE,City Council - ITEF CD2-FY19,FIN.18A,,2020,2020,See description under line item 18.,See description under line item 18.,,510.0,510.0,,,,,,,
2019,CAPITAL PROJECTS,41,FINANCE,City Council - ITEF CD2-FY17,FIN.18C,,2020,2020,See description under line item 18.,See description under line item 18.,,235.0,235.0,,,,,,,
2019,CAPITAL PROJECTS,41,FINANCE,City Council - ITEF CD2-FY15,FIN.18E,,2020,2020,See description under line item 18.,See description under line item 18.,,225.0,225.0,,,,,,,
2019,CAPITAL PROJECTS,41,FINANCE,City Council - ITEF CD2-FY14,FIN.18F,,2020,2020,See description under line item 18.,See description under line item 18.,,125.0,125.0,,,,,,,
2019,CAPITAL PROJECTS,41,FINANCE,City Council - ITEF CD2-FY13,FIN.18G,,2020,2020,See description under line item 18.,See description under line item 18.,,9.0,9.0,,,,,,,
2019,CAPITAL PROJECTS,42,FINANCE,City Council - ITEF CD2-FY11,FIN.18I,,2020,2020,See description under line item 18.,See description under line item 18.,,141.0,141.0,,,,,,,
2019,CAPITAL PROJECTS,42,FINANCE,City Council - ITEF CD3,FIN.19.1,,2020,2025,Fund critical renovations and other improvements to City-owned sites as needed.,Fund critical renovations and other improvements to City-owned sites as needed.,,3060.0,510.0,510.0,510.0,510.0,510.0,510.0,,
2019,CAPITAL PROJECTS,42,FINANCE,City Council - ITEF CD3-FY19,FIN.19A,,2020,2020,See description under line item 19.,See description under line item 19.,,510.0,510.0,,,,,,,
2019,CAPITAL PROJECTS,43,FINANCE,City Council - ITEF CD3-FY17,FIN.19C,,2020,2020,See description under line item 19.,See description under line item 19.,,410.0,410.0,,,,,,,
2019,CAPITAL PROJECTS,43,FINANCE,City Council - ITEF CD3-FY15,FIN.19E,,2020,2020,See description under line item 19.,See description under line item 19.,,410.0,410.0,,,,,,,
2019,CAPITAL PROJECTS,43,FINANCE,City Council - ITEF CD3-FY14,FIN.19F,,2020,2020,See description under line item 19.,See description under line item 19.,,410.0,410.0,,,,,,,
2019,CAPITAL PROJECTS,43,FINANCE,City Council - ITEF CD3-FY13,FIN.19G,,2020,2020,See description under line item 19.,See description under line item 19.,,311.0,311.0,,,,,,,
2019,CAPITAL PROJECTS,44,FINANCE,City Council - ITEF CD3-FY11,FIN.19I,,2020,2020,See description under line item 19.,See description under line item 19.,,210.0,210.0,,,,,,,
2019,CAPITAL PROJECTS,44,FINANCE,City Council - ITEF CD4,FIN.20.1,,2020,2025,Fund critical renovations and other improvements to City-owned sites as needed.,Fund critical renovations and other improvements to City-owned sites as needed.,,3190.0,640.0,510.0,510.0,510.0,510.0,510.0,,
