cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2023,year_2024,year_2025,year_2026,year_2027,year_2028,validation_label,notes
2023,PHILADELPHIA INTERNATIONAL AIRPORT,36,AVIATION,Airfield Area,AVN.2.1,,,,"This program includes the areas of the Airport reserved for XN XN XN XN_ aircraft operations and aircraft-related activities, and other SB SB SB SB SB SB appurtenances on the Airport related to the use of the Airport. FB FB = FB FB",,,,,,,,,,incorrect,
2023,PHILADELPHIA INTERNATIONAL AIRPORT,36,AVIATION,Airfield Area-FY22,AVN.2A,,2028.0,2028.0,See description under line item 2. XT,,,3000.0,,,,,,3000.0,,
2023,PHILADELPHIA INTERNATIONAL AIRPORT,37,AVIATION,Terminal Area,AVN.3.1,,2023.0,2028.0,"This program includes the Airport passenger terminal buildings, including the available for baggage handling systems, areas and the sidewalk and curb adjacent to the landside of the terminal buildings",,,286610.0,105500.0,70699.0,30900.0,25101.0,26750.0,27660.0,,
2023,PHILADELPHIA INTERNATIONAL AIRPORT,37,AVIATION,Terminal Area-FY22,AVN.3A,,2023.0,2023.0,See description under line item 3.,,,2000.0,2000.0,,,,,,corrected,
2023,PHILADELPHIA INTERNATIONAL AIRPORT,37,AVIATION,Outside Terminal Area (OTA),AVN.4.14,,2023.0,2028.0,"This includes the Airport arrival and departure program roadways, and areas on which a hotel, parking facilities, and car rental entities operate.",,,78343.0,36700.0,1201.0,1540.0,12339.0,13104.0,13459.0,corrected,
2023,PHILADELPHIA INTERNATIONAL AIRPORT,38,AVIATION,Outside Terminal Area (OTA)-FY22,AVN.4A,,2023.0,2023.0,See description under line item 4.,,,20000.0,20000.0,,,,,,corrected,
2023,PHILADELPHIA INTERNATIONAL AIRPORT,38,AVIATION,Outside Terminal Area (OTA)-FY21,AVN.4B,,2023.0,2023.0,See description under line item 4.,,,25000.0,25000.0,,,,,,corrected,
2023,PHILADELPHIA INTERNATIONAL AIRPORT,38,AVIATION,Other Airport Services,AVN.5.1,,2023.0,2028.0,"This program includes expenses and airport revenues which are not directly accounted for in the Airfield Area, Terminal Area, or Outside Terminal Area. Also included here are PNE projects.",,,63086.0,12500.0,13781.0,10751.0,3246.0,11158.0,11650.0,corrected,
2023,PHILADELPHIA INTERNATIONAL AIRPORT,38,AVIATION,Other Airport Services-FY22,AVN.5A,,2023.0,2023.0,See description under line item 5. ‘,,,4000.0,4000.0,,,,,,,
2023,COMMERCIAL DEVELOPMENT.,43,COMMERCE,Neighborhood Commercial Centers-Site Improvements,COM.6.4,,2023.0,2028.0,"Upgrade curbs, sidewalks, lighting, landscaping, and parking in commercial corridors to complement public and private investment.",,,9500,1000.0,,1000.0,2500.0,2500.0,2500.0,corrected,
2023,COMMERCIAL DEVELOPMENT.,43,COMMERCE,Market East Public Infrastructure,COM.6.2,,2023.0,2024.0,"Fund improvements to infrastructure in Market Street East area of Center City to support additional commercial, residential, and retail development.",,,3500.0,2000.0,1500.0,,,,,,
2023,COMMERCIAL DEVELOPMENT.,43,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY22,COM.6A,,2023.0,2023.0,See description under line item 6.,,,5100.0,5100.0,,,,,,corrected,
2023,COMMERCIAL DEVELOPMENT.,43,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY21,COM.6B,,2023.0,2023.0,See description under line item 6.,,,500.0,500.0,,,,,,corrected,
2023,COMMERCIAL DEVELOPMENT.,44,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY20,COM.6C,,2023.0,2023.0,See description under line item 6. D. Neighborhood Commercial Centers - Site Improvements-FY See description under line item 6. E. Neighborhood Commercial Centers - Site Improvements-FY See description under line item 6. F. Neighborhood Commercial Centers - Site Improvements-FY See description under line item 6. G. Neighborhood Commercial Centers - Site Improvements-FY See description under line item 6.,,,2500.0,2500.0,,,,,,corrected,
2023,INDUSTRIAL DEVELOPMENT,45,COMMERCE,Lower Schuylkill River Industrial District,COM.7.1,,2023.0,2026.0,"Design, fabrication & installation of streetscape improvements to support development sites in the Innovation District portion of the Lower Schuylkill River.",,,1500.0,500.0,,500.0,500.0,,,,
2023,INDUSTRIAL DEVELOPMENT,45,COMMERCE,Industrial Districts-FY22,COM.7A,,2023.0,2023.0,See description under line item 7.,,,500.0,500.0,,,,,,corrected,
2023,INDUSTRIAL DEVELOPMENT,45,COMMERCE,Industrial Districts-FY21,COM.7B,,2023.0,2023.0,See description under line item 7,,,1000.0,1000.0,,,,,,,
2023,INDUSTRIAL DEVELOPMENT,46,COMMERCE,Industrial Districts-FY17,COM.7C,,2023.0,2023.0,See description under line item 7. D. Industrial Districts-FY See description under line item 7,,,1800.0,1800.0,,,,,,,
2023,INDUSTRIAL DEVELOPMENT,46,COMMERCE,Navy Yard Infrastructure Improvements,COM.8.1,,2023.0,2024.0,Make infrastructure improvements in support of public and private development.,,,9500.0,4750.0,4750.0,,,,,,
2023,INDUSTRIAL DEVELOPMENT,46,COMMERCE,Navy Yard Infrastructure Improvements-FY17,COM.8A,,2023.0,2023.0,See description under line item 8.,,,3900.0,3900.0,,,,,,corrected,
2023,INDUSTRIAL DEVELOPMENT,47,COMMERCE,Environmental Assessment/Remediation,COM.9.1,,2025.0,2027.0,Provide environmental assessment and remedial assistance to City properties with contamination issues.,,,1500.0,,,500.0,500.0,500.0,,,
2023,INDUSTRIAL DEVELOPMENT,47,COMMERCE,"Improvements, Engineering and Administration",COM.10.1,,2023.0,2027.0,"Conduct architectural, and environmental studies engineering, related to land acquisition and development. al PIDC Landbank Acquisition & Improvements",,,40000.0,10000.0,7500.0,7500.0,7500.0,7500.0,,,
