cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,validation_label,notes
2020,ART MUSEUM COMPLEX - CAPITAL,19,ART MUSEUM,Interior and Exterior Improvements,ART.1.1,,2022,2026,Make infrastructure improvements required for life safety basic operations.,Make infrastructure improvements required for life safety basic operations.,,7000.0,,2000.0,2000.0,2000.0,500.0,500.0,,
2020,,21,PHILADELPHIA INTERNATIONAL AIRPORT,Airfield Area,AVN.2.1,,2021,2026,"This program includes the areas of the Airport reserved aircraft operations and aircraft-related activities, and other equipment on the Airport.","This program includes the areas of the Airport reserved aircraft operations and aircraft-related activities, and other equipment on the Airport.",,610699.0,96950.0,97250.0,102999.0,104001.0,104499.0,105000.0,,
2020,,22,PHILADELPHIA INTERNATIONAL AIRPORT,Terminal Area,AVN.3.1,,2021,2026,"This program includes the Airport passenger terminal buildings, including the areas available for baggage handling systems, and the sidewalk and curb adjacent to the landside of the terminal buildings","This program includes the Airport passenger terminal buildings, including the areas available for baggage handling systems, and the sidewalk and curb adjacent to the landside of the terminal buildings",,932499.0,144800.0,162090.0,156499.0,155058.0,157050.0,157002.0,,
2020,,23,PHILADELPHIA INTERNATIONAL AIRPORT,Outside Terminal Area (OTA),AVN.4.1,,2021,2026,"This program includes the Airport arrival and departure roadways, and areas on which a hotel, parking facilities, rental entities operate.","This program includes the Airport arrival and departure roadways, and areas on which a hotel, parking facilities, rental entities operate.",,598802.0,100500.0,95001.0,99000.0,101001.0,101500.0,101800.0,,
2020,,23,PHILADELPHIA INTERNATIONAL AIRPORT,Outside Terminal Area (OTA)-FY19,AVN.4B,,2021,2021,See description under line item 4.,See description under line item 4.,,30000.0,30000.0,,,,,,,
2020,,24,PHILADELPHIA INTERNATIONAL AIRPORT,Other Airport Services,AVN.5.1,,2021,2026,"This program includes expenses and airport revenues are not directly accounted for in the Airfield Area, Terminal or Outside Terminal Area. Also included here are PNE","This program includes expenses and airport revenues are not directly accounted for in the Airfield Area, Terminal or Outside Terminal Area. Also included here are PNE",,332949.0,54200.0,54800.0,55100.0,55149.0,55700.0,58000.0,,
2020,COMMERCIAL DEVELOPMENT,27,COMMERCE,Neighborhood Commercial Centers-Site Improvements,COM.6.1,,2023,2026,"Upgrade curbs, sidewalks, lighting, landscaping, and parking commercial corridors to complement public and private investment.","Upgrade curbs, sidewalks, lighting, landscaping, and parking commercial corridors to complement public and private investment.",,7000.0,,,1000.0,1000.0,2500.0,2500.0,,
2020,COMMERCIAL DEVELOPMENT,27,COMMERCE,Market East Public Infrastructure,COM.6.2,,2021,2023,"Fund improvements to infrastructure in Market Street East of Center City to support additional commercial, residential, retail development.","Fund improvements to infrastructure in Market Street East of Center City to support additional commercial, residential, retail development.",,4500.0,500.0,2000.0,2000.0,,,,,
2020,COMMERCIAL DEVELOPMENT,27,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY20,COM.6A,,2021,2021,See description under line item 6.,See description under line item 6.,,2500.0,2500.0,,,,,,,
2020,COMMERCIAL DEVELOPMENT,27,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY19,COM.6B,,2021,2021,See description under line item 6.,See description under line item 6.,,4000.0,4000.0,,,,,,,
