cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2019,year_2020,year_2021,project_total,start_year,end_year
2018,29,AP1030,AIRPORT TERMINAL AREA IMPROVEMENT,,"The Long Beach Airport's historic terminal building is heavily used on a daily basis. This high usage leads to unforseen repairs and consists of emergency repair to non‐scheduled equipment replacement. The new passenger concourse will require similar as‐needed repairs as the facility ages. The critical need is for the Airport to have the ability to keep the facility operational. The Terminal Improvements Phase II consists of a new ticketing lobby, TSA In‐Line Checked Baggage Screening Facility, baggage claim, Rental Car Facility and a Ground Transportation Center.",0,0,464716,2100000,2000000,2000000,6564716,2019,2021
2018,30,AP1070,AIRFIELD PAVEMENT REHABILITATION,,"Rehabilitation of municipal airport pavement on an as‐ needed basis. Repairs and improvements necessary to comply with Part 139 Certification requirements. Improvements include emergency repairs and unforseen maintenace on utility, pavement, crack sealing and slurry sealing, signage, lighting replacement, pavement marking modifications.",0,0,126138,2000000,2000000,2000000,6126138,2019,2021
2018,35,PW8000,COLORADO LAGOON,,"Repair and rehabilitate the playground area, irrigation systems and fencing at the Colorado Lagoon.",0,0,257565,0,0,150000,407565,2021,2021
2018,36,PW8110,SEAWALL MAINTENANCE AND REPAIR,,"Repairs to the permanent seawalls located at Naples Island. Improvements include the following: new wall system, guard rails, relocation of private docks and pile guides, landscape, sidewalks, public benches, drainage system, access platform, and new street lighting. • N aples Seawall Phase 2",0,0,13536655,750000,0,0,14286655,2019,2019
2018,37,PW8150,LIFEGUARD FACILITIES AND TOWERS,,"Upgrades to lifeguard facilities may include but are not limited to the following: locker rooms, multi‐purpose rooms, storage, and first‐aid rooms. • J unior Lifeguard Rebuild",0,0,714054,250000,0,0,964054,2019,2019
2018,38,PW8230,BEACH RESTROOM REHABILITATION,,"Demolish and construct new restroom/concessions building. The building is comprised of four sections: food concessions, recreational beach rentals, public restrooms, and a playground. • A lamitos Beach Concessions • G ranada Beach Concessions",0,0,8165704,1600000,0,0,9765704,2019,2019
2018,39,PW8310,BEACH PARKING LOTS REHABILITATION,,Upgrades and additions made to existing parking lots. Repaving and grading for better drainage as well as striping of parking lots. • Alamitos Landing Parking Lot,0,0,1039451,500000,0,0,1539451,2019,2019
2018,40,PW8400,TIDELANDS CRITICAL FACILITY REPAIRS,,Funding for project contingencies to address unforeseen expense for existing projects. Design and construct safety and as‐needed repairs at locations to be determined.,0,0,711239,250000,0,0,961239,2019,2019
2018,45,PW4230,PROP A TRANSIT IMPROVEMENTS,,Recreational transit and bus stop improvements at various locations.,0,0,5176963,3000000,3000000,3000000,14176963,2019,2021
2018,46,PW5050,CITYWIDE LED LIGHTING,,Replace conventional high pressure sodium (HPS) lights with light emitting diodes (LEDs) to extend the useful life and reduce energy costs. • Bluff Park Lighting Improvements,0,0,2888795,300000,0,139500,3328295,2019,2021
2018,47,PW5063,MAJOR AND SECONDARY HIGHWAY (ARTERIAL),,"Reconstruction and resurfacing of City streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps and bus pads, and replace pavement markings. Work to be initiated in FY 19: • Anaheim St: Pacific Ave ‐ Atlantic Ave • E. 10th St: Temple Ave ‐ Obispo Ave • Ximeno Ave: Broadway ‐ 4th St • Anaheim St: Gardenia Ave ‐ Temple Ave • Carson St: Clark Ave ‐ Bellflower Blvd • Anaheim St: Alamitos Ave ‐ Gardenia Ave • Long Beach Blvd: 31st St ‐ Wardlow Rd • Del Amo Blvd: Atlantic Ave ‐ Orange Ave • Artesia Blvd: Cherry Ave ‐ Paramount Blvd • E. 10th St: Orange Ave ‐ Cherry Ave • Outer Traffic Circle: PCH ‐ Lakewood Blv • Atherton St: Palo Verde Ave ‐ Knoxville Ave • Willow St: Magnolia Ave ‐ Pacific Ave • Market St: Orange Ave ‐ Cherry Ave • Santa Fe Ave: Willow St ‐ 27th St",0,0,39138668,12000000,16100000,24766261,92004929,2019,2021
2018,48,PW5080,BRIDGE REHABILITATION AND SEISMIC RETROFIT,,"In conjunction with the County of Los Angeles and Caltrans, inspect, repair, upgrade, and retrofit City of Long Beach owned bridges. Perform bridge deck repairs listed in the 2016/2017 County o f Los Angeles condition surveys.",0,0,2273193,400000,500000,500000,3673193,2019,2021
2018,49,PW5151,RESIDENTIAL STREET PROGRAM,,"Repair residential street and alleys through pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include replacement of damaged curbs, gutters, drive approaches, installation of access ramps and r eplacement signage.",0,0,2387099,17073000,17573000,11623000,48656099,2019,2021
2018,50,PW5244,ALLEYS,,"Repair residential alleys through pavement sealing, asphalt overlays, and full reconstruction.",0,0,738102,1800000,1100000,0,3638102,2019,2020
2018,51,PW5251,CITYWIDE INFRASTRUCTURE IMPROVEMENTS,,Reconstruct sidewalk improvements associated with ADA path of travel requests.,0,0,624123,2000000,2000000,2000000,6624123,2019,2021
2018,52,PW5450,ADA RESPONSE PROGRAM,,Construct access ramps and sidewalks on public rights of way based on verified requests.,0,0,466482,500000,500000,500000,1966482,2019,2021
2018,53,PW5500,SIDEWALKS/CURB RAMPS,,Construct curb ramp improvements for compliance with ADA specifications.,0,0,1544401,5000000,5000000,6300000,17844401,2019,2021
2018,54,PWPA_PWPC,PROJECT ADMINISTRATION,,Direct administration associated with administering Local Return programs or projects.,0,0,1641881,1785000,1785000,1785000,6996881,2019,2021
2018,55,PWT010,SUSTAINABLE TRANSPORTATION IMPROVEMENT,,"Design, construct, implement projects and programs to enhance the safety and viability of pedestrian and bicycle routes. • Citywide 8‐80 Connections • 15th Street Bike Boulevard • Long Beach Boulevard Pedestrian Improvements • Willow Street Pedestrian Improvements • Market Street Pedestrian Improvements • 1st Street Pedestrian Gallery • Liveability Initiatives • Grant Matching Funds",0,0,24792052,6000000,3859900,3359900,38011852,2019,2021
2018,56,PWT110,CITYWIDE STRIPING & SIGNAGE PROGRAM,,"Install and replace street name signs and traffic control signs at various locations, as‐needed, throughout the City. • Citywide Wayfinding & Signage",0,0,420588,250000,100000,0,770588,2019,2020
2018,57,PWT130,NEIGHBORHOOD TRAFFIC MITIGATION,,"Enhancements and improvement projects to safety, mobility and active transportation of City neighborhoods.",0,0,701416,250000,250000,250000,1451416,2019,2021
2018,58,PWT190,TRAFFIC & PEDESTRIAN SIGNALS,,"Construct pedestrian related safety improvements and high priority traffic signal safety improvement projects to address accident prone intersections and safety concerns. Implement Countdown Pedestrian Indications intersections flashing beacons at crosswalks, lighting at crosswalks, and crosswalk signals.",0,0,4770841,900000,1000000,1000000,7670841,2019,2021
2018,64,PW3040,GAME COURT REHABILITATION,,Repair and construction of sports courts at the following locations: • El Dorado Regional Park • Los Cerritos Park • Silverado Park,0,0,7548,300000,0,0,307548,2019,2019
2018,65,PW3070,PARK ACQUISITION & DEVELOPMENT,,Acquisition of park land and development of parks throughout the City. Improvements to include the following location: • Davenport Park Phase II,0,0,8294137,1500000,3000000,1000000,13794137,2019,2021
2018,66,PW3130,TREE TRIMMING ‐ PARKS,,Investment into the City’s Urban Forest to include: • Tree Trimming • Tree Planting,0,0,0,495000,0,0,495000,2019,2019
2018,67,PW3220,IRRIGATION SYSTEM REPLACEMENT,,Upgrade and replacement of Citywide park irrigation systems to conserve water and properly maintain landscaping.,0,0,4648280,357500,0,0,5005780,2019,2019
2018,68,PW3250,RESTROOM REHABILITATION,,Repair and rehabilitation of restrooms at the following locations: • Drake Park • El Dorado Regional Park,0,0,102348,990000,0,0,1092348,2019,2019
