cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2026,year_2027,year_2028,project_total,start_year,end_year
2025,35,3701010000,AIRPORT LANDSIDE IMPROVEMENTS,,"The Airport’s landside improvements consists of facilities and areas that support commercial passenger activity at the Airport. The concourse facility, meeter and greeter plaza, concession space, baggage service area, and the the historic terminal building and adjacent roadways are heavily used on a daily basis. This high usage leads to unforeseen repairs to the existing infrastructure and equipment. The upkeep of these facilities and infrastructure are critical to support air travel operations and maintaining an award-winning travel experience.",0,0,3796581,2000000,2000000,2000000,9796581,2026,2028
2025,36,3701020000,AIRPORT AIRFIELD IMPROVEMENTS,,"To comply with Part 139 Certification requirements, the Airport is required to rehabilitate airfield pavement and make repairs and improvements on an as-needed basis. Repairs and improvements include emergency repairs, unforeseen maintenance on utilities, pavement improvements, crack sealing, slurry sealing, signage and lighting replacement and pavement marking modifications.",0,0,4242603,2000000,2000000,2000000,10242603,2026,2028
2025,41,3002080000,MARINA IMPROVEMENTS,,Improvements and repairs of aging Marina facilities. • Alamitos Bay Marina Dock #1 and #2 Installation • Almaitos Bay Marina Restroom Replacement • Alamitos Bay Marina Security Camera System Installation • Alamitos Bay Marina Security Gate Installation • Rainbow Harbor Electrification • Shoreline Marina Restroom Renovation,0,0,9374467,7631450,0,0,17005917,2026,2026
2025,42,3002120000,LAGOON AND WETLANDS IMPROVEMENTS,,Construct water quality and drainage improvements in the wetlands and Colorado Lagoon areas to meet water quality requirements. • Alamitos Bay Water Quality Enhancements • Colorado Lagoon Tide Gates Replacements,0,0,15030945,2000000,0,0,17030945,2026,2026
2025,48,3003000000,CIP ADMINISTRATION,,Continuing administration of ongoing transit and/or paratransit programs or projects. As well as direct administration associated with managing local return programs or projects.,0,0,14242863,8650096,8652000,8652000,40196959,2026,2028
2025,49,3003010000,ADA RAPID RESPONSE,,Construct access ramps and sidewalks on public right-of- way based on verified request.,0,0,338178,800000,800000,800000,2738178,2026,2028
2025,50,3003020000,ALLEY IMPROVEMENTS,,"Repair residential alleys through pavement sealing, asphalt overlays and full reconstruction. • Green Alleys",0,0,670912,853938,2000000,0,3524850,2026,2027
2025,51,3003030000,ARTERIAL CORRIDOR ENHANCEMENTS,,"Design and construct projects that focus on multiple modes of transportation. Improvements along major roadways include transportation facilities that will improve the level of safety for all who traverse the corridors. Vehicles, pedestrians, bicyclist and transit users will experience an improved level of comfort that will proactively encourage multi-modal use. •Shoreline Drive Realignment •Pacific Avenue Protected Bike Lanes •Pacific Avenue Cycle Track •Orange Avenue Backbone Bikeway •Downtown Walkable Corners •Ocean Boulevard Corridor Improvements",0,0,69198786,17259458,11800000,11800000,110058244,2026,2028
2025,52,3003040000,ARTERIAL STREET REHABILITATION,,"Reconstruction and resurfacing of city streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps, bus pads and replace pavement markings. • E. Wardlow Road: San Gabriel Riverbed to ECL • Palo Verde: San Diego Fwy to Willow Street • Clark Avenue: Monlaco Road to North City Limits • Stearns Street: Montair Avenue to Marwick Avenue • Long Beach Blvd: PCH to Willow Street • Del Amo: Orange Ave to Cherry Ave • Spring Street: Junipero Avenue to Redondo Avenue • Carson Street: Orange Avenue to City of Lakewood • Cherry Avenue: Bixby Road to Spring Street • Del Amo Blvd: LBB to Atlantic Avenue • Atherton: Vuelta Grande to E. Atherton Drive",0,0,65974265,14407404,20400000,16025000,116806669,2026,2028
2025,53,3003060000,BIKEWAY AND PEDESTRIAN IMPROVEMENTS,,"Design, construct, implement projects and programs to enhance the safety and viability of pedestrian and bicycle routes.",0,0,90909205,250000,600000,0,91759205,2026,2027
2025,54,3003070000,BRIDGE IMPROVEMENTS,,"In conjunction with the County of Los Angeles and Caltrans, inspect, repair, upgrade, and retrofit City of Long Beach owned bridges. Perform bridge deck repairs listed in the 2016/2017 County of Los Angeles condition surveys.",0,0,46333281,500000,1300000,500000,48633281,2026,2028
2025,55,3003080000,BUS STOP IMPROVEMENTS,,Provides recreational transit services and improvements to bus stops at various locations throughout the City.,0,0,4455238,500000,500000,500000,5955238,2026,2028
2025,56,3003100000,ADA CURB RAMP IMPROVEMENTS,,Construct curb ramp improvements for compliance with ADA specifications.,0,0,15647087,9681805,10283805,2983805,38596502,2026,2028
2025,57,3003170000,RESIDENTIAL STREET IMPROVEMENTS,,"Repair residential streets and alleys through pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include replacement of damaged curbs gutters, drive approaches, installation of access ramps and replacement signage.",0,0,14666781,14429000,28753000,13981000,71829781,2026,2028
2025,58,3003190000,CITYWIDE SINKHOLES,,Apply permanent repair or temporary patching of sinkholes and subsidence in the public right-of-way.,0,0,1125285,250000,1250000,250000,2875285,2026,2028
2025,59,3003200000,SLURRY SEAL,,Repair residential streets through pavement sealing and slurry sealing. Repair work to also include patching the street pavement and installation of traffic striping and markings.,0,0,803667,500000,3000000,1500000,5803667,2026,2028
