cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2022,year_2023,year_2024,project_total,start_year,end_year
2021,27,3701010000,AIRPORT LANDSIDE IMPROVEMENTS,,The Airport’s landside improvements consists of facilities and areas that support commercial passenger activity at the Airport. The post‐security areas such as the concourse facility and the pre‐security areas such as the historic terminal building and adjacent roadways are heavily used on a daily basis. This high usage leads to unforeseen repairs to the existing infrastructure and equipment. The upkeep of these facilities and infrastructure are critical to support air travel operations and maintaining an award‐winning travel experience.,0,0,21081,500000,500000,500000,1521081,2022,2024
2021,28,3701020000,AIRPORT AIRFIELD IMPROVEMENTS,,"To comply with Part 139 Certification requirements, the Airport is required to rehabilitate airfield pavement and make repairs and improvements on an as‐needed basis. Repairs and improvements include emergency repairs, unforeseen maintenance on utilities, pavement improvements, crack sealing, slurry sealing, signage and lighting replacement and pavement marking modifications.",0,0,35156649,500000,500000,500000,36656649,2022,2024
2021,33,3002010000,BEACH AMENITY IMPROVEMENTS,,New play structures and equipment and/or upgrades to existing play structures and equipment. Includes improvements to facilities/infrastructure needed in conjunction with the use of the play areas. • Alamitos Beach Water Play Area • Mobility Mats • Basketball/Skating Area,0,0,946021,400000,0,0,1346021,2022,2022
2021,34,3002020000,BEACH FACILITY IMPROVEMENTS,,Funding for projects and project contingencies to address unforeseen expenses for existing projects. Design and construct safety and as‐needed repairs at beach and marina facilities. • Beach Restroom Door Replacements • Lifeguard Towers,0,0,55693294,200000,500000,0,56393294,2022,2023
2021,35,3002120000,LAGOON AND WETLANDS IMPROVEMENTS,,Construct water quality and drainage improvements in the wetlands and Colorado Lagoon area to meet water quality requirements. • Alamitos Bay Water Quality Improvements,0,0,28144430,250000,0,0,28394430,2022,2022
2021,36,3002130000,BEACH LIGHTING,,Improvements to beach and marina lighting for efficiency and to reduce the amount of energy required to provide a safe environment. • Queensway Bay Bridge LED Ligh(cid:415)ng Improvements,0,0,216393,900000,0,0,1116393,2022,2022
2021,42,3003000000,CIP ADMINISTRATION,,Direct administration associated with managing local return programs or projects.,0,0,6570184,4810301,4810301,4810301,21001087,2022,2024
2021,43,3003010000,ADA RAPID RESPONSE,,Construct access ramps and sidewalks on public right‐of‐ way based on verified request.,0,0,510222,500000,500000,500000,2010222,2022,2024
2021,44,3003020000,ALLEY IMPROVEMENTS,,"Repair residential alleys through pavement sealing, asphalt overlays and full reconstruction.",0,0,1751176,400000,0,0,2151176,2022,2022
2021,45,3003030000,ARTERIAL CORRIDOR ENHANCEMENTS,,"Design and construct projects that focus on multiple modes of transportation. Improvements along major roadways include transportation facilities that will improve the level of safety for all who traverse the corridors. Vehicles, pedestrians, bicyclist and transit users will experience an improved level of comfort that will proactively encourage multi‐modal use. • Anaheim Corridor Safety Improvements • Artesia Great Boulevard • Studebaker Safety Improvements • M arket Street Pedestrian Improvements & Streetscape Enhancements",0,0,30161553,7660000,7210000,7210000,52241553,2022,2024
