cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2022,year_2023,year_2024,project_total,start_year,end_year
2021,46,3003040000,ARTERIAL STREET REHABILITATION,,"Reconstruction and resurfacing of city streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps, bus pads and replace pavement markings.",0,0,47738043,14149599,12756000,13256000,87899642,2022,2024
2021,47,3003060000,BIKEWAY AND PEDESTRIAN IMPROVEMENTS,,"Design, construct, implement projects and programs to enhance the safety and viability of pedestrian and bicycle routes. • Orange Avenue Backbone Bikeway • Pine Avenue Bike Blvd. • Pacific Avenue Cycle Track • Downtown Walkable Streets • Atherton Pedestrian Bridge • Liveability Initatives • Grant Matching Funds",0,0,19663089,1440100,1880100,1880100,24863389,2022,2024
2021,48,3003070000,BRIDGE IMPROVEMENTS,,"In conjunction with the County of Los Angeles and Caltrans, inspect, repair, upgrade, and retrofit City of Long Beach owned bridges. Perform bridge deck repairs listed in the 2016/2017 County of Los Angeles condition surveys.",0,0,32724265,500000,500000,500000,34224265,2022,2024
2021,49,3003100000,ADA CURB RAMP IMPROVEMENTS,,Construct curb ramp improvements for compliance with ADA specifications.,0,0,7445440,15000000,3200000,3000000,28645440,2022,2024
2021,50,3003170000,RESIDENTIAL STREET IMPROVEMENTS,,"Repair residential streets and alleys through pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include replacement of damaged curbs gutters, drive approaches, installation of access ramps and replacement signage.",0,0,10051218,13099000,11499000,11799000,46448218,2022,2024
2021,51,3003190000,CITYWIDE SINKHOLES,,Apply permanent repair or temporary patching of sinkholes and subsidence in the public right‐of‐way.,0,0,948907,250000,250000,250000,1698907,2022,2024
2021,52,3003210000,CITYWIDE STRIPING & SIGNAGE PROGRAM,,"Install and replace street name signs and traffic control signs at various locations, as‐needed, throughout the City.",0,0,2107356,250000,250000,250000,2857356,2022,2024
2021,53,3003220000,TRAFFIC SIGNAL IMPROVEMENTS,,"Construct pedestrian related safety improvements and high priority traffic signal safety improvement projects to address accident prone intersections and safety concerns. Implement pedestrian countdown flashing beacons, improve lighting, and crosswalk signals at various intersections.",0,0,10467249,1700000,350000,350000,12867249,2022,2024
2021,57,3004010000,PARK AMENITY IMPROVEMENTS,,"Improvements, upgrades and maintenance of park amenities. Improvements include: activation of unused park space, increase ADA accessibility, playground structures and fitness equipment.",0,0,5501046,700000,500000,0,6701046,2022,2023
2021,58,3004030000,PARK FACILITY IMPROVEMENTS,,"Improvements to City Park buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • Drake Park ‐ Restroom Replacement",0,0,6168847,500000,500000,0,7168847,2022,2023
2021,59,3004040000,PARK IRRIGATION IMPROVEMENTS,,Upgrade and replacement of citywide park irrigation systems to conserve water and properly maintain landscaping.,0,0,312890,400000,0,0,712890,2022,2022
2021,63,3005010000,FACILITY IMPROVEMENTS,,"Improvements to City buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • Neighborhood Library Branches • Health Department Facilities • Fire Stations • Park Facilities • Convention Center Complex • Fire Academy Building Improvements • Police Academy Building Improvements • New Fire Station 9 • Queen Mary Improvements",0,0,22302745,18232502,16199718,0,56734965,2022,2023
2021,64,3005030000,ENERGY EFFICIENCY IMPROVEMENTS,,Improvements to public facilities to reduce the amount of energy required to provide services.,0,0,2178781,3370000,0,0,5548781,2022,2022
2021,69,3006020000,STORM DRAIN SYSTEM IMPROVEMENTS,,"Construct water quality and drainage improvements citywide. Installation of connector pipe screens (CPS) in existing priority catch basins to meet trash requirements mandated by the State Regional Water Quality Control Board (SRWQCB) and required monitoring, modeling, and implantation actions associated with Total Maximum Daily Loads (TMDLs) as mandated by the State and Federal agencies.",0,0,9080610,3000000,3000000,3000000,18080610,2022,2024
