cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2012,year_2013,year_2014,future_cost,project_total,start_year,end_year
2011,15,Aviation Facilities,Airfield Surface Repair - Love Field,Pavement Maintenance / Construction,Federal AIP Grant / Capital Construction,Citywide,Various,5190822,4826631,364191,0,0,0,0,5190822,,
2011,15,Aviation Facilities,Asbestos Abatement - Love Field,Environmental,Capital Construction,Citywide,Various,4045685,3852247,193438,0,0,0,0,4045685,,
2011,15,Aviation Facilities,Aviation Land Acquisition,Aviation Land Acquisition,Capital Construction,Citywide,Various,18872844,18872844,0,0,0,0,0,18872844,,
2011,15,Aviation Facilities,Baggage Claim Renovation - Love Field,Terminal,Aviation AIP Grant / Capital Construction,Citywide,4th/07,11073824,11022331,51493,0,0,0,0,11073824,,
2011,15,Aviation Facilities,Bio-Explosive Detection System,Safety/Security,Federal AIP Grant,Citywide,Various,1535811,1521724,14087,0,0,0,0,1535811,,
2011,15,Aviation Facilities,Computerized Parking and Taxi System - Love Field,Parking,Capital Construction,Citywide,Various,1461494,1386921,74573,0,0,0,0,1461494,,
2011,15,Aviation Facilities,Construction of Taxi Cab Holding Area,Pavement Maintenance / Construction,Capital Construction,Citywide,4th/11,1091473,1034593,56880,0,0,0,0,1091473,,
2011,15,Aviation Facilities,Controlled Access Security - Love Field,Safety/Security,Capital Construction / Aviation AIP Grant,Citywide,Various,7598820,6929875,668945,0,0,0,0,7598820,,
2011,15,Aviation Facilities,Dallas Executive Stormwater Outflow,Environmental,Aviation AIP Grant / Capital Construction,Citywide,Various,1348773,1027127,321646,0,0,0,0,1348773,,
2011,16,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,Environmental,Aviation AIP Grant / Capital Construction,Citywide,Various,8348484,8255271,93213,0,0,0,0,8348484,,
2011,16,Aviation Facilities,Equipment Maintenance Facility- Dallas Executive Airport,Terminal,Capital Construction,Citywide,1st/11,823727,823727,0,0,0,0,0,823727,,
2011,16,Aviation Facilities,Love Field Modernization Program,Love Field Major Maintenance,Capital Construction,Citywide,Various,6953078,769108,6183970,9371970,0,0,0,16325048,2012,2012
2011,16,Aviation Facilities,Love Field North and West Airfield Lighting Vaults Relocation,Terminal,Aviation AIP Grant,Citywide,4th/11,4209798,3765208,444590,0,0,0,0,4209798,,
2011,16,Aviation Facilities,Maintenance Facility - Love Field,Terminal,Capital Construction,Citywide,4th/11,472446,357099,115347,0,0,0,0,472446,,
2011,16,Aviation Facilities,Master Plan Study - Love Field,Terminal,Federal AIP Grant,Citywide,4th/12,264702,264117,585,0,0,0,0,264702,,
2011,16,Aviation Facilities,Parking Garage Expansion - Love Field,Parking,Capital Construction,Citywide,Various,16738425,16708506,29919,0,0,0,0,16738425,,
2011,16,Aviation Facilities,People-Mover Connector,Love Field Major Maintenance,Aviation AIP Grant,Citywide,Various,5311092,5012736,298356,0,0,0,0,5311092,,
2011,16,Aviation Facilities,Program Management for Love Field Modernization Program (LFMP) and Capital Improvement Projects (CIP),Love Field Major Maintenance,Capital Construction,Citywide,4th/12,10612096,10612096,0,0,0,0,0,10612096,,
2011,16,Aviation Facilities,Public Safety Offices - Love Field,Terminal,Capital Construction,Citywide,4th/12,749937,676476,73461,0,0,0,0,749937,,
2011,16,Aviation Facilities,"Reconstruction and Extension of Taxiway ""L""",Pavement Maintenance / Construction,Aviation AIP Grant,Citywide,4th/11,10517654,9655318,862336,0,0,0,0,10517654,,
2011,16,Aviation Facilities,"Reconstruction of Taxiway ""C""",Pavement Maintenance / Construction,Aviation AIP Grant,Citywide,4th/11,6381037,5118099,1262938,0,0,0,0,6381037,,
2011,17,Aviation Facilities,Replace West Concourse Air Carrier Apron - Love Field,Pavement Maintenance / Construction,Aviation AIP Grant / Capital Construction,Citywide,Various,7608388,7157265,451123,0,0,0,0,7608388,,
2011,17,Aviation Facilities,Runway Enhancement-13L/31R,Pavement Maintenance / Construction,Aviation AIP Grant,Citywide,3rd/11,258294,240796,17498,0,0,0,0,258294,,
2011,17,Aviation Facilities,Runway Safety Area Enhancements,Pavement Maintenance / Construction,Aviation AIP Grant / Capital Construction,Citywide,4th/11,7243379,6759818,483561,0,0,0,0,7243379,,
2011,17,Aviation Facilities,Security Gates and Overlay Runways - Dallas Executive Airport,Pavement Maintenance / Construction,Capital Construction,Citywide,Various,4729170,4051670,677500,0,0,0,0,4729170,,
2011,17,Aviation Facilities,Taxiway or Apron Repairs - Dallas Executive Airport,Pavement Maintenance / Construction,Capital Construction / Federal AIP Grant,Citywide,Various,711724,558344,153381,0,0,0,0,711724,,
2011,17,Aviation Facilities,Terminal Area Redevelopment Plan,Terminal,Federal AIP Grant / Capital Construction,Citywide,3rd/11,1251201,1187412,63789,0,0,0,0,1251201,,
2011,17,Aviation Facilities,Terminal HVAC Upgrade - Love Field,Terminal,Capital Construction,Citywide,4th/11,29717333,29556900,160433,0,0,0,0,29717333,,
2011,17,Aviation Facilities,Terminal Renovation - Dallas Executive Airport,Terminal,Capital Construction / Federal AIP Grant,Citywide,4th/11,8488258,8042681,445577,0,0,0,0,8488258,,
2011,18,Aviation Facilities,TxDot Grants Vehicle Program,Environmental,Federal AIP Grant,Citywide,Various,700000,342177,357823,0,0,0,0,700000,,
2011,18,Aviation Facilities,Vertiport Lighting Upgrade,Terminal,Capital Construction,Citywide,Various,250000,170822,79178,0,0,0,0,250000,,
2011,23,City Facilities,Americans with Disabilities Renovations,Administrative and Internal Service Facilities,95 Bond Program,Citywide,Various,763692,651600,112092,0,0,0,0,763692,,
2011,23,City Facilities,Animal Control Shelter,Animal Control Facilities,03 Bond Program,Citywide,4th/07,12165329,12148383,16946,0,0,0,0,12165329,,
2011,23,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 10),Land Acquisition,06 Bond Program,Citywide,N/A,0,0,0,7250000,6613148,0,0,13863148,2012,2013
2011,23,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 12),Land Acquisition,06 Bond Program,Citywide,N/A,1193791,101542,1092249,0,0,0,0,1193791,,
2011,23,City Facilities,Central Library - 2nd and 6th Floors Renovation,Library Facilities,06 Bond Program,Citywide,4th/11,2227775,1988793,238982,0,0,0,0,2227775,,
2011,23,City Facilities,Central Library - 5th Floor Renovation,Major Maintenance - City Facilities,Donation,Citywide,4th/10,1000000,1000000,0,0,0,0,0,1000000,,
2011,23,City Facilities,Central Library - Downtown Branch,Library Facilities,06 Bond Program,Citywide,3rd/12,2193472,258616,1934856,0,0,0,0,2193472,,
2011,23,City Facilities,Central Library - Improvements,Library Facilities,03 Bond Program,Citywide,4th/10,4870165,4831388,38778,0,0,0,0,4870165,,
2011,23,City Facilities,Central Library - Main Fire Panel,Major Maintenance - Library,06 Bond Program,Citywide,4th/11,153031,88839,64192,0,0,0,0,153031,,
2011,23,City Facilities,Central Library - Replace Electronic HVAC Filters,Major Maintenance - Library,Capital Construction,Citywide,4th/10,254000,253168,832,0,0,0,0,254000,,
2011,23,City Facilities,Central Police - Emergency Generator and HVAC Upgrade,Major Maintenance - Public Safety,06 Bond Program,Citywide,4th/11,746249,0,746249,0,0,0,0,746249,,
2011,23,City Facilities,Central Service Center - Communications Building- Roof Replacement,Major Maintenance - City Facilities,06 Bond Program,Citywide,3rd/09,197716,196850,866,0,0,0,0,197716,,
2011,23,City Facilities,City Hall - Electrical System Renovations,Major Maintenance - City Facilities,06 Bond Program,Citywide,1st/13,1174415,362698,811717,3603600,626400,0,0,5404415,2012,2013
