cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2011,year_2012,year_2013,future_cost,project_total,start_year,end_year
2010,15,Aviation Facilities,Airfield Surface Repair - Love Field,Pavement Maintenance / Construction,Federal AIP Grant / Capital Construction,Citywide,Various,5190822,4826631,364191,0,0,0,0,5190822,,
2010,15,Aviation Facilities,Asbestos Abatement - Love Field,Environmental,Capital Construction,Citywide,Various,4145381,3840445,304936,0,0,0,0,4145381,,
2010,15,Aviation Facilities,Aviation Land Acquisition,Aviation Land Acquisition,Capital Construction,Citywide,Various,18668844,18668844,0,0,0,0,0,18668844,,
2010,15,Aviation Facilities,Baggage Claim Renovation - Love Field,Terminal,Aviation AIP Grant / Capital Construction,Citywide,4th/07,11073824,11051607,22217,0,0,0,0,11073824,,
2010,15,Aviation Facilities,Bio-Explosive Detection System,Safety/Security,Federal AIP Grant,Citywide,Various,1335311,1321224,14087,0,0,0,0,1335311,,
2010,15,Aviation Facilities,Computerized Parking and Taxi System - Love Field,Parking,Capital Construction,Citywide,Various,1461494,1386921,74573,0,0,0,0,1461494,,
2010,15,Aviation Facilities,Construction of Taxi Cab Holding Area,Pavement Maintenance / Construction,Capital Construction,Citywide,4th/11,300000,174807,125193,0,0,0,0,300000,,
2010,15,Aviation Facilities,Controlled Access Security - Love Field,Safety/Security,Capital Construction / Aviation AIP Grant,Citywide,Various,7598820,6931543,667277,0,0,0,0,7598820,,
2010,15,Aviation Facilities,Dallas Executive Stormwater Outflow,Environmental,Aviation AIP Grant / Capital Construction,Citywide,Various,1369479,1027127,342352,0,0,0,0,1369479,,
2010,16,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,Environmental,Aviation AIP Grant / Capital Construction,Citywide,Various,8330743,8202705,128038,0,0,0,0,8330743,,
2010,16,Aviation Facilities,Equipment Maintenance Facility- Dallas Executive Airport,Terminal,Capital Construction,Citywide,1st/11,823064,822717,347,0,0,0,0,823064,,
