cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2019,year_2020,year_2021,year_2022,year_2023,project_total,start_year,end_year
2018,84,Economic Development,Love Field Hotel Project,U_P937,F_0064,2,,1455151,0,1455151,1544849,0,0,0,0,3000000,2019,2019
2018,84,Economic Development,Maple Project Station Public Improvement,U_P790,F_0064,2,,4235748,4443502,-207754,1813816,1760687,189749,0,0,8000000,2019,2021
2018,84,Economic Development,Advances Maple-Mockingbird - Repayment of,U_P565,F_0064,2,,2500453,0,2500453,0,0,0,0,0,2500453,,
2018,84,Economic Development,Alexan Trinity Project,U_P758,F_0034,1,,1017655,230119,787536,2200972,781373,0,0,0,4000000,2019,2020
2018,84,Economic Development,BISHOP ARTS PROJECT PHASE I,U_P930,F_0034,"1, 3",,25000,0,25000,690000,769573,3515427,0,0,5000000,2019,2021
2018,84,Economic Development,Bishop Arts Station Project,U_W059,F_0034,2,,0,0,0,690000,769573,9765427,0,0,11225000,2019,2021
2018,84,Economic Development,DISD – Hogg Elementary,U_W300,F_0034,1,,0,0,0,494584,258637,0,0,0,753221,2019,2020
2018,85,Economic Development,Grand Advances Park South - Repayment of,U_P397,F_0054,7,,214629,0,214629,0,0,0,0,0,214629,,
2018,85,Economic Development,Grand Park South - TIF Administration,U_P396,F_0054,7,,203028,193935,9093,0,0,0,0,0,203028,,
2018,85,Economic Development,Lake Enhancement Highlands Project Gateway Bridge,U_W187,F_0052,10,,0,0,0,35000,0,0,0,0,35000,2019,2019
2018,85,Economic Development,Lake Highlands SDI Project,U_P737,F_S250,10,,2550469,0,2550469,0,0,0,0,0,2550469,,
2018,85,Economic Development,Lake Highlands Town Center,U_P373,F_0052,10,,8343448,8337748,5697,1662251,0,0,0,0,10005699,2019,2019
2018,85,Economic Development,Lakeridge Project,U_W227,F_0052,10,,0,0,0,0,4500630,0,0,0,4500630,2020,2020
2018,85,Economic Development,RISD Public Improvement Reimbursement,U_P684,F_0052,10,,326801,524600,197799,218175,239993,263992,290391,319430,1658782,2019,2023
2018,85,Economic Development,Skillman Advances Corridor TIF - Repayment of,U_P472,F_0052,"4 9,10,13,1",,5080366,25119,5055246,0,0,0,0,0,5080366,,
2018,85,Economic Development,Skillman Corridor TIF District Fund,U_W249,F_0052,"4 9,10,13,1",,34151,17336,16815,0,0,0,0,0,34151,,
2018,85,Economic Development,Cedars Branch Bridge,U_P895,F_0046,2,,0,0,0,0,0,826500,0,0,826500,2021,2021
2018,85,Economic Development,Cedars Branch Town Homes,U_P896,F_0046,14,,0,0,0,0,0,7898366,0,0,7898366,2021,2021
2018,85,Economic Development,Advances Southwestern Medical TIF - Repayment of,U_P469,F_0046,2,,5139154,0,5139154,0,0,0,0,0,5139154,,
2018,85,Economic Development,North Parking Garage Project,U_P729,F_0038,2,,12898608,11385692,1512915,1993035,1993035,1993035,1993035,1993035,22863783,2019,2023
2018,86,Economic Development,Sports Arena Advances,U_Q030,F_0038,"2,6",,1929332,1324015,605317,0,0,0,0,0,1929332,,
2018,86,Economic Development,Sports Arena Increment,U_Q003,F_0038,"2,6,14",,1410943,1367112,43831,0,0,0,0,0,1410943,,
2018,86,Economic Development,Sports Arena Misc-Prof Sv,U_Q026,F_0038,2,,48000,25000,23000,0,0,0,0,0,48000,,
2018,86,Economic Development,Trinity Groves Mixed Use Project,U_P924,F_0038,6,,0,0,0,1914759,3433121,4099738,4285514,216768,13949900,2019,2023
2018,86,Economic Development,Trinity Groves Project,U_P878,F_0038,6,,3505000,1778329,1726671,422409,0,0,0,0,3927409,2019,2019
2018,86,Economic Development,Two-Way Signage Project,U_P898,F_0038,2,,4197559,2073809,2123750,582444,0,0,0,0,4197559,2019,2019
2018,86,Economic Development,Victory Park Lane Public Improvement Pro,jU_P843,F_0038,2,,2340605,1226500,1114105,3282052,665792,0,0,0,6288449,2019,2020
2018,86,Economic Development,Victory South Parking Garage Imp,U_P780,F_0038,2,,3421000,3420000,1000,855000,855000,855000,855000,855000,7696000,2019,2023
2018,86,Economic Development,Victory Sub-District Placemaking,U_P947,F_0038,2,,0,0,0,3462829,0,0,0,0,3462829,2019,2019
2018,86,Economic Development,Victory SU-District Retail,U_W151,F_0038,2,,0,0,0,0,1166666,1166666,1166666,0,3499998,2020,2022
2018,86,Economic Development,Alamo Drafthouse Cinema,U_P948,F_0062,"14 2,4,5,7,8",,301640,301401,239,353206,370867,351830,0,0,1377543,2019,2021
2018,86,Economic Development,District Blvd-Mockingbird/Lovers Lane Sub-,U_P665,F_0062,"2,3,4,8 14",,0,0,0,400000,0,0,0,0,400000,2019,2019
2018,86,Economic Development,TOD - TIF,U_P559,F_0062,"2, 14 3, 4, 8",,3434858,130348,3304510,0,0,0,0,0,3434858,,
2018,86,Economic Development,Transit Advances Oriented - Repayment of,U_P564,F_0062,"2, 14 3, 4, 8",,2349221,0,2349221,0,0,0,0,0,2349221,,
2018,86,Economic Development,Affordable Housing,U_P474,F_0048,13,,0,0,0,555000,0,0,0,0,555000,2019,2019
2018,86,Economic Development,Vickery Meadow Admin,U_P403,F_0048,13,,275000,267161,7839,0,0,0,0,0,275000,,
