cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,year_2009,year_2010,year_2011,year_2012
2008,Pavement Maintenance / Construction,15,Aviation Facilities,Airfield Surface Repair - Love Field,ROW1.1,,,4516327,4516327,0,0,0,0
2008,Pavement Maintenance / Construction,15,Aviation Facilities,Airfield Surface Repair - Love Field,ROW1.2,,,1117777,1117777,0,0,0,0
2008,Environmental,15,Aviation Facilities,Asbestos Abatement - Dallas Executive Airport,ROW2.1,,,302884,302884,0,0,0,0
2008,Environmental,15,Aviation Facilities,Asbestos Abatement - Love Field,ROW2.2,,,4659409,4659409,0,0,0,0
2008,Aviation Land Acquisition,15,Aviation Facilities,Aviation Commercial Development,ROW3.1,,,16604904,16604904,0,0,0,0
2008,Terminal,15,Aviation Facilities,Baggage Claim Renovation - Love Field,ROW4.1,,,11280972,11280972,0,0,0,0
2008,Terminal,15,Aviation Facilities,Baggage Claim Renovation - Love Field,ROW4.2,,,2722253,2722253,0,0,0,0
2008,Parking,15,Aviation Facilities,Computerized Parking and Taxi System - Love Field,ROW5.1,,,1461494,1461494,0,0,0,0
2008,Safety/Security,15,Aviation Facilities,Controlled Access Security - Love Field,ROW6.1,,,6348566,6348566,0,0,0,0
2008,Safety/Security,15,Aviation Facilities,Controlled Access Security - Love Field,ROW6.2,,,2860707,2860707,0,0,0,0
2008,Environmental,15,Aviation Facilities,Dallas Executive Stormwater Outflow,ROW7.1,,,2333332,2333332,0,0,0,0
2008,Environmental,15,Aviation Facilities,Dallas Executive Stormwater Outflow,ROW7.2,,,190877,190877,0,0,0,0
2008,Environmental,15,Aviation Facilities,Drainage Improvements - Love Field,ROW8.1,,,0,0,0,0,0,0
2008,Environmental,16,Aviation Facilities,Electrical System Upgrade - Love Field,ROW9.1,,,63145,63145,0,0,0,0
2008,Environmental,16,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,ROW10.1,,,4990768,4990768,0,0,0,0
2008,Environmental,16,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,ROW10.2,,,2095558,2095558,0,0,0,0
2008,Parking,16,Aviation Facilities,Parking Garage - Love Field,ROW11.1,,,59385000,59385000,0,0,0,0
