cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2016,year_2017,year_2018,currency_unit
2016,Love Field Major Maintenance,16,AVIATION FACILITIES,Airport Perimeter Roads Rehabilitation Sections 1 & 2 (Construction),,,,,,,0.0,3500000.0,3500000.0,0.0,0.0,$K
2016,Love Field Major Maintenance,16,AVIATION FACILITIES,"Airport Perimeter Roads Rehabilitation, Sections 1 & 2 (Design)",,,,,,,1000000.0,1000000.0,0.0,0.0,0.0,$K
2016,Safety/Security,16,AVIATION FACILITIES,ARFF Truck 2 Replacement,,,,,,,2396792.0,2396792.0,0.0,0.0,0.0,$K
2016,Safety/Security,16,AVIATION FACILITIES,ARFF Vehicle,,,,,,,1000000.0,1000000.0,0.0,0.0,0.0,$K
2016,Aviation Land Acquisition,16,AVIATION FACILITIES,Aviation Land Acquisition,,,,,,,19222844.0,19222844.0,0.0,0.0,0.0,$K
2016,Parking,16,AVIATION FACILITIES,Aviation Parking Garage,,,,,,,408145.0,408145.0,0.0,0.0,0.0,$K
2016,Love Field Major Maintenance,16,AVIATION FACILITIES,Aviation Project Contingency,,,,,,,0.0,1000000.0,1000000.0,0.0,0.0,$K
2016,Parking,16,AVIATION FACILITIES,Construct Taxicab Queuing Lot over Tom Braniff Channel (Construction),,,,,,,3684212.0,3684212.0,0.0,0.0,0.0,$K
2016,Pavement Maintenance / Construction,16,AVIATION FACILITIES,Conversion of Runway 18/36 to Taxiway,,,,2017,,,1000000.0,1000000.0,0.0,0.0,0.0,$K
2016,Love Field Major Maintenance,16,AVIATION FACILITIES,Crossfield Taxiway Reconfiguration (Environmental),,,,,,,0.0,150000.0,150000.0,0.0,0.0,$K
2016,Pavement Maintenance / Construction,16,AVIATION FACILITIES,Dallas Executive Airport Runway Replacement,,,,,,,5838793.0,5838793.0,0.0,0.0,0.0,$K
2016,Love Field Major Maintenance,16,AVIATION FACILITIES,Fiber Ring (Design),,,,,,,0.0,1000000.0,1000000.0,0.0,0.0,$K
2016,Love Field Major Maintenance,17,AVIATION FACILITIES,Fiber Ring (Environmental),,,,,,,0.0,150000.0,150000.0,0.0,0.0,$K
2016,Pavement Maintenance / Construction,17,AVIATION FACILITIES,Intersection of 18/36 Reconstruction and Rehabilitation,,,,2017,,,1102660.0,1102660.0,0.0,0.0,0.0,$K
