cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,year_2024,year_2025,year_2026,year_2027,validation_label
2024,Technology,25,Other GO CIP - Debt,City Hall Data Center - Renovations,2024,2024,Citywide,985490,5200000,4214510,0,0,0,
2024,Fire Protection Facilities,25,2024 Bonds,Clothing Warehouse P,2027,2027,2,0,16478,0,0,0,16478,
2024,Public Art,26,Other GO CIP - Debt,Confederate Monument Removal,2024,2024,Citywide,432344,455000,22656,0,0,0,
2024,Major Maintenance,26,Other GO CIP - Non-Debt,Contingency Reserve - Capital Construction,2024,2024,Citywide,3009214,3014104,4890,0,0,0,
2024,Fire Protection Facilities,26,2024 Bonds,Courts Building,2027,2027,14,0,16478,0,0,0,16478,
2024,Cultural Facilities,26,2024 Bonds,Dallas Black Dance Theatre,2027,2027,14,0,3127850,0,0,0,3127850,
2024,Fire Protection Facilities,26,2024 Bonds,Dallas Courts Garage,2027,2027,14,0,16478,0,0,0,16478,
2024,Cultural Facilities,26,2024 Bonds,Dallas Museum of Art,2025,2026,14,0,20014619,0,2001462,18013157,0,
2024,Police Facilities,26,2017 Bonds,Dallas Police Training Academy Facility,2024,2025,Citywide,0,50002000,2000,50000000,0,0,
2024,Fleet/Equipment Replacement,26,Other GO CIP - Debt,DFD Apparatus Replacement,2025,2027,Citywide,0,61000000,0,13800000,11800000,35400000,
2024,Fleet/Equipment Replacement,26,Other GO CIP - Debt,DFD Apparatus/Fleet,2024,2024,Citywide,830301,35600000,34769699,0,0,0,
2024,Fleet/Equipment Replacement,26,Other GO CIP - Debt,DFD-Ambulance Replacement,2024,2024,Citywide,4333943,4513120,179177,0,0,0,
2024,Major Maintenance,26,Other GO CIP - Non-Debt,DFR Facilities Maintenance,2025,2025,Citywide,0,7189523,0,7189523,0,0,
2024,Major Maintenance,26,Other GO CIP - Non-Debt,DFR Improvement Projects FY23,2024,2024,Citywide,913435,1750000,836565,0,0,0,
2024,Fleet/Equipment Replacement,26,Other GO CIP - Debt,DPD Helicopter,2025,2027,Citywide,0,15000000,0,7500000,0,7500000,
2024,Technology,26,Other GO CIP - Debt,DPD In-Car DVR 1/5 Annual Replacement,2024,2024,Citywide,1396128,2799118,1402990,0,0,0,
2024,Technology,27,Other GO CIP - Debt,DPD In-Car DVR Replacement,2025,2027,Citywide,0,7008000,0,1401600,1401600,4204800,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,DPD Squad Cars,2025,2027,Citywide,0,79900000,0,15500000,16100000,48300000,
2024,Technology,27,Other GO CIP - Debt,DPD TAAG Surveillance Camera 1/5 Annual,2024,2024,Citywide,2124548,3188048,1063500,0,0,0,
2024,Technology,27,Other GO CIP - Debt,DPD TAAG Surveillance Camera Replacement,2025,2027,Citywide,0,6937500,0,1063500,1063500,4810500,
2024,Technology,27,Other GO CIP - Debt,EAN - DPD Public Safety Radio Replacement,2024,2024,Citywide,30391642,34800000,4408358,0,0,0,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,EFM - General Fleet,2024,2024,Citywide,7483220,7497824,14604,0,0,0,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,EFM - General Fleet & Equipment,2025,2027,Citywide,0,49049500,0,9809900,9809900,29429700,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,EFM General Fleet Replacement,2025,2027,Citywide,0,41000000,0,8200000,8200000,24600000,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,EFM-General Fleet,,,Citywide,0,0,0,0,0,0,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,Electric Vehicle Infrastructure,2024,2024,Citywide,46470,0,-46470,0,0,0,
2024,City and Municipal Court Facilities,27,2017 Bonds,Electrical Panel Replacement at 37 Facilities,2024,2024,Citywide,199801,1010676,810876,0,0,0,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,Equipment Acquisition Notes,2024,2024,Citywide,30463765,37910000,7446235,0,0,0,
2024,Fire Protection Facilities,27,2024 Bonds,Fire Maintenance C,2027,2027,2,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,27,2024 Bonds,Fire Rookie Bldg B,2027,2027,2,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,27,2024 Bonds,Fire Station #1 - Electrical,2026,2026,6,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #1 - HVAC,2026,2026,6,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #11 Renovation - 3828 Cedar Springs Rd,2026,2027,14,0,10218000,0,0,1021800,9196200,
2024,Fire Protection Facilities,28,2017 Bonds,Fire Station #11B,2024,2024,14,130669,183238,52568,0,0,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #14 - Electrical,2026,2026,1,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #14 - HVAC,2026,2026,1,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #15,2027,2027,1,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #16 - Electrical,2026,2026,6,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #16 - HVAC,2026,2026,6,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #18,2027,2027,14,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #20,2027,2027,13,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #23 - Electrical,2026,2026,4,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #23 - HVAC,2026,2026,4,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #24,2026,2027,7,0,655000,0,0,65500,589500,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #25,2026,2026,8,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #26 - Electrical,2026,2026,1,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #26 - HVAC,2026,2026,1,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #29 - Electrical,2026,2026,10,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #29 - HVAC,2026,2026,10,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #3,2027,2027,2,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #30 - Electrical,2026,2026,6,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #30 - HVAC,2026,2026,6,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,28,2024 Bonds,Fire Station #31,2027,2027,9,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #32,2027,2027,5,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #34 - Electrical,2026,2026,5,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #34 - HVAC,2026,2026,5,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #36,2027,2027,6,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #37,2027,2027,13,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #39 - Electrical,2026,2026,9,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #39 - HVAC,2026,2026,9,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #4 - Electrical,2026,2026,2,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #4 - HVAC,2026,2026,2,0,16478,0,0,16478,0,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #43 Replacement - 2844 Lombardy Ln,2026,2027,6,0,16768000,0,0,4192000,12576000,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #44,2027,2027,7,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #45,2027,2027,6,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #46,2026,2026,3,0,52400,0,0,52400,0,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #47,2027,2027,6,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #49,2027,2027,3,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #5 - Electrical,2026,2027,5,0,52400,0,0,5240,47160,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #5 - Foundation,2026,2027,5,0,589500,0,0,58950,530550,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #5 - HVAC,2027,2027,5,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2017 Bonds,Fire Station #5,2024,2024,5,6400,85000,78600,0,0,0,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #50,2027,2027,3,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #51,2027,2027,5,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,29,2024 Bonds,Fire Station #52 - HVAC,2027,2027,3,0,16478,0,0,0,16478,
2024,Fire Protection Facilities,30,2024 Bonds,Fire Station #52 - Structure,2026,2027,3,0,786000,0,0,78600,707400,
