cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,year_2021,year_2022,year_2023,project_total,start_year,end_year
2020,19,Convention And Event Services,Flatwork around Facility,Convention Center Improvement,Convention Center Capital Program,2,Ongoing,0,50000,100000,150000,2022,2023
2020,19,Convention And Event Services,JOC Projects,Convention Center Improvement,Convention Center Capital Program,2,8/28/2021,0,1375000,1718750,3093750,2022,2023
2020,19,Convention And Event Services,KBHCCD Water Infiltration Project,Convention Center Improvement,Convention Center Capital Program,2,N/A,0,1388641,1000000,2388641,2022,2023
2020,19,Convention And Event Services,Restroom Modernization and Accessibility Improvements,Convention Center Improvement,Convention Center Capital Program,2,9/30/2021,0,1000000,1000000,2000000,2022,2023
2020,19,Convention And Event Services,Spectra Projects,Convention Center Improvement,Convention Center Capital Program,2,Ongoing,0,2428666,2877088,5305754,2022,2023
2020,19,Convention And Event Services,TBAAL Capital Improvements,Convention Center Improvement,Convention Center Capital Program,2,Ongoing,0,720135,720135,1440270,2022,2023
2020,19,Convention And Event Services,War Memorial Repairs,Convention Center Improvement,Convention Center Capital Program,2,9/30/2022,0,50000,0,50000,2022,2022
2020,29,Economic Development,ADOLPHUS TOWER PROJECT,City Center Tax Increment Financing District,Other GO CIP - Non-Debt,14,12/31/2020,11000,2035360,190245,2236605,2021,2023
2020,29,Economic Development,Bishop Arts Station Project,Oak Cliff Gateway Tax Increment Financing District,Other GO CIP - Non-Debt,1,12/31/2018,2539964,2640464,1209689,6390117,2021,2023
2020,29,Economic Development,Cabana Hotel 899 N. Stemmons,Design District Tax Increment Financing District,Other GO CIP - Non-Debt,6,12/31/2025,0,12426579,2573421,15000000,2022,2023
2020,29,Economic Development,Cedars Branch Bridge,Southwestern Medical Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2023,0,826500,0,826500,2022,2022
2020,29,Economic Development,Cedars Branch Town Homes,Southwestern Medical Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2027,1000000,0,0,1000000,2021,2021
2020,29,Economic Development,Cedars Tax Increment,Cedars Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2022,1315647,2024617,0,3340264,2021,2022
2020,29,Economic Development,City Center Tax Increment,City Center Tax Increment Financing District,Other GO CIP - Non-Debt,"2,14",12/31/2038,2584941,2704605,7950489,13240035,2021,2023
2020,29,Economic Development,City Center TIF District Fund - (Corgan Crescent),City Center Tax Increment Financing District,Other GO CIP - Non-Debt,"2,14",12/31/2019,253659,348419,0,602078,2021,2022
2020,29,Economic Development,Community Garden & Futsal Field,Farmers Market Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2018,0,229735,360153,589888,2022,2023
2020,29,Economic Development,Continental Bldg Increment Repayment,Downtown Connection Tax Increment Financing District,Other GO CIP - Non-Debt,14,12/31/2013,150196,150196,150196,450588,2021,2023
2020,29,Economic Development,Continental Gin Redevelopment Project,Deep Ellum Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2024,3000000,0,0,3000000,2021,2021
2020,29,Economic Development,Cypress Waters Phase II Development,Cypress Waters Tax Increment Financing District,Other GO CIP - Non-Debt,6,12/31/2015,4414667,2104728,0,6519395,2021,2022
2020,29,Economic Development,Cypress Waters Repayment of Advances,Cypress Waters Tax Increment Financing District,Other GO CIP - Non-Debt,6,12/31/2041,0,0,181607,181607,2023,2023
2020,29,Economic Development,Dallas Heritage Village,Cedars Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2021,650000,0,0,650000,2021,2021
2020,29,Economic Development,Davis St Between Hampton - Montclaire Public Improvement,Davis Garden Tax Increment Financing District,Other GO CIP - Non-Debt,"1,3",12/31/2011,39418,0,0,39418,2021,2021
2020,29,Economic Development,Debt Service Transfer to PPPF (Red Bird Mall Redev Project),Mall Area Redevelopment TIF District,Other GO CIP - Non-Debt,8,12/31/2033,48000,50000,50000,148000,2021,2023
2020,29,Economic Development,Deep Ellum Repay Dev Adv,Deep Ellum Tax Increment Financing District,Other GO CIP - Non-Debt,"2,7,14",12/31/2027,0,4694375,4835207,9529582,2022,2023
2020,29,Economic Development,Design District TIF - Repayment of Advances,Design District Tax Increment Financing District,Other GO CIP - Non-Debt,"2,6",12/31/2028,7287312,0,6109277,13396589,2021,2023
2020,29,Economic Development,DISD – Hogg Elementary,Oak Cliff Gateway Tax Increment Financing District,Other GO CIP - Non-Debt,1,12/31/2023,785000,0,0,785000,2021,2021
2020,29,Economic Development,Economic Development-ECO,Capital Budget,2017 Bonds,Citywide,9/30/2023,7828874,4828874,4881287,17539035,2021,2023
2020,"29, 30",Economic Development,Farmers Mkt Tax Increment,Farmers Market Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2028,0,571408,3255578,3826986,2022,2023
2020,30,Economic Development,Fire Station 58,Cypress Waters Tax Increment Financing District,Other GO CIP - Non-Debt,6,6/30/2022,0,3400000,5300000,8700000,2022,2023
2020,30,Economic Development,FM Mixed-Use Development,Farmers Market Tax Increment Financing District,Other GO CIP - Non-Debt,2,11/30/2017,2423198,0,0,2423198,2021,2021
2020,30,Economic Development,Fort Worth Ave. - Repayment of Advances,Fort Worth Avenue Tax Increment Financing District,Other GO CIP - Non-Debt,"1,6",12/31/2029,2794867,2878713,2965075,8638655,2021,2023
2020,30,Economic Development,FY20 DWU Fee for Unserved Areas,Water Service to the Unserved,Other GO CIP- Non-Debt,Citywide,Ongoing,2871027,2980910,2980910,8832847,2021,2023
2020,30,Economic Development,Grand Park South - Repayment of Advances,Grand Park South Tax Increment Financing District,Other GO CIP - Non-Debt,7,12/31/2035,216384,222876,229563,668823,2021,2023
2020,30,Economic Development,Housing Transfer Unit,Housing,2017 Bonds,Citywide,Ongoing,1828874,4828874,4881287,11539035,2021,2023
2020,30,Economic Development,IH 30 frontage road (Construction) Project,Davis Garden Tax Increment Financing District,Other GO CIP - Non-Debt,3,12/31/2013,10089,426254,3030938,3467281,2021,2023
2020,30,Economic Development,Imp at 32 Pinnacle Park Blvd (Taylors Farm),Davis Garden Tax Increment Financing District,Other GO CIP - Non-Debt,"1,3",12/31/2011,471140,0,0,471140,2021,2021
2020,30,Economic Development,Improvement at 1214 W. Davis & 1215 West 7th (Kessler Theater),Davis Garden Tax Increment Financing District,Other GO CIP - Non-Debt,3,12/31/2015,139643,0,0,139643,2021,2021
2020,30,Economic Development,INCAP I-30 Frontage Road Project (Design),Davis Garden Tax Increment Financing District,Other GO CIP - Non-Debt,3,12/31/2012,436343,0,0,436343,2021,2021
2020,30,Economic Development,Mall Area Redevelopment TIF Increment,Mall Area Redevelopment TIF District,Other GO CIP - Non-Debt,"8,11",12/31/2044,500341,531242,566117,1597700,2021,2023
2020,30,Economic Development,Maple-Mockingbird - Repayment of Advances,Maple-Mockingbird Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2033,4162364,4287235,4415853,12865452,2021,2023
2020,30,Economic Development,Mid Elm Lofts Project,City Center Tax Increment Financing District,Other GO CIP - Non-Debt,14,12/31/2018,1067784,2804358,0,3872142,2021,2022
2020,30,Economic Development,North Parking Garage Project,Sports Arena Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2028,1993035,1993035,3986071,7972141,2021,2023
2020,30,Economic Development,Oak Cliff Gateway Tax Increment,Oak Cliff Gateway Tax Increment Financing District,Other GO CIP - Non-Debt,1,12/31/2045,884078,1989483,3883253,6756814,2021,2023
2020,30,Economic Development,Olympic Redevelopment Project,Downtown Connection Tax Increment Financing District,Other GO CIP - Non-Debt,14,12/31/2020,22451361,13254271,13671536,49377168,2021,2023
2020,30,Economic Development,Open Space Public Improvements at 888 Stevens Hills Lane (Twelve Hills Nature Center),Davis Garden Tax Increment Financing District,Other GO CIP - Non-Debt,"1,3",12/31/2010,118820,0,0,118820,2021,2021
2020,30,Economic Development,Project Food Access,Capital Budget,2006 Bonds,Citywide,9/30/2023,1400000,0,0,1400000,2021,2021
2020,30,Economic Development,Public Private Partnership,Public-Private Partnership Program,Other GO CIP - Non-Debt,Citywide,Ongoing,7750000,7750000,7750000,23250000,2021,2023
2020,30,Economic Development,RISD Public Improvement Reimbursement,Skillman Corridor Tax Increment Financing District,Other GO CIP - Non-Debt,10,9/30/2007,519731,609508,683946,1813185,2021,2023
2020,30,Economic Development,Saint Elm Hotel - Corrigan Tower,Downtown Connection Tax,Other GO CIP - Non-Debt,14,12/31/2018,149566,149566,149566,448698,2021,2023
2020,31,Economic Development,Skillman Corridor TIF - Repayment of Advances,Skillman Corridor Tax Increment Financing District,Other GO CIP - Non-Debt,"9,10,13,1 4",12/31/2036,4282086,4463564,4541319,13286969,2021,2023
2020,31,Economic Development,Skillman Corridor TIF District Fund,Skillman Corridor Tax Increment Financing District,Other GO CIP - Non-Debt,"9,10,13,1 4",12/31/2036,123495,0,0,123495,2021,2021
2020,31,Economic Development,Southwestern Medical TIF - Repayment of Advances,Southwestern Medical Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2027,791083,1018316,1900161,3709560,2021,2023
2020,31,Economic Development,Sports Arena Increment,Sports Arena Tax Increment Financing District,Other GO CIP - Non-Debt,"2,6,14",12/31/2043,6758778,8216815,6345530,21321123,2021,2023
2020,31,Economic Development,"Stack Deep Ellum 2700, 2712, 2718, Commerce",Deep Ellum Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2022,2576125,0,0,2576125,2021,2021
2020,31,Economic Development,Statler-Library Jackson-ST Redev.,Downtown Connection Tax Increment Financing District,Other GO CIP - Non-Debt,14,12/31/2018,542923,542923,542923,1628769,2021,2023
2020,31,Economic Development,Stoneleigh Hotel [2927 Maple Ave],Downtown Connection Tax Increment Financing District,Other GO CIP - Non-Debt,14,12/31/2008,195812,195812,43705,435329,2021,2023
2020,31,Economic Development,Streetcar Project- North Oak Cliff Streetcar System,Davis Garden Tax Increment Financing District,Other GO CIP - Non-Debt,"1,3",12/31/2022,828120,2015485,156395,3000000,2021,2023
2020,31,Economic Development,Thanksgiving Tower Renovation,City Center Tax Increment Financing District,Other GO CIP - Non-Debt,14,4/29/2016,3612737,0,0,3612737,2021,2021
2020,31,Economic Development,TOD - TIF,Transit-Oriented Development [TOD] Tax Increment Financing D,Other GO CIP - Non-Debt,"2, 3, 4, 8, 14",12/31/2039,4394913,2837056,2978909,10210878,2021,2023
2020,31,Economic Development,Trinity Groves Mixed-Use Project,Sports Arena Tax Increment Financing District,Other GO CIP - Non-Debt,6,6/1/2018,2279624,3319453,3333684,8932761,2021,2023
2020,31,Economic Development,University TIF District-Increment,University Tax Increment Financing District,Other GO CIP - Non-Debt,"8,12",12/31/2047,795667,819538,844125,2459330,2021,2023
2020,31,Economic Development,Vickery Meadow TIF - Repayment of Advances,Vickery Meadow Tax Increment Financing District,Other GO CIP - Non-Debt,13,6/30/2028,3020837,3171879,3330473,9523189,2021,2023
2020,31,Economic Development,Victory South Parking Garage Imp,Sports Arena Tax Increment Financing District,Other GO CIP - Non-Debt,2,12/31/2028,855000,855000,1710000,3420000,2021,2023
2020,31,Economic Development,Victory SU-District Retail,Sports Arena Tax Increment Financing District,Other GO CIP - Non-Debt,2,6/30/2019,1166666,1166666,0,2333332,2021,2022
2020,31,Economic Development,Virgin Hotel Project,Design District Tax Increment Financing District,Other GO CIP - Non-Debt,6,12/31/2023,896962,0,0,896962,2021,2021
2020,35,Flood Protection And Storm Drainage,Abshire Lane,Stormwater Drainage Management,2017 Bonds,7,6/15/2022,0,828028,0,828028,2022,2022
2020,35,Flood Protection And Storm Drainage,"Acres/Grady Detention Basins 1 & 2, Dredging",Storm Drainage Relief System,Other GO CIP - Non-Debt,5,5/31/2021,0,1076320,0,1076320,2022,2022
2020,35,Flood Protection And Storm Drainage,"Alderson, 3700",Stormwater Drainage Management,2017 Bonds,14,10/11/2022,1003000,0,0,1003000,2021,2021
2020,35,Flood Protection And Storm Drainage,Anderson Ave @ Goodman,Storm Drainage Relief System,Other GO CIP - Non-Debt,-,-,0,27600,0,27600,2022,2022
