cip_year,project_type,source_page,department,project_name,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Station #02 (Northaven Rd. at Midway),2009,2009,0,173355,0,173355,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Station #03 (N Malcolm X Blvd. at Junius St.),2009,2009,0,100000,0,100000,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Station #04 (S. Akard St. at Cadiz St.),2009,2009,0,130556,0,130556,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Station #05 (N. St. Augustine at Bruton Rd.),2010,2010,0,60000,0,0,60000,0
2007,Fire Protection Facilities,29,City Facilities,Fire Station #06 Replacement (Harwood St. at Park Row Blvd),2009,2010,0,7615233,0,2000000,561525,5053708
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #07 (Davenport Rd. at Preston Rd.),,,0,360243,0,0,0,360243
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #08 (N. Garrett Ave. at Monarch),2010,2010,0,170683,0,0,170683,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #09 (Cool Mist Ln. at Edd Rd.),2009,2009,0,131750,0,131750,0,0
2007,Fire Protection Facilities,29,City Facilities,Fire Station #10 (Frankford at Gibbons Dr. ),2008,2008,431776,4317759,3885983,0,0,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #14 (W Twelfth St. at Tyler St.),2008,2008,0,322077,322077,0,0,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #15 (E 8th St. at Beckley Ave.),2009,2009,0,23742,0,23742,0,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #16 (Chalk Hill Rd. at Singleton Blvd.),2010,2010,0,132080,0,0,132080,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #19 (E Grand Ave. at Beacon St.),,,0,210000,0,0,0,210000
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #20 (Montfort Dr. at Harvest Hills Dr.),2010,2010,0,189056,0,0,189056,0
2007,Fire Protection Facilities,29,City Facilities,Fire Station #27 (Douglas Ave. at NW Hwy.),2009,2010,0,8276657,0,2487282,578937,5210438
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #29 (Shadow Way at Audelia Rd.) -Structural Improvements,2009,2009,0,35560,0,35560,0,0
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #30 (Zodiac Ln. at Royal),,,95000,95000,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #32 (Benning Ave. at Jim Miller Rd.),2008,2010,0,5468510,347308,472969,4648233,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #33 (Illinois Ave. at Vernon),,,3732877,3732877,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #35 ( Walnut Hill Ln. at Mixon),,,4246881,4246881,0,0,0,0
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #36 (N Hampton Rd. at Bickers St.),2010,2010,0,132969,0,0,132969,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #37 (Greenville Ave. at Blackwell Dr.),2008,2010,0,7604143,1988910,561525,5053708,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #38 (E Illinois at Bonnie View),,,3342810,3342810,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #39 (Shiloh at Centerville),,,2879717,2879717,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #40 (Hampton at Kirnwood),,,3914870,3914870,0,0,0,0
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #41 (Royal Ln. at Preston Rd.),,,82335,82335,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #42 (W. Mockingbird Ln at Airdrome),,,4304012,4304012,0,0,0,0
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #43 (Lombardy Ln. at Denton Dr.),2010,2010,0,257383,0,0,257383,0
2007,Fire Protection Facilities,31,City Facilities,Fire Station #44 (Frank St. at Lagow St.),2008,2010,0,5468510,347308,512122,4609080,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #46 (E Camp Wisdom Rd. at Manitoba Dr.),2009,2009,0,125445,0,125445,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #47 (Envoy Ct. at Mockingbird Ln.),,,0,101454,0,0,0,101454
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #49 (S. Hampton Rd at Challenger),,,0,273609,0,0,0,273609
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #51 (S St. Augustine Dr. at Elam Rd.),2010,2010,0,139902,0,0,139902,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #52 (Cockrell Hill Rd. at Illinois Ave.),2008,2008,0,101700,101700,0,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #53 (John West Rd. at Greenmeadow),2008,2008,13018,101998,88980,0,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #54 (Bonnie View Rd. at Simpson Stuart Dr.),2008,2008,0,105264,105264,0,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #57 (Audelia Rd. at Fair Oaks Dr.),2009,2009,0,107900,0,107900,0,0
2007,Fire Protection Facilities,32,City Facilities,Fire Station ( Mountain Creek Pkwy.),2008,2008,0,446705,446705,0,0,0
2007,Fire Protection Facilities,32,City Facilities,Fire Station (W. Kiest Blvd.),2008,2008,0,446705,446705,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Station Roof Abatement,2009,2009,0,300000,0,300000,0,0
2007,Fire Protection Facilities,32,City Facilities,Fire Stations,,,3499742,3499742,0,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Stations Vent-a-hood Replacements (Various Locations),2008,2008,0,153000,153000,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Training Administration Building 'A' (5000 Dolphin Rd.),2008,2008,0,245440,245440,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Training Rookie Building 'B' (5000 Dolphin Rd.),2008,2008,0,447400,447400,0,0,0
2007,Major Maintenance - Library,32,City Facilities,Forest Green Branch Library,2010,2010,0,3269926,0,0,1269926,2000000
2007,Land Acquisition,32,City Facilities,Forest/Audelia/LBJ,,,0,3949945,0,0,0,3949945
2007,Library Facilities,32,City Facilities,Fretz Park Branch Library,2010,2010,333375,6349103,0,0,601573,5414155
2007,Professional Services and Debt Issuance,33,City Facilities,General Capital Reserve Transfer to General Fund,2008,2008,0,7792500,7792500,0,0,0
2007,Library Facilities,33,City Facilities,Grauwyler /West Love Field,,,204060,204060,0,0,0,0
2007,Library Facilities,33,City Facilities,Grauwyler and West Love Field Branch Library (New),,,4750589,4750589,0,0,0,0
2007,Library Facilities,33,City Facilities,Hampton Illinois Branch Library,,,6026661,6026661,0,0,0,0
2007,Major Maintenance - Library,33,City Facilities,Highland Hills Branch Library,2008,2008,270510,819118,548608,0,0,0
2007,Major Maintenance - Library,33,City Facilities,Highland Hills Branch Library Design,2009,2009,0,594900,0,594900,0,0
2007,Homeless Assistance Facilities,33,City Facilities,Homeless Assistance Facilities,,,26563806,26563806,0,0,0,0
2007,Solid Waste Facilities,34,City Facilities,Illegal Landfill Remediation,,,29168131,29168131,0,0,0,0
2007,Major Maintenance - Library,34,City Facilities,Kleberg Rylie Library,2010,2010,0,41631,0,0,41631,0
2007,Major Maintenance - Library,34,City Facilities,Lakewood Branch Library,2009,2009,164821,753965,0,589144,0,0
2007,Library Facilities,34,City Facilities,Lancaster Kiest Branch Library,,,4295774,4295774,0,0,0,0
2007,Library Facilities,34,City Facilities,Library Facilities Master Plan,,,376675,376675,0,0,0,0
2007,Major Maintenance - Library,34,City Facilities,Martin Luther King Jr. Branch Library,,,111760,111760,0,0,0,0
2007,Solid Waste Facilities,34,City Facilities,McCommas Bluff Landfill,2009,2009,36563015,38381275,0,1818260,0,0
2007,Major Maintenance - City Facilities,35,City Facilities,McCommas Bluff Landfill Office,2009,2009,0,1469986,0,1469986,0,0
2007,Major Maintenance - Public Safety,35,City Facilities,Motorcycle Garage,2008,2008,0,50000,50000,0,0,0
2007,Major Maintenance - Library,35,City Facilities,Mountain Creek Branch Library,2008,2008,203200,373200,170000,0,0,0
