cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2018,year_2019,year_2020,future_cost,project_total,start_year,end_year
2017,20,Aviation Facilities,Administrative Office Relocation,Love Field Major Maintenance,Capital Construction,Citywide,09/18,840259,232614,607645,0,0,0,0,840259,,
2017,20,Aviation Facilities,Airfield Pavement Evaluation,Love Field Major Maintenance,Capital Construction,Citywide,09/17,0,0,0,254699,1000000,0,0,1254699,2018,2019
2017,20,Aviation Facilities,Airport Perimeter Roads Rehabilitation Sections 1 & 2,Love Field Major Maintenance,Capital Construction,Citywide,09/20,3064012,0,3064012,0,0,0,0,3064012,,
2017,20,Aviation Facilities,Airport Planning and Advisory Services,Terminal,Capital Construction,Citywide,01/18,3405000,2403625,1001375,3500000,0,0,0,6905000,2018,2018
2017,20,Aviation Facilities,ARFF Truck 2 Replacement,Safety/Security,Capital Construction,Citywide,12/17,1824712,0,1824712,0,0,0,0,1824712,,
2017,20,Aviation Facilities,Aviation Parking Garage,Parking,Capital Construction,Citywide,09/18,720614,0,720614,0,0,0,0,720614,,
2017,20,Aviation Facilities,Aviation Project Contingency,Love Field Major Maintenance,Capital Construction,Citywide,09/26,1633433,0,1633433,0,0,0,0,1633433,,
2017,20,Aviation Facilities,Computerized Parking and Taxi System - Love Field,Parking,Capital Construction,Citywide,09/18,1476722,104411,1372311,0,0,0,0,1476722,,
2017,20,Aviation Facilities,Construct Taxicab Queuing Lot over Tom Braniff Channel,Parking,Capital Construction,Citywide,12/17,3320000,114112,3205888,0,0,0,0,3320000,,
2017,20,Aviation Facilities,Construction of Taxi Cab Holding Area,Pavement Maintenance / Construction,Capital Construction,Citywide,09/18,1506579,9358,1497221,0,0,0,0,1506579,,
2017,20,Aviation Facilities,Conversion of Runway 18/36 to Taxiway,Pavement Maintenance / Construction,Capital Construction,Citywide,12/17,762604,105537,657067,0,0,0,0,762604,,
2017,20,Aviation Facilities,Crossfield Taxiway Reconfiguration (Environmental),Love Field Major Maintenance,Capital Construction,Citywide,09/22,0,0,0,0,0,0,0,0,,
2017,20,Aviation Facilities,Dal-Entrance Road Improvements,Love Field Major Maintenance,Capital Construction,2,09/20,1071988,0,1071988,1071988,0,0,0,2143976,2018,2018
2017,20,Aviation Facilities,Dalfort Building Demolition,Aviation Land Acquisition,Capital Construction,Citywide,Various,1050258,492,1049766,0,0,0,0,1050258,,
2017,20,Aviation Facilities,Dallas Executive Airport Fuel Farm and Paving Project,Pavement Maintenance / Construction,Capital Construction,2,09/18,512116,0,512116,0,0,0,0,512116,,
2017,20,Aviation Facilities,Dallas Executive Airport Platting,Aviation Land Acquisition,Capital Construction,Citywide,09/17,387000,387000,0,0,0,0,0,387000,,
2017,20,Aviation Facilities,Dallas Executive Airport Runway Replacement,Pavement Maintenance / Construction,Capital Construction,Citywide,09/19,4472341,2732904,1739437,0,0,0,0,4472341,,
2017,20,Aviation Facilities,Dallas Vertiport Fuel System,Love Field Major Maintenance,Capital Construction,Citywide,"43,087",0,0,0,1000000,0,0,0,1000000,2018,2018
2017,21,Aviation Facilities,Drainage Master Plan - Schematic Design,Love Field Major Maintenance,PFC Reimbursement / Capital Construction,2,09/24,250000,250000,0,2000000,0,0,0,2250000,2018,2018
2017,21,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,Environmental,Capital Construction,Citywide,09/18,2252656,2814,2249842,0,0,0,0,2252656,,
2017,21,Aviation Facilities,Fiber Ring W126,Love Field Major Maintenance,Capital Construction,Citywide,09/18,1000000,0,1000000,0,0,0,0,1000000,,
2017,21,Aviation Facilities,Fiber Ring W127,Love Field Major Maintenance,Capital Construction,Citywide,09/18,150000,0,150000,0,0,0,0,150000,,
2017,21,Aviation Facilities,Intersection of 18/36 Reconstruction and Rehabilitation,Pavement Maintenance / Construction,Capital Construction,Citywide,12/17,4330854,3837070,493784,0,0,0,0,4330854,,
2017,21,Aviation Facilities,Love Field Employee Parking Garage,Love Field Major Maintenance,Capital Construction,Citywide,09/18,1251624,1250328,1296,0,0,0,0,1251624,,
2017,21,Aviation Facilities,Love Field Modernization Program,Love Field Major Maintenance,Capital Construction,Citywide,09/19,3949078,13335,3935743,0,0,0,0,3949078,,
2017,21,Aviation Facilities,Maintenance Facility - Love Field,Terminal,Capital Construction,Citywide,09/18,7218648,134181,7084467,0,0,0,0,7218648,,
2017,21,Aviation Facilities,Mass Casualty Unit,Safety/Security,Capital Construction,2,Various,549537,0,549537,0,0,0,0,549537,,
2017,21,Aviation Facilities,Material Testing for Construction Work,Love Field Major Maintenance,Capital Construction,2,09/19,155670,0,155670,0,500000,0,0,655670,2019,2019
2017,21,Aviation Facilities,Miscellaneous Storm Drainage Improvements,Love Field Major Maintenance,Capital Construction,Citywide,09/19,232300,89776,142524,1209681,0,0,0,1441981,2018,2018
2017,21,Aviation Facilities,Parking Garage Expansion - Love Field,Parking,Capital Construction,Citywide,09/18,16708500,20737,16687763,0,0,0,0,16708500,,
2017,21,Aviation Facilities,Police Hangar and Apron at Dallas Executive Airport,Safety/Security,Capital Construction,Citywide,02/19,357246,249567,107679,7000000,0,0,0,7357246,2018,2018
2017,21,Aviation Facilities,Reconstruct RWY 13R-31L,Love Field Major Maintenance,PFC / AIP,Citywide,09/21,0,0,0,0,0,0,0,0,,
2017,21,Aviation Facilities,Redbird Commemorative Air Force Project,Public Private Partnership,Capital Construction,Citywide,09/19,2000000,0,2000000,1500000,0,0,0,3500000,2018,2018
