cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2020,year_2021,year_2022,project_total,start_year,end_year
2019,150,Street & Transportation,San Marcus Ave from Lingo Ln to Ferguson Rd,V703,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/21,0,0,0,0,112400,0,112400,2021,2021
2019,150,Street & Transportation,Sandstone Dr from Jennie Lee Ln to Cypress Ave,V526,Street Resurfacing,2017 General Obligation Bond Program,7,9/30/19,137317,0,137317,22958,0,0,160275,2020,2020
2019,150,Street & Transportation,Santa Anna Ave from Shiloh Rd to Vista Mar Dr,V747,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/21,0,0,0,0,76325,0,76325,2021,2021
2019,150,Street & Transportation,Santa Barbara Dr from Santa Maria Ln to E Mockingbird Ln,V771,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/21,0,0,0,0,125275,0,125275,2021,2021
2019,150,Street & Transportation,Santa Fe Ave from Clermont Ave to Monte Vista Dr,V817,Street Resurfacing,2017 General Obligation Bond Program,14,9/30/21,0,0,0,0,44675,0,44675,2021,2021
2019,150,Street & Transportation,Santa Fe Ave from Cordova St to Clermont Ave,V826,Street Resurfacing,2017 General Obligation Bond Program,14,9/30/21,0,0,0,0,41250,0,41250,2021,2021
2019,150,Street & Transportation,Santa Teresa Ave from Materhorn Dr to Santa Garza Dr,V447,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/18,179218,0,179218,0,0,0,179218,,
2019,150,Street & Transportation,Sapling Way From Clearsprings Rd To Greenhollow Ln,V281,Street Reconstruction,2017 General Obligation Bond Program,11,11/13/22,0,0,0,0,245913,0,245913,2021,2021
2019,150,Street & Transportation,Satsuma Dr from Dennis Rd to Sundial Dr,V398,Street Resurfacing,2017 General Obligation Bond Program,13,9/30/20,0,0,0,334325,0,0,334325,2020,2020
2019,150,Street & Transportation,Scottsboro Ln from S Marsalis Ave to Grassy Ridge Trl,V748,Street Resurfacing,2017 General Obligation Bond Program,3,9/30/21,0,0,0,0,142675,0,142675,2021,2021
2019,150,Street & Transportation,Seabeach Rd from Greenspan Ave to Silverdale Dr,V522,Street Resurfacing,2017 General Obligation Bond Program,8,9/30/19,122725,122725,0,0,0,0,122725,,
2019,150,Street & Transportation,Sevilla St from Valencia St to Cordova St,V476,Street Resurfacing,2017 General Obligation Bond Program,14,9/30/19,48843,48843,0,0,0,0,48843,,
2019,150,Street & Transportation,SH 78-Loop 12 to IH,R469,Intergovernmental Partnership Projects,2003 General Obligation Bond Program,9,12/31/20,210000,141573,68427,0,0,0,210000,,
2019,150,Street & Transportation,Shadow Ridge Dr from Timber Oaks Dr to Timber Oaks Dr,V696,Street Resurfacing,2017 General Obligation Bond Program,12,1/25/19,256979,256978,1,0,0,0,256979,,
2019,151,Street & Transportation,Shadow Way from Audelia Rd to Creekspan Dr,V586,Street Resurfacing,2017 General Obligation Bond Program,10,9/30/19,300,300,0,105550,0,0,105850,2020,2020
2019,151,Street & Transportation,Shadow Way from Creekspan Dr to Candlebrook Dr,V692,Street Resurfacing,2017 General Obligation Bond Program,10,9/30/19,229433,229433,0,0,0,0,229433,,
2019,151,Street & Transportation,Shadow Wood Dr from W Saner Ave to S Edgefield Ave,V701,Street Resurfacing,2017 General Obligation Bond Program,4,12/1/18,607081,607081,0,0,0,0,607081,,
2019,151,Street & Transportation,Shady Oak Ln From End Of Pavement To Timberview Rd,V647,Street Resurfacing,2017 General Obligation Bond Program,13,9/30/21,110000,0,110000,0,0,0,110000,,
2019,151,Street & Transportation,Shady Trl from Manana Dr to Andjon Dr,V946,Street Resurfacing,2017 General Obligation Bond Program,6,9/30/20,0,0,0,82850,0,0,82850,2020,2020
2019,151,Street & Transportation,Shady Valley Dr from Royal Highlands Dr to Shady Valley Dr,V390,Street Resurfacing,2017 General Obligation Bond Program,10,9/30/19,103689,103689,0,0,0,0,103689,,
2019,151,Street & Transportation,Shady Valley Dr from Shady Valley Dr to Winding Ridge Dr,V540,Street Resurfacing,2017 General Obligation Bond Program,10,9/30/19,89695,0,89695,0,0,0,89695,,
2019,151,Street & Transportation,Shaw St from Navaro St to Harston St,V210,Street Reconstruction,2017 General Obligation Bond Program,6,7/15/22,97885,79182,18703,0,880970,0,978855,2021,2021
2019,151,Street & Transportation,Sheila Ln from Timberline Dr to Hargrove Dr,V413,Street Resurfacing,2017 General Obligation Bond Program,2,9/30/19,243433,243,243190,0,0,0,243433,,
2019,151,Street & Transportation,Shelley Blvd from Coombs Creek Dr to S Westmoreland Rd,V374,Street Resurfacing,2017 General Obligation Bond Program,1,9/30/19,180075,0,180075,7675,0,0,187750,2020,2020
2019,151,Street & Transportation,Shelley Blvd from Keats Dr to Dryden Dr,V544,Street Resurfacing,2017 General Obligation Bond Program,1,9/30/19,115350,115350,0,0,0,0,115350,,
2019,151,Street & Transportation,Sherry Ln from Douglas Ave to Preston Rd,V864,Street Resurfacing,2017 General Obligation Bond Program,13,3/21/19,422200,422200,1,0,0,0,422200,,
2019,151,Street & Transportation,Shiremont Dr from Talmadge Ln to End of Pavement,V373,Street Resurfacing,2017 General Obligation Bond Program,11,9/30/19,59373,0,59373,0,0,0,59373,,
2019,151,Street & Transportation,Sidewalk Improvement,R474,Sidewalk Improvements,2003 General Obligation Bond Program / 2006 General Obligation Bond Program,8,12/31/19,427316,149742,277574,0,0,0,427316,,
2019,151,Street & Transportation,Sidewalk Improvements - CD projects,P709,Sidewalk Improvements,2006 General Obligation Bond Program,12,9/30/20,78849,0,78849,0,0,0,78849,,
2019,151,Street & Transportation,Sidewalk Improvements District 12,S415,Sidewalk Improvements,2012 General Obligation Bond Program,12,9/30/20,7749,2000,5749,0,0,0,7749,,
2019,152,Street & Transportation,Sidewalk Reconstruction-Street Replacement,R475,Sidewalk Improvements,2003 General Obligation Bond Program,Citywide,12/31/19,1003676,808995,194681,0,0,0,1003676,,
2019,152,Street & Transportation,Sidewalks 50-50 And Ada Ramps,V146,Sidewalk Improvements,2017 General Obligation Bond Program,"1, 3, 4",5/9/21,2041421,1906519,134902,2357764,2357764,0,6756949,2020,2021
2019,152,Street & Transportation,Silverdale Dr from Oceanview Dr to Seabeach Rd,V519,Street Resurfacing,2017 General Obligation Bond Program,8,9/30/19,40626,40625,1,0,0,0,40626,,
2019,152,Street & Transportation,Silverhill Dr from Baraboo Dr to A9958,V552,Street Resurfacing,2017 General Obligation Bond Program,8,9/30/18,102574,102574,0,0,0,0,102574,,
2019,152,Street & Transportation,Silverton Dr from Caraway Dr to Webb Chapel Rd,V633,Street Resurfacing,2017 General Obligation Bond Program,13,9/30/21,0,0,0,0,229725,0,229725,2021,2021
2019,152,Street & Transportation,Simpson Stuart Rd From Bonnie View Rd To Lancaster Rd,V180,Street and Alley Improvements,2017 General Obligation Bond Program,8,12/31/21,350000,0,350000,0,0,0,350000,,
2019,152,Street & Transportation,Sinclair Ave from Jupiter Rd to Gaston Pkwy,V746,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/21,0,0,0,0,137875,0,137875,2021,2021
2019,152,Street & Transportation,Sinclair Ave from Sunland St to Jupiter Rd,V681,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/21,0,0,0,0,214100,0,214100,2021,2021
2019,152,Street & Transportation,Skillman at Walnut Hill,VA22,Public/Private Development,2017 General Obligation Bond Program,10,12/31/21,0,0,0,477524,795874,159174,1432572,2020,2022
2019,152,Street & Transportation,Skillman St from Gaston Ave to Swiss Ave,V354,Street Resurfacing,2017 General Obligation Bond Program,14,9/30/19,143870,143870,0,0,0,0,143870,,
2019,152,Street & Transportation,Skillman St from Richmond Ave to Llano Ave,V907,Street Resurfacing,2017 General Obligation Bond Program,14,9/1/18,677368,677368,0,0,0,0,677368,,
2019,152,Street & Transportation,Songwood Dr from Blue Moon Dr to Lazy River Dr,V548,Street Resurfacing,2017 General Obligation Bond Program,3,9/30/19,202876,202875,1,0,0,0,202876,,
2019,152,Street & Transportation,Sopac-Katy Trail Drainage-Erosion Improvements,V138,Intergovernmental Partnership Projects,2017 General Obligation Bond Program,9,9/10/21,0,0,0,700000,0,0,700000,2020,2020
2019,152,Street & Transportation,South Blvd from Malcolm X Blvd to Meadow St,V698,Street Resurfacing,2017 General Obligation Bond Program,7,9/30/20,0,0,0,295475,0,0,295475,2020,2020
2019,152,Street & Transportation,South Blvd From South Central Expy To Meadow St,V167,Sidewalk Improvements,2017 General Obligation Bond Program,7,3/27/21,224789,224789,0,0,0,0,224789,,
2019,152,Street & Transportation,South Blvd From South Central Expy To Meadow St Lighting,V176,Street and Alley Improvements,2017 General Obligation Bond Program,7,12/31/21,604800,0,604800,0,0,0,604800,,
2019,152,Street & Transportation,South Ewing Ave From Sleeth St To Ann Arbor Ave,V188,Street Petitions,2017 General Obligation Bond Program,4,9/7/22,77240,77240,0,817760,0,0,895000,2020,2020
2019,152,Street & Transportation,South Ridge Dr from Sperry St to Wildbriar Ln,V450,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/19,269885,269885,0,0,0,0,269885,,
2019,153,Street & Transportation,Southern Knoll Dr from Trails End Dr to Golden Creek Rd,V570,Street Resurfacing,2017 General Obligation Bond Program,11,3/26/19,86337,86337,0,0,0,0,86337,,
2019,153,Street & Transportation,Sperry St from Meadowlark Ln to Santa Barbara Dr,V488,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/20,0,0,0,82975,0,0,82975,2020,2020
2019,153,Street & Transportation,Sperry St From Williamson Rd To Lyre Ln,V324,Street Resurfacing,2017 General Obligation Bond Program,9,9/1/18,68221,68221,0,0,0,0,68221,,
2019,153,Street & Transportation,Spring Grove From Alpha To Coit,S443,Street Reconstruction,2012 General Obligation Bond Program,11,8/17/19,2306222,2322253,-16031,0,0,0,2306222,,
2019,153,Street & Transportation,Spring Valley Rd From Coit Rd To Goldmark Sidewalk And Pedes,S404,Intergovernmental Partnership Projects,2012 General Obligation Bond Program,11,5/29/19,152163,97769,54393,0,0,0,152163,,
2019,153,Street & Transportation,Springhill Dr from Mercer Dr to Stanwood Dr,V832,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/22,0,0,0,0,0,640247,640247,2022,2022
2019,153,Street & Transportation,St Croix Dr from End of Pavement to Dartmoor Dr,V342,Street Resurfacing,2017 General Obligation Bond Program,13,9/30/19,312199,312199,0,0,0,0,312199,,
2019,153,Street & Transportation,St Francis Ave from Ferguson Rd to Hunnicut Rd,V752,Street Resurfacing,2017 General Obligation Bond Program,7,9/30/19,797990,797990,1,0,0,0,797990,,
