cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2023,year_2024,currency_unit
2023,Stormwater Drainage Management,84,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Creek Bridge @ Clarendon,W403,,,2026,,,281000.0,2800000.0,2519000.0,0.0,$K
2023,Stormwater Drainage Management,84,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Creek Bridge @ Clarendon (Sta 149+13),W718,,,,,,0.0,2215000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,84,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Creek Bridge @ Moore,W404,,,2026,,,147600.0,1476000.0,1328400.0,0.0,$K
2023,Stormwater Drainage Management,84,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Creek Bridge @ Tyler,W719,,,,,,0.0,8300000.0,0.0,1245000.0,$K
2023,Stormwater Drainage Management,84,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Creek Channel - ATSF RR to Ewing,W720,,,,,,0.0,1740000.0,0.0,261000.0,$K
2023,Stormwater Drainage Management,84,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Creek Channel Improvements (908 S Rosemont),W721,,,,,,0.0,1725000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Creek Culvert @ Polk,W722,,,,,,0.0,1000000.0,0.0,150000.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Creek Culvert @ Winnetka,W723,,,,,,0.0,2530000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Springs Branch - Lomo Alto Dr @ Lemmon Ave,W836,,,2026,,,450000.0,450000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Springs Branch @ Denton,W725,,,,,,0.0,610000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cedar Springs Branch @ Production,W835,,,,,,0.0,475000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Chalk Hill Branch Bridge @ N. Counts,W837,,,,,,0.0,825000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Chalk Hill Branch Bridge @ S. Counts,W728,,,,,,0.0,1375000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Chalk Hill Branch Culvert @ Jefferson,W729,,,,,,0.0,625000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Chalkhill Branch - I30/Loop 12 Interchange,VD33,,,2025,,,780000.0,780000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,85,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Channel - Major Maintenance,W195,,,2032,,,0.0,1200000.0,250000.0,250000.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cherry Hill 8647 Storm Drainage Relief,W838,,,,,,0.0,1260000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cherrybrook Dam Spillway Rehabilitation,W839,,,,,,0.0,5800000.0,696000.0,0.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Clearbrook Lane 10837,X015,,,,,,0.0,157500.0,23625.0,133875.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"Cliffdale, 322",W731,,,,,,0.0,635000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Conrad - Louisiana Area Relief,W840,,,,,,0.0,812000.0,0.0,0.0,$K
2023,Flood Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Contingency,W509,,,,,,2500000.0,2500000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Coombs Creek Bridge @ 9th,W733,,,,,,0.0,335000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Coombs Creek Bridge @ Barnett,W734,,,,,,0.0,280000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Coombs Creek Bridge @ Brooklyndell,W736,,,,,,0.0,260000.0,0.0,39000.0,$K
2023,Stormwater Drainage Management,86,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Coombs Creek Bridge @ Colorado,W735,,,,,,0.0,1439000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Coombs Creek Bridge @ Plymouth,W737,,,,,,0.0,6400000.0,0.0,960000.0,$K
2023,Stormwater Drainage Management,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Counts S 4690,X014,,,,,,0.0,210000.0,31500.0,178500.0,$K
2023,Erosion Control,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Creek Bend Road 7028,VD80,,,2024,,,73515.0,73515.0,0.0,0.0,$K
2023,Stormwater Drainage Management,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Creek Bend Road 7028,VD80,,,2024,,,2210.0,2210.0,0.0,0.0,$K
2023,Storm Drainage Relief System,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Creek Bend Road 7028,VD80,,,2024,,,6275.0,6275.0,0.0,0.0,$K
2023,Stormwater Drainage Management,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Crestview East Addition No. 2 (Beechmont 2779) Drainage Relief System,W738,,,,,,0.0,2500000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,CTP,W139,,,2032,,,1180293.0,1180293.0,0.0,0.0,$K
2023,Flood Management,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Cypress Branch @ Jennie Lee,VD75,,,2025,,,981337.0,981337.0,0.0,0.0,$K
2023,Stormwater Drainage Management,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway DFE PPA,W446,,,2027,,,15072.0,15072.0,0.0,0.0,$K
2023,Stormwater Drainage Management,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway DFE PPA,W446,,,2027,,,610899.0,610899.0,0.0,0.0,$K
2023,Trinity River Corridor Projects,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway DFE PPA,W446,,,2027,,,591135.0,591135.0,0.0,0.0,$K
2023,Erosion Control,87,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,20990.0,20990.0,0.0,0.0,$K
2023,Flood Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,1278436.0,1278436.0,0.0,0.0,$K
2023,Stormwater Drainage Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,209208.0,209208.0,0.0,0.0,$K
2023,Stormwater Drainage Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,346151.0,346151.0,0.0,0.0,$K
2023,Stormwater Drainage Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,145606.0,145606.0,0.0,0.0,$K
2023,Stormwater Drainage Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,4141038.0,4141038.0,0.0,0.0,$K
2023,Stormwater Drainage Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,1492598.0,1492598.0,0.0,0.0,$K
2023,Trinity River Corridor Projects,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,9450715.0,9450715.0,0.0,0.0,$K
2023,Trinity River Corridor Projects,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dallas Floodway Extension,W632,,,2027,,,13574371.0,13574371.0,0.0,0.0,$K
2023,Stormwater Drainage Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dixon Branch - E Prong Culvert @ Mediterranean,W740,,,,,,0.0,580000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dixon Branch Relief System (RL Areas 18 & 19),W845,,,,,,0.0,7500000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,88,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dorrington Circle 3106,W741,,,2025,,,24000.0,160000.0,136000.0,0.0,$K
2023,Stormwater Drainage Management,89,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Dredge Maintenance,W405,,,2032,,,350000.0,1500000.0,250000.0,200000.0,$K
2023,Erosion Control,89,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"El Cerrito Storm Drainage, 2470",VD11,,,2024,,,200001.0,200001.0,0.0,0.0,$K
2023,Stormwater Drainage Management,89,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,El Tivoli @ Reverchon Drainage Relief System,W742,,,,,,0.0,1855000.0,222600.0,0.0,$K
2023,Stormwater Drainage Management,89,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,El Tivoli Branch Culvert @ Plymouth Road,W847,,,,,,0.0,500000.0,60000.0,0.0,$K
2023,Stormwater Drainage Management,89,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Elm Fork Trinity River - Upper East @ Skyline Trail Bridge / Trinity View Park,W846,,,,,,0.0,1600000.0,192000.0,1408000.0,$K
2023,Stormwater Drainage Management,89,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Elmwood Branch Bridge @ Melbourne,W743,,,,,,0.0,210000.0,0.0,0.0,$K
