cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2023,year_2024,year_2025,year_2026,year_2027,year_2028
2022,,32,ART MUSEUM COMPLEN - CAPITAL,Interior and Exterior Improvements,ARTMU.1,,2023,2028,Make infrastructure improvements required for life safety and basic operations.,Make infrastructure improvements required for life safety and basic operations.,,16500.0,4000.0,2000.0,,2000.0,2500.0,3000.0
2022,PHILADEL PHT INTERNATIONAL AIRPORT,36,AVIATION,Airfield Area-F¥22,AVIAT.2A,,2023,2028,"See description under line item 2. This program includes the Airport passenger terminal buildings, including the areas available for baggage handling systems, and the sidewalk and curb adjacent terminal buildings","See description under line item 2. This program includes the Airport passenger terminal buildings, including the areas available for baggage handling systems, and the sidewalk and curb adjacent terminal buildings",,236610.0,105500.0,70699.0,,30900.0,25101.0,26750.0
2022,PHILADEL PHT INTERNATIONAL AIRPORT,37,AVIATION,Terminal AreaFY22,AVIAT.3A,,2023,2023,See description under line item 3.,See description under line item 3.,,22.0,22.0,,,,,
2022,PHILADEL PHT INTERNATIONAL AIRPORT,38,AVIATION,Outside Terminal Area (OTA)-FY21,AVIAT.4B,,2023,2023,See description under line item 4.,See description under line item 4.,,25000.0,25000.0,,,,,
2022,COMMERCIAL DEVELOPMENT,43,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY21,COMME.6B,,2023,2023,See description under line item 6. 6c. Neighborhood Commercial Centers - Site Improvements-FY20 See description under line item 6.,See description under line item 6. 6c. Neighborhood Commercial Centers - Site Improvements-FY20 See description under line item 6.,,2000.0,2000.0,,,,,
2022,COMMERCIAL DEVELOPMENT,44,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY17,COMME.6E,,2023,2023,See description under line item 6.,See description under line item 6.,,11.0,11.0,,,,,
2022,INDUSTRIAL DEVELOPMENT,45,COMMERCE,Industrial Districts-FY¥22,COMME.74,,2023,2023,See description under line item 7.,See description under line item 7.,,500.0,500.0,,,,,
2022,INDUSTRIAL DEVELOPMENT,45,COMMERCE,Industrial Districts-FY21,COMME.7B,,2023,2023,See description under line item 7. See description under line item 7.,See description under line item 7. See description under line item 7.,,3000.0,3000.0,,,,,
2022,INDUSTRIAL DEVELOPMENT,46,COMMERCE,Industrial Districts-FY¥16,COMME.7D,,2023,2023,See description under line item 7.,See description under line item 7.,,1000.0,1000.0,,,,,
2022,INDUSTRIAL DEVELOPMENT,46,COMMERCE,Navy Yard Infrastructure [Improvements-F¥17,COMME.8A,,2023,2023,See description under line item 8.,See description under line item 8.,,8200.0,8200.0,,,,,
