cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,2023,2024,2025
2023,Pavement Maintenance/ Construction,24,Aviation Capital Program,Airfield Pavement Evaluation - W214,W214.1,2023,2023,505587,1521648,1016061,0,0
2023,Terminal,24,Aviation Capital Program,Airport Emergency Operations Center - W685,W685.1,2023,2023,0,2000000,2000000,0,0
2023,Capital Improvement Program,24,Aviation Capital Program,Airport Planning and Advisory Services - 1725,1725.1,2023,2025,9283184,21905000,2621816,"2 ,000,000","2 ,000,000"
2023,Capital Improvement Program,24,Aviation Capital Program,Airport Planning and Advisory Services - 1725,1725.2,2023,2023,0,2000000,2000000,0,0
2023,Capital Improvement Program,24,Aviation Capital Program,Architectural Engineering Roster - W286,W286.1,2023,2025,1329,8154500,153171,"2 ,000,000","2 ,000,000"
2023,Capital Improvement Program,24,Aviation Capital Program,Aviation Parking Garage - 8738,8738.1,2023,2025,3241341,8257407,516065,"2 ,100,000","6 00,000"
2023,Capital Improvement Program,25,Aviation Capital Program,CONRAC - W280,W280.1,2023,2023,421184,3000800,2579616,0,0
2023,Capital Improvement Program,25,Aviation Capital Program,Construction Management/ Project Management - W371,W371.1,2023,2025,1430186,7428666,2998480,0,"3 ,000,000"
2023,Pavement Maintenance/ Construction,25,Aviation Capital Program,Crossfield Taxiway Reconfiguration - W125,W125.1,2023,2023,28827376,32731969,3904593,0,0
2023,Terminal,25,Aviation Capital Program,DAL A/E Space Planning Implementation - W469,W469.1,2023,2023,30294,750000,719706,0,0
2023,Capital Improvement Program,25,Aviation Capital Program,DAL Alternate Entry - W287,W287.1,2023,2023,0,24960000,24960000,0,0
2023,Safety/ Security,25,Aviation Capital Program,DAL Replacement Fire Station - W358,W358.1,2023,2023,4060965,20008000,15947035,0,0
2023,Capital Improvement Program,25,Aviation Capital Program,DAL Streetscape Enhancements - W387,W387.1,2023,2025,3813858,42513446,37999818,"3 49,886","3 49,885"
2023,Capital Improvement Program,25,Aviation Capital Program,DAL-Entrance Road Improvements - W167,W167.1,2023,2023,15068436,16395575,1327140,0,0
2023,Capital Improvement Program,25,Aviation Capital Program,Dallas Vertiport Fuel System - W215,W215.1,2023,2023,0,1182409,1182409,0,0
2023,Pavement Maintenance/ Construction,26,Aviation Capital Program,DEA Extend Taxiway E - W388,W388.1,2023,2023,463300,1321500,858200,0,0
2023,Capital Improvement Program,26,Aviation Capital Program,DEA Streetscape Enhancements - W367,W367.1,2023,2025,682754,7369851,36938,"1 50,158","6 ,500,000"
2023,Pavement Maintenance/ Construction,26,Aviation Capital Program,DEA Taxiway Apron Infill - Design - W334,W334.1,2023,2023,0,850000,850000,0,0
2023,Capital Improvement Program,26,Aviation Capital Program,DEA West Development Payback - W285,W285.1,2023,2023,100100,7764286,7664186,0,0
2023,Capital Improvement Program,26,Aviation Capital Program,Drainage Master Plan - Schematic Design - W133,W133.1,2023,2023,101638,6252638,6151000,0,0
2023,Capital Improvement Program,26,Aviation Capital Program,Elevator Upgrades - W391,W391.1,2025,2025,0,550000,0,0,"5 50,000"
2023,Capital Improvement Program,26,Aviation Capital Program,Elevator Upgrades-Ph 2 - W889,W889.1,2023,2024,0,3400000,1700000,"1 ,700,000",0
2023,Terminal,26,Aviation Capital Program,Love Fld Major Maintenance - 8707,8707.1,2023,2025,14506585,21606585,1100000,"3 ,000,000","3 ,000,000"
