cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,2022,2023,2024
2022,Street Resurfacing,180,2017 Bonds,Rio Verde Way from Shiloh Rd to Kilkirk Ln - V652,V652.1,2022,2022,209571,209574,3,0,0
2022,Intergovernment al Partnership Projects,181,2017 Bonds,Riverfront From Uppr Tracks To Cadiz - V134,V134.1,2022,2022,33600,4600000,4566400,0,0
2022,Street Reconstruction,181,2017 Bonds,Rolling Rock Ln from Hackney Ln to Fern Hollow Dr - V220,V220.1,2022,2023,110731,525396,(247),"414,912",0
2022,Target Neighborhood,181,2017 Bonds,Rosemont Rd From Buckner To Hillburn - V996,V996.1,2022,2023,196380,3268677,(96),"3,072,393",0
2022,Target Neighborhood,181,2017 Bonds,Rosemont Rd From Hillburn To Jim Miller - V997,V997.1,2022,2023,443813,928443,(96),"484,726",0
2022,Sidewalk and Barrier Free Ramp Improvements,181,2017 Bonds,Rothington Rd From Chariot Dr To S Buckner Blvd - V166,V166.1,2022,2022,0,41001,41001,0,0
2022,Streetscape- Urban Design,181,2017 Bonds,Routh St Gateway Streetscape And Pedestian Improvements - V983,V983.1,2022,2022,0,200000,200000,0,0
2022,Streetscape- Urban Design,181,2017 Bonds,Routh St Gateway Streetscape And Pedestian Improvements - V983,V983.2,2022,2022,13189,50000,36811,0,0
2022,Street Resurfacing,181,2017 Bonds,Royal Ln from Ashcroft Ave to Greenville Ave - V967,V967.1,,,0,0,0,0,0
2022,Street Resurfacing,181,2017 Bonds,Royal Ln from Brockbank Dr to Coogan Dr - V923,V923.1,,,794080,794080,0,0,0
2022,Street Resurfacing,181,2017 Bonds,Royal Ln from Cromwell Dr to Marsh Ln - V891,V891.1,2022,2022,0,0,(0),0,0
2022,Street Resurfacing,182,2017 Bonds,Royal Ln from Harry Hines Blvd to Grissom Ln - V951,V951.1,2022,2022,612808,611396,(1412),0,0
2022,Street Reconstruction,182,2017 Bonds,Rugged Dr from Berkley Ave to Ferndale Ave - V189,V189.1,2022,2022,657242,957813,300571,0,0
2022,Street Resurfacing,182,2017 Bonds,Ruidosa Ave from Featherbrook Dr to Cotillion Dr - V727,V727.1,2022,2022,195933,198501,2568,0,0
2022,Street Reconstruction,182,2017 Bonds,S Murdeaux Ln from Great Trinity Forest Way to Olusta Dr - V214,V214.1,2022,2022,77533,702172,624639,0,0
2022,Street Reconstruction,182,2017 Bonds,S Patton Ave from E 10th St to E. Jefferson Blvd - V190,V190.1,2022,2022,486208,485920,(288),0,0
2022,Street Reconstruction,182,2017 Bonds,S Van Buren Ave from W Pembroke Ave to Page Ave - V191,V191.1,2022,2022,577870,597482,19612,0,0
2022,Street Resurfacing,182,2017 Bonds,San Diego Dr from Shiloh Rd to Santa Anna Ave - V782,V782.1,2022,2022,543627,543630,3,0,0
2022,Street Reconstruction,182,2017 Bonds,San Jacinto St From N Pearl St To Crockett St - V291,V291.1,2022,2023,83048,423993,(1129),"342,074",0
2022,Street Resurfacing,182,2017 Bonds,San Juan Ave from Newcombe Dr to Crest Ridge Dr - V772,V772.1,,,230546,230546,0,0,0
2022,Street Resurfacing,182,2017 Bonds,San Marcus Ave from Lingo Ln to Ferguson Rd - V703,V703.1,,,154213,154213,0,0,0
2022,Street Resurfacing,183,2017 Bonds,Santa Anna Ave from Shiloh Rd to Vista Mar Dr - V747,V747.1,2022,2022,188057,204188,16131,0,0
2022,Street Resurfacing,183,2017 Bonds,Santa Barbara Dr from Santa Maria Ln to E Mockingbird Ln - V771,V771.1,2022,2022,181456,177833,(3623),0,0
2022,Street Resurfacing,183,2017 Bonds,Santa Fe Ave from Clermont Ave to Monte Vista Dr - V817,V817.1,,,61294,61294,0,0,0
2022,Street Resurfacing,183,2017 Bonds,Santa Fe Ave from Cordova St to Clermont Ave - V826,V826.1,,,85868,85868,0,0,0
2022,Street Reconstruction,183,2017 Bonds,Sapling Way From Clearsprings Rd To Greenhollow Ln - V281,V281.1,,,46672,46672,0,0,0
2022,Street Reconstruction,183,2017 Bonds,Shaw St from Navaro St to Harston St - V210,V210.1,2022,2023,121448,979496,(1031),"859,080",0
2022,Sidewalk and Barrier Free Ramp Improvements,183,2017 Bonds,Sidewalks 50/50 And ADA Ramps - V146,V146.1,2022,2022,3848083,3631484,(216600),0,0
2022,Street Resurfacing,183,2017 Bonds,Silverton Dr from Caraway Dr to Webb Chapel Rd - V633,V633.1,2022,2022,326758,326761,3,0,0
2022,Street Resurfacing,183,2017 Bonds,Sinclair Ave from Jupiter Rd to Gaston Pkwy - V746,V746.1,,,261349,261349,0,0,0
2022,Street Resurfacing,183,2017 Bonds,Sinclair Ave from Sunland St to Jupiter Rd - V681,V681.1,,,340303,340303,0,0,0
2022,Public/Private Development,184,2017 Bonds,Skillman at Walnut Hill (Complete Street) -VA22,VA22.1,2022,2022,0,209747,209747,0,0
2022,Street Resurfacing,184,2017 Bonds,Skillman St from Richmond Ave to Llano Ave - V907,V907.1,2022,2022,2386,657106,654720,0,0
2022,Street and Alley Improvements,184,2017 Bonds,South Blvd From South Central Expy To Meadow St Lighting - V176,V176.1,2022,2022,0,600053,600053,0,0
2022,Street Petitions,184,2017 Bonds,South Ewing Ave From Sleeth St To Ann Arbor Ave - V188,V188.1,2022,2022,848274,903458,55183,0,0
2022,Street Resurfacing,184,2017 Bonds,Springhill Dr from Mercer Dr to Stanwood Dr - V832,V832.1,,,77004,77004,0,0,0
2022,Street Resurfacing,184,2017 Bonds,State St from Routh St to Boll St - V789,V789.1,2022,2022,98958,156285,57328,0,0
2022,Street Lighting,184,2017 Bonds,"Street Illumination Construction, Replacement, or Upgrade - VA41",VA41.1,2022,2022,0,2150000,2150000,0,0
2022,Street and Alley Improvements,184,2017 Bonds,Street Lights At Parkdale Dr And Lawnview Ave - V177,V177.1,2022,2022,0,16000,16000,0,0
2022,Street and Alley Improvements,184,2017 Bonds,Street Lights Wendelkin St - V178,V178.1,2022,2022,0,112000,112000,0,0
2022,Street and Alley Improvements,184,2017 Bonds,Street Lights Within Claremont Neighborhood - V179,V179.1,2022,2022,0,600000,600000,0,0
2022,Street Reconstruction,184,2012 Bonds,Superior St From Catherine To W. Clarendon - S444,S444.1,2022,2022,195,0,(195),0,0
2022,Street Resurfacing,185,2017 Bonds,Sylvania Dr from Sinclair Ave to Vinemont St - V807,V807.1,2022,2022,184744,184744,(0),0,0
2022,Street Resurfacing,185,2017 Bonds,Syracuse Dr from Wake Forrest Dr to Wake Forrest Dr - V804,V804.1,,,240512,240512,0,0,0
2022,Street Resurfacing,185,2017 Bonds,Terry St from S Haskell Ave to S Peak St - V811,V811.1,2022,2022,150260,148808,(1452),0,0
2022,Traffic Signals,185,Capital Projects Reimbursement,Traffic Signal at Cantegral and Live Oak - W437,W437.1,2022,2022,236061,242059,5999,0,0
