cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - Library Facilities,ROW31.4,,,8361,8361,0,0,0,0
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - Library Facilities,ROW31.5,2008,2008,0,20904,20904,0,0,0
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - Public Safety,ROW31.6,,,4134,4134,0,0,0,0
2007,Professional Services and Debt Issuance,25,City Facilities,Bond Sale Expense - Public Safety,ROW31.7,2008,2008,0,25482,25482,0,0,0
2007,Major Maintenance - City Facilities,25,City Facilities,Building Inspection Facility - 542 E Jefferson - Roof Replacement,ROW32.1,2009,2009,0,70000,0,70000,0,0
2007,Land Acquisition,25,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 10),ROW33.1,2008,2010,0,22551771,1509043,5606580,9822482,5613666
2007,Land Acquisition,25,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 12),ROW33.2,2008,2008,0,1193791,1193791,0,0,0
2007,Library Facilities,25,City Facilities,Casa View Branch Library - Replacement,ROW34.1,,,7129755,7129755,0,0,0,0
2007,Library Facilities,25,City Facilities,Central Library - 2nd and 6th Floors Renovation,ROW35.1,,,1687500,1687500,0,0,0,0
2007,Major Maintenance - Library,25,City Facilities,Central Library - 3rd Floor Renovation,ROW35.2,,,1140647,1140647,0,0,0,0
2007,Major Maintenance - Library,25,City Facilities,Central Library - 3rd Floor Renovation,ROW35.3,,,795000,795000,0,0,0,0
2007,Library Facilities,25,City Facilities,Central Library - Downtown Branch,ROW35.4,2009,2009,0,2200000,0,2200000,0,0
2007,Library Facilities,25,City Facilities,Central Library - Improvements,ROW35.5,,,5246672,5246672,0,0,0,0
2007,Major Maintenance - Library,25,City Facilities,Central Library - Main Fire Panel,ROW35.6,2008,2008,0,177800,177800,0,0,0
2007,Major Maintenance - Library,25,City Facilities,Central Library - Replace Electronic HVAC Filters,ROW35.7,,,254000,254000,0,0,0,0
2007,Major Maintenance - Public Safety,25,City Facilities,Central Police - Emergency Generator and HVAC Upgrade,ROW35.8,,,746249,746249,0,0,0,0
2007,Major Maintenance - City Facilities,26,City Facilities,Central Sanitation Collection - Roof Replacement,ROW35.9,2008,2008,0,50000,50000,0,0,0
2007,Major Maintenance - City Facilities,26,City Facilities,Central Service Center - 3112 Canton - Roof Replacement,ROW35.10,2008,2008,0,150000,150000,0,0,0
2007,Major Maintenance - City Facilities,26,City Facilities,Central Service Center - Communications Building- Roof Replacement,ROW35.11,2008,2008,0,349720,349720,0,0,0
2007,Major Maintenance - City Facilities,26,City Facilities,Central Service Center - Fleet Maintenance Building Roof Replacement,ROW35.12,2008,2008,0,338000,338000,0,0,0
2007,Major Maintenance - City Facilities,26,City Facilities,Central Service Center - HVAC Improvements,ROW35.13,2008,2008,0,1100000,1100000,0,0,0
2007,Major Maintenance - City Facilities,26,City Facilities,Central Service Center - Parking Improvements,ROW35.14,2008,2008,0,400000,400000,0,0,0
2007,Major Maintenance - City Facilities,26,City Facilities,Central Service Center - Public Works Field Operations - Roof Replacement,ROW35.15,2008,2008,0,125000,125000,0,0,0
2007,Professional Services and Debt Issuance,26,City Facilities,CIP Engineering - Animal Control Facilities,ROW36.1,2008,2008,0,10000,10000,0,0,0
2007,Professional Services and Debt Issuance,26,City Facilities,CIP Engineering - Cultural Arts Facilities,ROW36.2,2008,2008,0,270000,270000,0,0,0
2007,Professional Services and Debt Issuance,26,City Facilities,CIP Engineering - Farmers Market,ROW36.3,2008,2008,0,30000,30000,0,0,0
2007,Professional Services and Debt Issuance,26,City Facilities,CIP Engineering - Fire Facilities,ROW36.4,2008,2008,0,270000,270000,0,0,0
2007,Professional Services and Debt Issuance,26,City Facilities,CIP Engineering - Homeless Facilities,ROW36.5,2008,2008,0,80000,80000,0,0,0
2007,Professional Services and Debt Issuance,26,City Facilities,CIP Engineering - Library Improvement Facilities,ROW36.6,2008,2008,0,365000,365000,0,0,0
2007,Professional Services and Debt Issuance,27,City Facilities,CIP Engineering - Police Facilities,ROW36.7,2008,2008,0,75000,75000,0,0,0
2007,Major Maintenance - City Facilities,27,City Facilities,CIS Data Center - Replace Chillers,ROW37.1,,,152010,152010,0,0,0,0
2007,Major Maintenance - City Facilities,27,City Facilities,CIS Data Center - Replace Chillers,ROW37.2,2008,2008,0,100000,100000,0,0,0
2007,Studies and Master Plans,27,City Facilities,City Facilities - Building Condition Assessment,ROW38.1,,,825000,825000,0,0,0,0
2007,Major Maintenance - City Facilities,27,City Facilities,City Hall - Electrical System Renovations,ROW39.1,2008,2010,0,5380000,80000,0,5300000,0
2007,Major Maintenance - City Facilities,27,City Facilities,City Hall - Expansion Joint Renovation,ROW39.2,2010,2010,0,1200000,0,0,1200000,0
2007,Major Maintenance - City Facilities,27,City Facilities,City Hall - Install Automatic Fire Alarm,ROW39.3,2008,2008,0,1900000,1900000,0,0,0
2007,Major Maintenance - City Facilities,27,City Facilities,City Hall - Rekey Locks,ROW39.4,,,45784,45784,0,0,0,0
2007,Major Maintenance - City Facilities,27,City Facilities,City Hall - Security Upgrade,ROW39.5,,,309700,309700,0,0,0,0
2007,Major Maintenance - City Facilities,27,City Facilities,City Hall - Tank Replacement,ROW39.6,2010,2010,0,1000000,0,0,1000000,0
2007,Major Maintenance - City Facilities,27,City Facilities,City Service Center Signage Improvements,ROW40.1,,,135000,135000,0,0,0,0
2007,Studies and Master Plans,27,City Facilities,Citywide Facilities - Master Plan,ROW41.1,,,500000,500000,0,0,0,0
2007,Studies and Master Plans,27,City Facilities,City-Wide Multi Purpose Center - Master Plan,ROW42.1,2010,2010,0,450000,0,0,450000,0
2007,Major Maintenance - City Facilities,28,City Facilities,Communication Tower Dawson,ROW43.1,,,3867,3867,0,0,0,0
2007,Library Facilities,28,City Facilities,Dallas West Branch Library - Phase I Design and Renovation,ROW44.1,,,1940845,1940845,0,0,0,0
2007,Technology - Public Safety,28,City Facilities,Emergency Siren System,ROW45.1,2008,2008,0,3359860,3359860,0,0,0
2007,Major Maintenance - City Facilities,28,City Facilities,Family Gateway Center-Roof Replacement,ROW46.1,,,328700,328700,0,0,0,0
2007,Fire Protection Facilities,28,City Facilities,Fire Maintenance Building (5000 Dolphin Rd.) - Shoring Wall Props,ROW47.1,,,65000,65000,0,0,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Maintenance Building 'C' 5000 Dolphin - HVAC Improvements,ROW47.2,2009,2009,0,175000,0,175000,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Museum - Roof Replacement,ROW48.1,2009,2009,0,162800,0,162800,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Museum - Slab Replacement,ROW48.2,2009,2009,0,90000,0,90000,0,0
2007,Fire Protection Facilities,28,City Facilities,Fire Station - Keeneland and Walton Walker (New),ROW49.1,2008,2009,0,6727680,397889,6329791,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Station #02 (Northaven Rd. at Midway) - Roof Replacement,ROW49.2,2009,2009,0,173355,0,173355,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Station #03 (N Malcolm X Blvd. at Junius St.) - Fence Improvements,ROW49.3,2009,2009,0,100000,0,100000,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Station #04 (S. Akard St. at Cadiz St.) - Roof Replacement,ROW49.4,2009,2009,0,130556,0,130556,0,0
2007,Major Maintenance - Public Safety,28,City Facilities,Fire Station #05 (N. St. Augustine at Bruton Rd.) - Window Improvements,ROW49.5,2010,2010,0,60000,0,0,60000,0
2007,Fire Protection Facilities,29,City Facilities,Fire Station #06 Replacement (Harwood St. at Park Row Blvd) - Roof Replacement,ROW49.6,2009,2010,0,7615233,0,2000000,561525,5053708
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #07 (Davenport Rd. at Preston Rd.) - Parking Improvements,ROW49.7,,,0,65000,0,0,0,65000
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #07 (Davenport Rd. at Preston Rd.) - Roof Replacement,ROW49.8,,,0,295243,0,0,0,295243
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #08 (N. Garrett Ave. at Monarch) - Roof Replacement,ROW49.9,2010,2010,0,170683,0,0,170683,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #09 (Cool Mist Ln. at Edd Rd.) - HVAC Improvements,ROW49.10,2009,2009,0,31750,0,31750,0,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #09 (Cool Mist Ln. at Edd Rd.) - Roof Replacement,ROW49.11,2009,2009,0,100000,0,100000,0,0
2007,Fire Protection Facilities,29,City Facilities,Fire Station #10 (Frankford at Gibbons Dr. ) - Building Expansion,ROW49.12,2008,2008,431776,4317759,3885983,0,0,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #14 (W Twelfth St. at Tyler St.) - Fence Improvements,ROW49.13,2008,2008,0,322077,322077,0,0,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #15 (E 8th St. at Beckley Ave.) - Foundation Improvements,ROW49.14,2009,2009,0,23742,0,23742,0,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #16 (Chalk Hill Rd. at Singleton Blvd.) - Roof Replacement,ROW49.15,2010,2010,0,132080,0,0,132080,0
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #19 (E Grand Ave. at Beacon St.) - Roof Replacement,ROW49.16,,,0,210000,0,0,0,210000
2007,Major Maintenance - Public Safety,29,City Facilities,Fire Station #20 (Montfort Dr. at Harvest Hills Dr.) - Roof Replacement,ROW49.17,2010,2010,0,189056,0,0,189056,0
2007,Fire Protection Facilities,29,City Facilities,Fire Station #27 (Douglas Ave. at NW Hwy.) - Replacement,ROW49.18,2009,2010,0,8276657,0,2487282,578937,5210438
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #29 (Shadow Way at Audelia Rd.) -Structural Improvements,ROW49.19,2009,2009,0,35560,0,35560,0,0
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #30 (Zodiac Ln. at Royal) - Repair Doors and Apparatus Floor Coating,ROW49.20,,,95000,95000,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #32 (Benning Ave. at Jim Miller Rd.) - Replacement,ROW49.21,2008,2010,0,5468510,347308,472969,4648233,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #33 (Illinois Ave. at Vernon) - Replacement,ROW49.22,,,3732877,3732877,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #35 ( Walnut Hill Ln. at Mixon) - Replacement,ROW49.23,,,4246881,4246881,0,0,0,0
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #36 (N Hampton Rd. at Bickers St.) - Roof Replacement,ROW49.24,2010,2010,0,132969,0,0,132969,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #37 (Greenville Ave. at Blackwell Dr.) - Replacement,ROW49.25,2008,2010,0,7604143,1988910,561525,5053708,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #38 (E Illinois at Bonnie View) - Replacement,ROW49.26,,,3342810,3342810,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #39 (Shiloh at Centerville) - Replacement,ROW49.27,,,2879717,2879717,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #40 (Hampton at Kirnwood) - New,ROW49.28,,,3914870,3914870,0,0,0,0
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #41 (Royal Ln. at Preston Rd.) - Roof Replacement,ROW49.29,,,82335,82335,0,0,0,0
2007,Fire Protection Facilities,30,City Facilities,Fire Station #42 (W. Mockingbird Ln at Airdrome) - Replacement,ROW49.30,,,4304012,4304012,0,0,0,0
2007,Major Maintenance - Public Safety,30,City Facilities,Fire Station #43 (Lombardy Ln. at Denton Dr.) - Roof Replacement,ROW49.31,2010,2010,0,257383,0,0,257383,0
2007,Fire Protection Facilities,31,City Facilities,Fire Station #44 (Frank St. at Lagow St.) - Replacement,ROW49.32,2008,2010,0,5468510,347308,512122,4609080,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #46 (E Camp Wisdom Rd. at Manitoba Dr.) - Roof Replacement,ROW49.33,2009,2009,0,102585,0,102585,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #46 (E Camp Wisdom Rd. at Manitoba Dr.) - Sidewalk Improvements,ROW49.34,2009,2009,0,22860,0,22860,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #47 (Envoy Ct. at Mockingbird Ln.) - Roof Replacement,ROW49.35,,,0,88500,0,0,0,88500
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #47 (Envoy Ct. at Mockingbird Ln.) - Window and Door Improvements,ROW49.36,,,0,12954,0,0,0,12954
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #49 (S. Hampton Rd at Challenger) - Roof Replacement,ROW49.37,,,0,223609,0,0,0,223609
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #49 (S. Hampton Rd at Challenger) - Window Improvements,ROW49.38,,,0,50000,0,0,0,50000
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #51 (S St. Augustine Dr. at Elam Rd.) - Roof Replacement,ROW49.39,2010,2010,0,139902,0,0,139902,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #52 (Cockrell Hill Rd. at Illinois Ave.) - Roof Replacement,ROW49.40,2008,2008,0,101700,101700,0,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #53 (John West Rd. at Greenmeadow) - Clean and Paint Exterior,ROW49.41,,,13018,13018,0,0,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #53 (John West Rd. at Greenmeadow) - Roof Replacement,ROW49.42,2008,2008,0,88980,88980,0,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #54 (Bonnie View Rd. at Simpson Stuart Dr.) - Roof Replacement,ROW49.43,2008,2008,0,105264,105264,0,0,0
2007,Major Maintenance - Public Safety,31,City Facilities,Fire Station #57 (Audelia Rd. at Fair Oaks Dr.) - Roof Replacement,ROW49.44,2009,2009,0,107900,0,107900,0,0
2007,Fire Protection Facilities,32,City Facilities,Fire Station ( Mountain Creek Pkwy.) - Site Acquisition for Future Fire Station,ROW49.45,2008,2008,0,446705,446705,0,0,0
2007,Fire Protection Facilities,32,City Facilities,Fire Station (W. Kiest Blvd.) - Site Acquisition for Future Fire Station,ROW49.46,2008,2008,0,446705,446705,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Station Roof Abatement - (Various Locations),ROW49.47,2009,2009,0,300000,0,300000,0,0
2007,Fire Protection Facilities,32,City Facilities,Fire Stations - Storm Water Modifications (Various Locations),ROW49.48,,,3499742,3499742,0,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Stations Vent-a-hood Replacements (Various Locations),ROW49.49,2008,2008,0,153000,153000,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Training Administration Building 'A' (5000 Dolphin Rd.) - Roof Replacement,ROW50.1,2008,2008,0,245440,245440,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Training Rookie Building 'B' (5000 Dolphin Rd.) - Drainage Improvements,ROW50.2,2008,2008,0,152400,152400,0,0,0
2007,Major Maintenance - Public Safety,32,City Facilities,Fire Training Rookie Building 'B' (5000 Dolphin Rd.) - HVAC Improvements,ROW50.3,2008,2008,0,295000,295000,0,0,0
2007,Major Maintenance - Library,32,City Facilities,Forest Green Branch Library - Replace HVAC,ROW51.1,2010,2010,0,181280,0,0,181280,0
2007,Library Facilities,32,City Facilities,Forest Green Branch Library - Site Acquistion,ROW51.2,2010,2010,0,3088646,0,0,1088646,2000000
2007,Land Acquisition,32,City Facilities,Forest/Audelia/LBJ - Community and Multi-Service Facility,ROW52.1,,,0,3949945,0,0,0,3949945
2007,Library Facilities,32,City Facilities,Fretz Park Branch Library,ROW53.1,2010,2010,0,6015728,0,0,601573,5414155
2007,Major Maintenance - Library,32,City Facilities,Fretz Park Branch Library - Improvements,ROW53.2,,,150000,150000,0,0,0,0
2007,Major Maintenance - Library,33,City Facilities,Fretz Park Branch Library - Roof Replacement and HVAC Improvements,ROW53.3,,,183375,183375,0,0,0,0
2007,Professional Services and Debt Issuance,33,City Facilities,General Capital Reserve Transfer to General Fund,ROW54.1,2008,2008,0,7792500,7792500,0,0,0
2007,Library Facilities,33,City Facilities,Grauwyler /West Love Field - Site Acquisition for Future Branch Library,ROW55.1,,,204060,204060,0,0,0,0
2007,Library Facilities,33,City Facilities,Grauwyler and West Love Field Branch Library (New) - Design,ROW55.2,,,472635,472635,0,0,0,0
2007,Library Facilities,33,City Facilities,Grauwyler and West Love Field Branch Library (New) - Design and Construction,ROW55.3,,,4277954,4277954,0,0,0,0
2007,Library Facilities,33,City Facilities,Hampton Illinois Branch Library - Replacement,ROW56.1,,,6026661,6026661,0,0,0,0
2007,Major Maintenance - Library,33,City Facilities,Highland Hills Branch Library - Replace Carpet and Ceiling Tile,ROW57.1,,,55880,55880,0,0,0,0
2007,Major Maintenance - Library,33,City Facilities,Highland Hills Branch Library - Replace HVAC,ROW57.2,2008,2008,0,197625,197625,0,0,0
2007,Major Maintenance - Library,33,City Facilities,Highland Hills Branch Library - Roof Replacement,ROW57.3,,,214630,214630,0,0,0,0
2007,Major Maintenance - Library,33,City Facilities,Highland Hills Branch Library - Site Acquisition,ROW57.4,2008,2008,0,350983,350983,0,0,0
2007,Major Maintenance - Library,33,City Facilities,Highland Hills Branch Library Design,ROW57.5,2009,2009,0,594900,0,594900,0,0
2007,Homeless Assistance Facilities,33,City Facilities,Homeless Assistance Facilities,ROW58.1,,,23588806,23588806,0,0,0,0
2007,Homeless Assistance Facilities,33,City Facilities,Homeless Assistance Facilities,ROW58.2,,,2975000,2975000,0,0,0,0
2007,Solid Waste Facilities,34,City Facilities,Illegal Landfill Remediation,ROW59.1,,,29168131,29168131,0,0,0,0
2007,Major Maintenance - Library,34,City Facilities,Kleberg Rylie Library - New Fire Alarm and Security System Improvements,ROW60.1,2010,2010,0,41631,0,0,41631,0
2007,Major Maintenance - Library,34,City Facilities,Lakewood Branch Library - Interior Improvements,ROW61.1,,,164821,164821,0,0,0,0
2007,Major Maintenance - Library,34,City Facilities,Lakewood Branch Library - Replace HVAC,ROW61.2,2009,2009,0,459144,0,459144,0,0
2007,Major Maintenance - Library,34,City Facilities,Lakewood Branch Library - Roof Replacement,ROW61.3,2009,2009,0,130000,0,130000,0,0
2007,Library Facilities,34,City Facilities,Lancaster Kiest Branch Library - Replacement,ROW62.1,,,4295774,4295774,0,0,0,0
2007,Library Facilities,34,City Facilities,Library Facilities Master Plan,ROW63.1,,,376675,376675,0,0,0,0
2007,Major Maintenance - Library,34,City Facilities,Martin Luther King Jr. Branch Library - Improvements,ROW64.1,,,111760,111760,0,0,0,0
2007,Solid Waste Facilities,34,City Facilities,McCommas Bluff Landfill - Wastewater Line Relocation,ROW65.1,,,4963057,4963057,0,0,0,0
2007,Solid Waste Facilities,34,City Facilities,McCommas Bluff Landfill - Cell #4 Construction,ROW65.2,,,4160000,4160000,0,0,0,0
2007,Solid Waste Facilities,34,City Facilities,McCommas Bluff Landfill - Cell #5 Construction,ROW65.3,,,3710313,3710313,0,0,0,0
