cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
2015,Airport Assets,88,Airports,Brown Field,,,Council District: 8; Community Plan: Otay Mesa,6144500,6144500,"This annual allocation provides for as-needed improvements within the City's Brown Field Air- port; which can include, but is not limited to, pavement, drainage, striping, and signage condition assessments for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with federal and State ADA regulations.",0,0,0,0,0,0,0
2015,Airport Assets,89,Airports,Montgomery Field,,,Council District: 6; Community Plan: Kearny Mesa,10159184,10159184,"This annual allocation provides for as-needed improvements within the City's Montgomery Field Airport; which can include, but is not limited to, pavement, drainage, striping, and signage condition assessments for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with federal and State ADA regulations.",0,0,0,0,0,0,0
2015,Landfills - Supporting Fac / Struct,96,Environmental Services,CNG Fueling Station for Refuse & Recycling,2016,2018,Council District: 1; Community Plan: University,1200000,3000000,"This project provides for the design and construction of a compressed natural gas (CNG) fueling station at the Enivironmental Services Operations Station located at 8353 Miramar Place. In conjunction with the completion of the fueling station, the division plans to put into service refuse and recycling vehicles that run on CNG eventually replacing the entire fleet of low sulpher diesel refuse and recycling packers. The construc- tion of CNG fueling infrastructure and the replacement of vehicles will be implemented in a phased approach. It is estimated that CNG infrastructure will be constructed to allow for the replacement of approximately 20 vehi- cles on an annual basis until all vehicles have been replaced.",This project provides for the necessary infrastructure to convert Environmental Services fleet refuse and recycling vehicles from low sulfur diesel to compressed natural gas.,0,900000,0,900000,0,0,0
2015,Bldg - Other City Facility / Structures,97,Environmental Services,Citywide Energy Improvements,,,Council District: Citywide; Community Plan: Citywide,522246,522246,"This project will provide for energy efficiency improvements in City facilities. Projects typically address lighting, air conditioning, chiller, pumping and fan systems, invertors, and City-owned solar systems. Newer, more efficient technologies greatly reduce energy consumption.","Energy efficiency improvements repay capital costs in one to nine years, depending upon the project. The energy savings continue each year thereafter. Energy audits are performed in a variety of City- owned facilities to identify opportunities for energy savings.",0,0,0,0,0,0,0
2015,Landfills,98,Environmental Services,Environmental Services Operations Yard Improvement,,,Council District: 5; Community Plan: University,8076,8076,"This annual allocation provides for operational yard improvements necessary to support heavy equipment and other upgrades related to yard security, safety, and stormwater runoff to the Environmental Ser- vices Operations Station (ESOS) Yard.","Operational yard improvements are required to support heavy equipment. Other upgrades will improve yard security, safety, and ensure regulatory compliance with stormwater runoff.",0,0,0,0,0,0,0
2015,Landfills - Supporting Fac / Struct,99,Environmental Services,Future Waste Mgmt Disposal & Pro Fac,,,Council District: Citywide; Community Plan: Citywide,13626919,13626920,"This project provides for the development and construction of solid waste disposal and process- ing facilities. Strategic planning, design, construction, environmental review, and potential purchase of mitiga- tion property are all within the scope of the project.",The City must continue to have adequate disposal or processing facilities for the solid waste it generates each year. Technology to recover and/or convert portions of refuse material is being explored and developed. It appears that there will always be a need for landfilling part of the generated waste stream and res- idue from other solid waste disposal facilities.,0,0,0,0,0,0,0
2015,Landfills,100,Environmental Services,Minor Improvements to Landfills,,,Council District: Citywide; Community Plan: Citywide,1634975,1634975,"This annual allocation provides for minor improvements to existing sanitary landfills to comply with operating permits and regulatory requirements. Such improvements may include fencing, access roads, drains, small structures, and environmental protection projects. This project also provides for minor improve- ments to existing groundwater monitoring networks at all closed and operating landfills managed by the City. Improvements include new facilities as well as engineering reports and/or design specifications necessary to mitigate groundwater issues or modify groundwater montoring programs.","This project provides the flexibility for timely initiation of minor improvements and construc- tion needed to meet operational and solid waste regulatory mandates such as drainage, grading, and groundwa- ter monitoring improvements.",0,0,0,0,0,0,0
2015,Landfills,101,Environmental Services,Miramar Landfill Greenery Expansion,,,Council District: Citywide; Community Plan: Citywide,397858,397858,"This project provides for the expansion of the existing Miramar Greenery currently located at the Miramar Landfill. The expansion of curbside greens collection to additional neighborhoods in the City will increase the tonnage coming into the facility, requiring additional acreage and equipment.",Expansion of curbside greens collection will increase the diversion of solid waste required by the State of California. A larger facility is required to process the increased tonnage expected as a result of expanded curbside pickup.,0,0,0,0,0,0,0
2015,Landfills - Supporting Fac / Struct,102,Environmental Services,South Chollas Landfill,,,Council District: 4; Community Plan: Eastern Area (Mid-City),1776000,1776000,This project provides for modifying the existing landfill gas collection system to enhance opera- tions and maintain regulatory compliance.,Federal and State waste disposal legislation require proper environmental safeguards to control landfill gas.,0,0,0,0,0,0,0
2015,Landfills - Supporting Fac / Struct,103,Environmental Services,South Chollas Landfill Improvements,,,Council District: 4; Community Plan: Eastern Area (Mid-City),15828624,15828624,"This project provides for cover material, grading, drainage, and site improvements at the inac- tive South Chollas Landfill. The project will also result in improvements to the Chollas Operations Yard required by the Regional Water Quality Control Board in order to bring the site into compliance. A Corrective Action Plan has been developed to identify the corrective measures and timelines to mitigate the groundwater issues.",This project is required to maintain compliance with various State and federal regulatory requirements and to avoid code violations.,0,0,0,0,0,0,0
