cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
2011,Brown Field / AAA00002,115,Airports,,2012,2017,Council District: 8; Community Plan: Otay Mesa,2789500,11018687,"The Brown Field Airport annual allocation provides for the following projects: rehabilitation of Runway 8L/26R project, deferred maintenance projects, repaving of the North Parking lot and the remodeling of the terminal restrooms.","The repaving of the north parking lot will prevent future flooding. The remodel of the rest­ rooms will bring them up to current accessibility codes, and the rehabilitation design will bring the runway up to current design and Federal Aviation Administration (FAA) standards.",0,1371531,1371531,1371531,1371531,1371531,1371531
2011,Brown Field Electrical Upgrade / S00773,116,Airports,,2012,2012,Council District: 8; Community Plan: Otay Mesa,2724019,2748279,This project provides for the design and construction of electrical system upgrades at Brown Field Airport.,Brown Field's current electrical system has out lived its design life and needs to be replaced to meet current engineering standards and the Federal Aviation Administration (FAA) regulations; thus providing continued safe use of the airport.,0,24260,0,0,0,0,0
2011,Montgomery Field / AAA00001,117,Airports,,2012,2017,Council District: 6; Community Plan: Kearny Mesa,6884600,17663582,The Montgomery Field Airport (MYF) Annual allcoation will provide: Capital Improvement Projects (CIP): Rehabilitation design of the Montgomery Field Airport Runway 5/23 and Taxiway G. A con­ sultant will evaluate the deteriorated conditions of Runway 5/23 and Taxiway G and provide a rehabilitation design to bring Runway 5/23 and Taxiway G to current engineering and construction standards and in compli­ ance with Federal Aviation Administration (FAA) guideline and regulations. Deferred Maintenance Projects (DMP): Remove and Replace deteriorated pavement sections of Glenn Curtis Road.,"Runway 5/23 and Taxiway G have outlasted their design use and their deteriorated conditions may expose the airport users to unsafe conditions. The rehabilitation of Runway 5/23 and Taxiway G will pro­ vide continued safe usage to the airport users, which will ultimately diminish the possibility of aircraft accidents and City liability.",0,1796497,1796497,1796497,1796497,1796497,1796497
2011,Montgomery Field NW Heliport / S00679,118,Airports,,,,Council District: 6; Community Plan: Kearny Mesa,1564049,1564049,"This project, MYF NW Heliport, provides for redesign of the heliport to address all environmen­ tal constraints and complies with the U.S. Fish and Wildlife Service (U.S.F.W.S.), which delayed the construc­ tion of the heliport under the previous design. The heliport will meet the needs of airport users.","Constructing the heliport will result in redefining helicopter flight patterns, reducing noise and flights over residential areas to the south of the airport.",0,0,0,0,0,0,0
2011,OneSD Capital / S09999,120,Chief Financial Officer,Bldg - Operations Facility,,,Council District: Citywide; Community Plan: Citywide,38125000,38125000,"The OneSD project provides for the replacement of many legacy software systems currently in use by City departments with the business center of the Office of the Chief Financial Officer (CFO) and Busi­ ness and Support Services. The System will replace the following major systems: AMRIS (General Ledger), ALVA (Financial Reporting), APIS (Accounts Payable), ARIS (Accounts Receivable), FMIS (Budgeting and Financial Management), FAMIS (Fixed Asset Management), OPIS (Purchasing), CAPPS (Payroll), and PATS (Applicant Tracking). Additionally, this integrated application will be used by all City departments for day-to­ day business operations and human resource needs and is expected to support the City's information technology (IT) needs for the next 15 years.","Recommendations contained in the Kroll Report stated that due to their antiquated state, the City's major software systems require updating. The applications that support the departments under the Office of the Chief Financial Officer (CFO) and Business and Support Services no longer meet the requirements for responsible financial management, efficient human resources management, and IT operational efficiency.",0,0,0,0,0,0,0
2011,Supplier Relationship Management - SAP / S12021,122,Enterprise Resource Planning,Bldg - Other City Facility,2012,2012,Council District: Citywide; Community Plan: Citywide,0,900000,This project will implement the Supplier,This project will provide for the simplification and automation of the procure-to-pay process for the City's Purchasing and Contracting division.,0,900000,0,0,0,0,0
2011,Arizona Landfill Gas Utility / S00777,124,Environmental Services,Bldg - Other City Facility,,,Council District: 3; Community Plan: Balboa Park,2050000,2050000,This project provides for design and construction of improvements necessary to make beneficial use of the landfill gas currently being flared at this site.,This project will demonstrate the use of renewable energy resources and will reduce the amount of purchased energy required at park facilities in the vicinity.,0,0,0,0,0,0,0
2011,Citywide Energy Improvements / ABT00003,125,Environmental Services,Bldg - Other City Facility,,,Council District: 6; Community Plan: Kearny Mesa,9420105,9420105,"This project will provide for energy efficiency improvements in City facilities. Projects typically address lighting, air conditioning, chiller, pumping and fan systems, invertors and City owned solar systems. Newer, more efficient technologies greatly reduce energy consumption.","Energy efficiency improvements repay capital costs in one to nine years, depending upon the project. The energy savings continue each year thereafter. Energy audits are performed in a variety of City­ owned facilities to identify opportunities for energy savings.",0,0,0,0,0,0,0
2011,Energy Commission Energy Efficiency Facility Imp / ABT00004,126,Environmental Services,Bldg - Other City Facility,,,Council District: Citywide; Community Plan: Citywide,2306463,2306462,This project provides needed energy improvements to various City facilities.,This project will provide energy improvements at various City facilities located throughout the City of San Diego in all Council Districts.,0,0,0,0,0,0,0
2011,Environmental Services Facilities Improvements / ABT00005,127,Environmental Services,Bldg - Other City Facility,2012,2012,Council District: 6; Community Plan: Kearny Mesa,393219,508309,"This project provides for needed facility improvements for the Environmental Services Depart­ ment. Facilities include the Ridgehaven building, Miramar Operations Station, and facilities at the Miramar Landfill.",The Ridgehaven Facility is overdue for,0,115090,0,0,0,0,0
2011,Material Recovery Facility / S00817,128,Environmental Services,Bldg - Other City Facility,,,Council District: 5; Community Plan: Non City,5824809,5824809,"This project provides for a recycling facility designed to receive, process, transport and/or dis­ pose of municipal solid waste. The scope and magnitude of this project is under review and may change based on a variety of technical issues including adjustments to meet the state-mandated recycling goal.",The proposed facility will compliment the Curbside Recycling Program by recovering recycla­ bles from non-participants in other recycling programs. The facility is part of the effort to achieve the state­ mandated (AB 939) 50% recycling rate.,0,0,0,0,0,0,0
2011,Ridgehaven Backup Generator Project / S10133,129,Environmental Services,Bldg - Other City Facility,,,Council District: 6; Community Plan: Kearny Mesa,350000,350000,Installation of Emergency backup generator and associated equipment at Ridgehaven Court facility which will be used as Homeland Security alternate Emergency Operations Center. The Generator is purchased and on site waiting to be installed..,To serve the requirements of Homeland Security Emergency Operations.,0,0,0,0,0,0,0
2011,West Miramar Landfill - Phase 2 / S00774,130,Environmental Services,Bldg - Other City Facility,,,Council District: 5; Community Plan: Non City,3060000,3060000,This project provides for a landfill gas collection system for the West Miramar Phase II Landfill. Bio-degradation of buried waste produces landfill gas. The landfill gas collection system consists of a network of gas extraction wells connected by piping.,This improvement is required to maintain compliance with various State and federal regulatory requirements. It will also prevent code violations and enhance public health and safety.,0,0,0,0,0,0,0
2011,Chollas Landfill Photovoltaic / S00778,131,Environmental Services,,,,Council District: 4; Community Plan: Southeastern San Diego,5000,5000,This project provides for up to one megawatt of power generation from solar photovoltaic panels located at the South Chollas landfill.,This project will demonstrate the use of renewable and sustainable energy resources on a brownfield and will reduce the amount of energy consumed from the local utility company at the Chollas Oper- ations Yard.,0,0,0,0,0,0,0
2011,Environmental Services Operations Yard Improvement / AFA00003,132,Environmental Services,,,,Council District: 5; Community Plan: Mira Mesa,246050,701050,"This annual allocation provides for operational yard improvements necessary to support heavy equipment and other upgrades related to yard security, safety and stormwater runoff to the Environmental Ser- vices Operations Station (ESOS) Yard.","Operational yard improvements are required to support heavy equipment and other upgrades related to yard security, safety and stormwater runoff.",455000,0,0,0,0,0,0
2011,Groundwater Monitoring Network / AKC00001,133,Environmental Services,,2012,2016,Council District: Citywide; Community Plan: Citywide,815318,2205318,"This annual allocation provides for minor improvements to existing Groundwater Monitoring Networks at all closed and operating landfills managed by the City. Such improvements may include new facil­ ities to monitor groundwater, preparation of reports necessary to modify the groundwater monitoring programs, or potential groundwater mitigation measures.","This project provides the flexibility necessary to respond to operational issues and possible changes in the Groundwater Monitoring Program required by Title 23, Chapter 15, Article 5 of the California Code of Regulations.",0,270000,270000,270000,290000,290000,0
2011,Minor Improvements to Landfills / AFA00001,134,Environmental Services,,2012,2016,Council District: Citywide; Community Plan: Citywide,1549937,2939937,"This annual allocation provides for minor improvements to existing sanitary landfills to comply with operating permits and regulatory requirements. Such improvements may include fencing, access roads, drains, small structures, and environmental protection projects.",This project provides the flexibility for timely initiation of minor improvements and construc­ tion needed to meet operational and solid waste regulatory mandates such as drainage and grading improve­ ments.,0,270000,270000,270000,290000,290000,0
2011,Miramar Landfill Greenery Expansion / S00975,135,Environmental Services,,,,Council District: 5; Community Plan: Non City,397858,397858,"This project provides for the expansion of the existing Miramar Greenery currently located at the Miramar Landfill. The expansion of curbside greens collection to additional neighborhoods in the City will increase the tonnage coming into the facility, requiring additional acreage and equipment.",Expansion of curbside greens collection will increase the diversion of solid waste required by the State of California. A larger facility is required to process the increased tonnage expected as a result of expanded curbside pickup.,0,0,0,0,0,0,0
2011,Mission Bay Landfill Site / S00780,136,Environmental Services,,,,Council District: 2; Community Plan: Mission Bay Park,900000,900000,This project involves an assessment which will determine potential impacts the Mission Bay Landfill has on public health and the environment.,Previous assessment reports for this site were conducted in the 1980s. Newer methodologies and analysis will be used to provide a current assessment of potential impacts. Increased development of this area has resulted in increased public utilization of this landfill area.,0,0,0,0,0,0,0
2011,South Miramar Landfill / S00779,137,Environmental Services,,,,Council District: 5; Community Plan: Non City,3610000,3610000,"This project provides cover material, grading, drainage, and site improvements at the inactive South Miramar Landfill.",This project is required in order to maintain compliance with various State and federal regula- tory requirements.,0,0,0,0,0,0,0
2011,Unclassified Disposal Site Closure / S01084,138,Environmental Services,,,,Council District: Citywide; Community Plan: Citywide,3469605,3469605,This project provides for preliminary assessments and remediation of various burn sites and unclassified disposal sites. These sites have been identified as potential health or environmental risks.,Assessments are required to determine potential impacts to public health and the environment. Sites that are determined to pose potential hazards must be remediated to prevent any impact.,0,0,0,0,0,0,0
