cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
2013,Airport Assets,92,Airports,Brown Field,2014,2019,Council District: 8; Community Plan: Otay Mesa,5776689,14176689,"This annual allocation provides for as-needed improvements within the City's Brown Field Air- port; which can include, but is not limited to, pavement, drainage, striping, and signage condition assessments for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with federal and State ADA regulations.",0,1400000,1400000,1400000,1400000,1400000,1400000
2013,Airport Assets,93,Airports,Montgomery Field,2014,2019,Council District: 6; Community Plan: Kearny Mesa,4936232,10936231,"This annual allocation provides for as-needed improvements within the City's Montgomery Field Airport; which can include, but is not limited to, pavement, drainage, striping, and signage condition assessments for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with federal and State ADA regulations.",0,1000000,1000000,1000000,1000000,1000000,1000000
2013,Airport Assets,94,Airports,Montgomery Field Rehabilitation,,,Council District: 7; Community Plan: Kearny Mesa,5231922,5231922,This project will provide for a consultant to assess Montgomery Field (MYF) Airport's current conditions of Runway 10L/28R. The consultant will present a design to make the runway comply with Federal Aviation Administration (FAA) guidelines. Construction work to rehabilitate the pavement of Runway 10L/28R will be primarily funded out of this standalone project and portions out of the Montgomery Field annual alloca- tion.,"This project is primarily grant-funded in order to restore the existing 40-year-old runway pave- ment. This planned restoration is required to ensure safety, meet Federal Aviation Administration (FAA) stan- dards, and diminish the possibility of aircraft accidents as well as City liability.",0,0,0,0,0,0,0
2013,Bldg - Other City Facility / Structures,102,Department of Information Technology,Enterprise Asset Management - SAP,,,Council District: Citywide; Community Plan: Citywide,1100000,1100000,"This project will consolidate and merge the Enterprise Asset Management (EAM) Systems, Applications, and Products (SAP) system into the Industry Solution for Public Sector (ISPS) SAP system and allow for one managed instance and full integration with ISPS processes. ISPS is used for Financials (General Ledger, Accounts Payable, Cost Accounting, Accounts Receivables, Fixed Assets), Materials Management, Funds/Grants Management, Human Capital Management, Procurement, Contracts Accounting, and Project Systems.",This project will reduce the size of the EAM technological infrastructure while providing full integration with the ISPS business processes in one SAP system.,0,0,0,0,0,0,0
2013,Landfills - Supporting Fac / Struct,110,Environmental Services,Arizona Street Landfill Closure and Modifications,,,Council District: 3; Community Plan: Balboa Park,3603542,3603543,This project provides for modifications to the existing landfill gas collection system and cover at the Arizona Landfill to enhance operations and maintain regulatory compliance.,Federal and State waste disposal legislation requires proper environmental safeguards to con- trol landfill gas.,0,0,0,0,0,0,0
2013,Bldg - Other City Facility / Structures,111,Environmental Services,Citywide Energy Improvements,2014,2014,Council District: Citywide; Community Plan: Citywide,8016441,8216441,"This project will provide for energy efficiency improvements in City facilities. Projects typically address lighting, air conditioning, chiller, pumping and fan systems, invertors, and City-owned solar systems. Newer, more efficient technologies greatly reduce energy consumption.","Energy efficiency improvements repay capital costs in one to nine years, depending upon the project. The energy savings continue each year thereafter. Energy audits are performed in a variety of City- owned facilities to identify opportunities for energy savings.",0,200000,0,0,0,0,0
2013,Bldg - Other City Facility / Structures,112,Environmental Services,Energy Commission Energy Efficiency Facility Imp,,,Council District: Citywide; Community Plan: Citywide,1078217,1078217,This project provides needed energy improvements to various City facilities.,This project will provide energy improvements at various City facilities located throughout the City of San Diego in all Council Districts.,0,0,0,0,0,0,0
2013,Bldg - Other City Facility / Structures,113,Environmental Services,Environmental Services Facilities Improvements,,,Council District: 6; Community Plan: Kearny Mesa,66268,66268,"This project provides for needed facility improvements for the Environmental Services Depart- ment. Facilities include the Ridgehaven building, Miramar Operations Station, and facilities at the Miramar Landfill.",The Ridgehaven Facility is overdue for,0,0,0,0,0,0,0
2013,Landfills,114,Environmental Services,Environmental Services Operations Yard Improvement,2014,2014,Council District: 5; Community Plan: Mira Mesa,77361,577361,"This annual allocation provides for operational yard improvements necessary to support heavy equipment and other upgrades related to yard security, safety, and stormwater runoff to the Environmental Ser- vices Operations Station (ESOS) Yard.","Operational yard improvements are required to support heavy equipment. Other upgrades will improve yard security, safety, and ensure regulatory compliance with stormwater runoff.",225000,275000,0,0,0,0,0
2013,Landfills - Supporting Fac / Struct,115,Environmental Services,Future Waste Mgmt Disposal & Processing Facilities,2019,2019,Council District: Citywide; Community Plan: Citywide,13626920,26846171,"This project provides for the development and construction of solid waste disposal and process- ing facilities. Strategic planning, design, construction, environmental review, and potential purchase of mitiga- tion property are all within the scope of the project.",The City must continue to have adequate disposal or processing facilities for the solid waste it generates each year. Technology to recover and/or convert portions of refuse material is being explored and developed. It appears that there will always be a need for landfilling part of the generated waste stream and res- idue from other solid waste disposal facilities.,0,0,0,0,0,0,13219251
2013,Landfills,116,Environmental Services,Minor Improvements to Landfills,2014,2018,Council District: Citywide; Community Plan: Citywide,1849621,3499621,"This annual allocation provides for minor improvements to existing sanitary landfills to comply with operating permits and regulatory requirements. Such improvements may include fencing, access roads, drains, small structures, and environmental protection projects. This project also provides for minor improve- ments to existing groundwater monitoring networks at all closed and operating landfills managed by the City. Improvements include new facilities as well as engineering reports and/or design specifications necessary to mitigate groundwater issues or modify groundwater montoring programs.","This project provides the flexibility for timely initiation of minor improvements and construc- tion needed to meet operational and solid waste regulatory mandates such as drainage, grading, and groundwa- ter monitoring improvements.",0,330000,330000,330000,330000,330000,0
2013,Landfills,117,Environmental Services,Miramar Landfill Greenery Expansion,,,Council District: Citywide; Community Plan: Citywide,397858,397858,"This project provides for the expansion of the existing Miramar Greenery currently located at the Miramar Landfill. The expansion of curbside greens collection to additional neighborhoods in the City will increase the tonnage coming into the facility, requiring additional acreage and equipment.",Expansion of curbside greens collection will increase the diversion of solid waste required by the State of California. A larger facility is required to process the increased tonnage expected as a result of expanded curbside pickup.,0,0,0,0,0,0,0
2013,Bldg - Other City Facility / Structures,118,Environmental Services,Ridgehaven Backup Generator Project,,,Council District: 6; Community Plan: Kearny Mesa,550000,550000,This project provides for the installation of the emergency backup generator and associated equipment at the Ridgehaven Court facility and will be used as Homeland Security alternate Emergency Opera- tions Center. The generator has been purchased and is on-site waiting to be installed.,This project will serve the requirements of Homeland Security Emergency Operations.,0,0,0,0,0,0,0
2013,Landfills - Supporting Fac / Struct,119,Environmental Services,South Chollas Landfill,,,Council District: 4; Community Plan: Eastern Area (Mid-City),1776000,1776000,This project provides for modifying the existing landfill gas collection system to enhance opera- tions and maintain regulatory compliance.,Federal and State waste disposal legislation require proper environmental safeguards to control landfill gas.,0,0,0,0,0,0,0
2013,Landfills - Supporting Fac / Struct,120,Environmental Services,South Chollas Landfill Improvements,2015,2018,Council District: 4; Community Plan: Eastern Area (Mid-City),6311702,6861702,"This project provides for cover material, grading, drainage, and site improvements at the inac- tive South Chollas Landfill.",This project is required to maintain compliance with various State and federal regulatory requirements and to avoid code violations.,0,0,500000,0,0,50000,0
2013,Landfills,121,Environmental Services,South Miramar Landfill,,,Council District: Citywide; Community Plan: Citywide,3610000,3610000,"This project provides cover material, grading, drainage, and site improvements at the inactive South Miramar Landfill.",This project is required in order to maintain compliance with various State and federal regula- tory requirements.,0,0,0,0,0,0,0
2013,Landfills,122,Environmental Services,Underground Tank Program,,,Council District: Citywide; Community Plan: Citywide,450560,450560,"This project provides for implementation of the Citywide Underground Hazardous Materials Storage Tank Master Plan. The plan addresses the removal, installation, closure, site assessment and mitigation, replacement, testing, and rehabilitation of the 69 City-owned underground storage tanks (USTs). Site assess- ment and mitigation activities related to 26 unauthorized releases are ongoing to maintain regulatory compli- ance, eligibility for State reimbursement, protection of groundwater, and public health and safety.","The State Underground Storage of Hazardous Substances Law (Sher Bill AB 1362) and SB989 established guidelines and regulations for the design, installation, rehabilitation, testing and maintenance, and monthly facility inspections by a Designated UST Operator. Non-compliance with UST laws or site assessment and mitigation (SA/M) requirements may make the City ineligible for reimbursement of an estimated $4 million in current and future SA/M costs as well as liable for civil penalties of up to $25,000 per day per site.",0,0,0,0,0,0,0
2013,Bldg - Other City Facility / Structures,123,Environmental Services,West Miramar Landfill - Phase 2,,,Council District: Citywide; Community Plan: Citywide,3060000,3060000,This project provides for a landfill gas collection system for the West Miramar Phase II Landfill. Bio-degradation of buried waste produces landfill gas. The landfill gas collection system consists of a network of gas extraction wells connected by piping.,This improvement is required to maintain compliance with various State and federal regulatory requirements. It will also prevent code violations and enhance public health and safety.,0,0,0,0,0,0,0
2013,Landfills,124,Environmental Services,West Miramar Refuse Disposal Facility - Phase 2,,,Council District: Citywide; Community Plan: Citywide,39112334,39112334,"This project provides for continuing development of the West Miramar Landfill, located south- west of Marine Corps Air Station Miramar. The facility will accommodate over 35 million cubic yards of refuse on 807 acres. Phase II will develop the second half of the facility, including design and construction of entry roads and drainage systems, excavation, federally-mandated liner systems, and stockpiling and spreading of earthen materials. This project also includes development of the General Development Plan elements for the entire site.","Improvements are required in order to ensure compliance with conditions set forth by the oper- ations permit issued by the California Integrated Waste Management Board and the Regional Water Quality Control Board. In addition, the funding will provide for improvements related to drainage and stormwater run- off to ensure National Pollutant Discharge Elimination System regulatory compliance.",0,0,0,0,0,0,0
2013,Bldg - Pub Safety - Lifeguard Stations,132,Fire-Rescue,Children's Pool Lifeguard Station,,,Council District: 1; Community Plan: La Jolla,3807067,3857067,This project provides for a new lifeguard station and family restroom at the Children's Pool in La Jolla.,"The existing Lifeguard Tower structure is no longer safe and has been abandoned. It does not meet the current or future needs of Lifeguard Services. The existing facility does not provide adequate safety to the employees, and can no longer keep up with the growing community of La Jolla and the larger number of vis- itors every year. The scope of this project is also to remodel the existing public restrooms facilities.",50000,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,133,Fire-Rescue,Fire Station Major Component Replacement Rehab,,,Council District: Citywide; Community Plan: Citywide,316262,316261,"This project provides for the replacement and/or rehabilitation of major structural and construc- tion components in older fire facilities throughout the City. Included are electrical service upgrades, heating, ventilating and air-conditioning (HVAC), roofs, dormitory remodels, kitchen remodels, driveway and parking paving, exterior finishes, and miscellaneous renovations.","The San Diego Fire-Rescue Department currently maintains 50 fire facilities. Over half of these facilities have been in service for more than 25 years. Many of the major components have exceeded their expected service life and must be replaced. The needs of modern technology and a diversified workforce also require changes in fire facility configuration, HVAC systems distribution, and energy capacity.",0,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,134,Fire-Rescue,Fire Station No. 01 - Downtown,,,Council District: 3; Community Plan: Centre City,517116,2000000,"This project provides for the design and construction of modifications to rehabilitate Fire Station 1 which include different floor layouts, new electrical plans, ventilation and exhaust extraction system, new roll-up doors, modified asbestos abatement plans to include only portions to be disturbed as part of other improvements, modified mechanical/ventilation system designed for the new configuration, kitchen area remodel, and a new accessible restroom.",This 29-year-old fire station is in need of repair and renovation in order to maintain a safe and livable facility. Many of the major components have exceeded their expected service life. The needs of modern technology and a diversified workforce also require changes in fire facility configuration.,1482884,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,135,Fire-Rescue,Fire Station No. 05 - Hillcrest,,,Council District: 3; Community Plan: Uptown,911923,9040000,"This project provides for an approximately 10,500 square foot fire station located at 3902 9th Avenue. The existing fire station will be demolished and replaced by a new, modern fire station. This station will house a crew of eight and one Battalion Chief. It will accommodate one engine, one aerial truck, and one Battalion Chief vehicle.",The current station is 49 years old. The water and sewer service to the existing station is deteri- orating and requires immediate repairs. The station is too small to accommodate a new style fire engine and the larger type of aerial ladder truck. The current station is inadequate to serve future population growth.,8128077,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,136,Fire-Rescue,Fire Station No. 08 - Mission Hills,2014,2014,Council District: 2; Community Plan: Uptown,663500,863500,This station is located at 3974 Goldfinch Street and it serves Mission Hills and surrounding areas. This project provides for the design and construction of the facility's working areas to provide the full functionality of the fire station operational requirements.,The current facility does not provide sufficient space to allow full functionality. This project will allow to better serve the community and to provide more efficient responses.,0,200000,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,137,Fire-Rescue,Fire Station No. 15 - Expansion,,,Council District: 2; Community Plan: Ocean Beach,400000,400000,Fire Station 15 serves the community of Ocean Beach and surrounding areas and is located at 4711 Voltaire Street. The project provides for the expansion of the existing fire station facility to meet current department standards and operational needs (meeting room or dorm rooms) to serve the growing population.,Expansion of the existing station is needed to keep up with increased operational activity over the years. The project provides for the expansion of the existing fire station facility to meet current department standards and operational requirements to serve the needs of the community.,0,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,138,Fire-Rescue,Fire Station No. 17 - Mid-City,,,Council District: 9; Community Plan: City Heights (Mid-City),828624,12015000,"This project provides for reconstructing the 50-year-old fire station at 4206 Chamoune Avenue in the Mid-City area. The station will accommodate up to ten personnel, two fire vehicles, and one paramedic unit.",Fire Station 17 is one of the busiest engine companies in the United States and is currently in a state of deterioration. Reconstruction of Fire Station 17 will allow for assignment of one additional fire crew to divide emergency response between two units.,11186376,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,139,Fire-Rescue,Fire Station No. 22 - Point Loma,,,Council District: 2; Community Plan: Peninsula,1008161,6770000,This project provides for the demolition of an existing and reconstruction of a new station located at 1055 Catalina Boulevard in Point Loma.,The existing fire station was built in the early 1940s and is now too small to accommodate new fire engines. Many of the major components have exceeded their expected service life. The needs of modern technology and a diversified workforce also require changes in fire facility configuration.,5761839,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,140,Fire-Rescue,Fire Station No. 38 - Mira Mesa Remodel,,,Council District: 6; Community Plan: Mira Mesa,650000,650000,This project provides for design and construction of approximately 500 square feet to expand the existing fire station to accommodate Emergency Medical Services (EMS) staff living quarters and increased operational needs.,The existing facility does not accomodate staff adequately. This project will provide for the housing of two medics who are currently housed in a rented trailer/modular building. This project will ensure consistency with the Citygate Report's recommendations.,0,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,141,Fire-Rescue,Fire Station No. 45 - East Mission Valley,2014,2014,Council District: 7; Community Plan: Mission Valley,7138692,10838692,"This project provides for an updated fire station in Mission Valley. The station will accommo- date up to 18 personnel, two engines, one aerial truck, two hazardous material apparatus, one paramedic ambu- lance, and one Battalion Chief vehicle.",A fire station is needed to serve the Mission Valley community. This project is consistent with City Council policy to meet response time guidelines.,0,3700000,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,142,Fire-Rescue,Fire Station No. 47 - Pacific Highlands Ranch,,,Council District: 1; Community Plan: Pacific Highlands Ranch,7745365,7745365,"This project provides for a 10,500 square foot fire station to serve the Pacific Highlands Ranch community. This station provides one engine and one aerial ladder truck. The project budget and funding reflect the Pacific Highlands Ranch Public Facilities Financing Plan for Fiscal Year 2006 as approved by the Mayor and City Council on December 7, 2004, per Resolution R-299980.",This is the second of three fire stations providing fire protection and emergency medical response in accordance with the requirements of the North City Planned Urbanizing Area.,0,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,143,Fire-Rescue,Fire Station No. 49 - Otay Mesa,2017,2017,"Council District: 8; Community Plan: Otay Mesa - Nestor, Otay Mesa",1885000,10250000,"This project provides for an approximately 10,500 square foot double-house fire station to serve the Otay Mesa and Otay Mesa/Nestor Communities. The fire station will be located across the intersection of Ocean View Hills Parkway and Sea Fire Point and will serve the community in addition to Fire Station 6 located at 693 Twining Avenue. The fire station will accommodate two fire apparati and a paramedic ambu- lance.",A second fire station is needed to serve the Otay Mesa Community and it will ensure consis- tency with the Citygate Report's recommendations.,0,0,0,0,8365000,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,144,Fire-Rescue,Fire Station No. 54 - Paradise Hills,,,Council District: 4; Community Plan: Skyline - Paradise Hills,83935,10295000,This project provides for a new fire station in the Paradise Hills area to serve the Paradise Hills/ Skyline area of San Diego. The site for this project has not been identified.,This station is needed to serve the Paradise Hills/Skyline community and will ensure consis- tency with the Citygate Report's recommendations.,10211065,0,0,0,0,0,0
2013,Bldg - Pub Safety - Lifeguard Stations,145,Fire-Rescue,La Jolla Cove Lifeguard Station,,,Council District: 1; Community Plan: La Jolla,1854627,2104627,"This project provides for the La Jolla Cove Lifeguard Station, located at 1100 Coast Boulevard, which will be a year-round facility replacing the current station. The structure will include an observation tower, first aid room, and locker room/restroom areas. This project will also provide for an accessible ramp for the mid-landing.","The existing facility consists of a station constructed in the 1950s and an observation tower added in 1980, which is inadequate to accommodate staff or provide adequate water safety protection.",250000,0,0,0,0,0,0
2013,Bldg - Pub Safety - Lifeguard Stations,146,Fire-Rescue,La Jolla Shores Lifeguard Station,,,Council District: 1; Community Plan: La Jolla,3395141,3395141,"This project provides for the La Jolla Shores Lifeguard Station located at 8100 Camino del Oro, which will be a year-round facility replacing the current station. The structure will include an observation tower, first aid room, reception area, kitchen, locker room/restroom areas, and a separate facility for rescue vehicles and emergency equipment.",The existing facility was built in 1981 and is inadequate to accommodate current and future staff and to allow for adequate water safety protection to the public.,0,0,0,0,0,0,0
2013,Bldg - Pub Safety - Lifeguard Stations,147,Fire-Rescue,Mission Beach Lifeguard Station,,,Council District: 2; Community Plan: Mission Beach,864400,864400,This project provides for remodeling the existing Mission Beach Lifeguard Station located at 3141 Oceanfront Walk.,The existing facility consists of a lifeguard station constructed in 1974 and does not accommo- date changing workforce demographics. Mission Beach historically accomodates the highest attendance within the City of San Diego and remodeling the station is necessary to accomodate the large and growing community.,0,0,0,0,0,0,0
2013,Bldg - Pub Safety - Lifeguard Stations,148,Fire-Rescue,North Pacific Beach Lifeguard Station,,,Council District: 2; Community Plan: Pacific Beach,577903,6763347,"This project provides for the North Pacific Beach Lifeguard Station located between the foot of Chalcedony Street and Law Street, which will be a year-round facility replacing the current seasonal station. The structure will include an observation tower, first aid room, reception area, kitchen, locker room/restroom areas, and a garage for rescue vehicles and emergency equipment.",North Pacific Beach has become a highly frequented beach over the years and new facilities will benefit both the public and the employees. Lifeguards are currently operating from a seasonal tower struc- ture supported by a container-type of facility where medical aids and other daily activities like food preparation take place. This can create health issues for both the public and the employees.,6185444,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,149,Fire-Rescue,North University City Fire Station,2015,2016,Council District: 1; Community Plan: University,4000000,14000000,"This new facility will provide support to the University City area and will provide emergency response times that meet City and national standards. This project will include land acquisition (if a privately owned site is identified), design, construction, and equipment for a new fire station to accommodate up to 11 crew members, a fire engine, service aerial truck, and ambulance. The size of the station will be approximately 10,500 square feet. The site has not been determined. On June 26, 2012, City Council approved R-307508 authorizing this project.",An additional fire station is needed in this area to ensure consistency with the Citygate Report's recommendations.,0,0,5000000,5000000,0,0,0
2013,Bldg - Pub Safety - Lifeguard Stations,150,Fire-Rescue,Ocean Beach Lifeguard Station,,,Council District: 2; Community Plan: Ocean Beach,10000,4560000,"This project provides for the Ocean Beach Lifeguard Station located at 1950 Abbott Street. This will be a year-round facility replacing the current station. The structure will include an observation tower, first aid room, reception area, kitchen, locker room/restroom areas, and a garage for rescue vehicles and emergency equipment.","The existing facility consists of a station constructed in 1980. Since that time, the beach has become a very popular area for swimming and surfing. The existing station is inadequate to accommodate staff and equipment. This project will result in a more effective deployment of lifeguard personnel and equipment, therefore improving the safety of the public and the community.",4550000,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,151,Fire-Rescue,SDFD Station Alerting,,,Council District: Citywide; Community Plan: Citywide,4400000,4400000,This project will provide for the replacement of the Fire In-Station Alerting System at fire sta- tions Citywide. The current alerting system technology is 21 years old and is no longer in service forcing the department to rely upon a back-up system.,"This project will help address General Plan recommended revisions. To treat medical patients and control small fires, the first-due unit should arrive within 7.5 minutes, 90 percent of the time from the receipt of the 911 call in fire dispatch.",0,0,0,0,0,0,0
2013,Bldg - Pub Safety - Fire Fac / Struct,152,Fire-Rescue,Skyline-Paradise Hills,,,Council District: 4; Community Plan: Skyline - Paradise Hills,991176,9153325,"This project provides for an additional station, to be located at 7180 Skyline Drive, to better serve the growing community of Skyline/Paradise Hills.","An additional fire station is needed in this area to meet General Plan recommended revisions. To treat medical patients and control small fires, the first-due unit should arrive within 7.5 minutes, 90 percent of the time from the receipt of the 911 call in fire dispatch.",8162149,0,0,0,0,0,0
2013,Bldg - Pub Safety - Lifeguard Stations,153,Fire-Rescue,South Mission Beach Lifeguard Station,,,Council District: 2; Community Plan: Mission Beach,382126,4612190,"The project provides for the South Mission Beach Station located at 700 North Jetty Road which will be a year-round facility replacing the current station. The new structure will include an observation tower, first aid room, reception area, kitchen, locker room and restroom areas, and a rescue vehicle and emergency equipment facility.",The existing facility was constructed in 1974 and was intended to be a temporary lifeguard sta- tion. It is inadequate to accommodate staff or to provide adequate water safety protection.,4230064,0,0,0,0,0,0
2013,Bldg - Libraries,162,Library,Balboa Branch Library,,,Council District: 6; Community Plan: Clairemont Mesa,746907,7702000,"This project provides for a new 15,000 square-foot branch library on the current site to replace the existing facility at 4255 Mount Abernathy. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.","The existing undersized facility has no meeting room, computer lab, nor adequate seating to provide adequate library services to the community.",6955093,0,0,0,0,0,0
2013,Bldg - Libraries,163,Library,Kensington,,,Council District: 9; Community Plan: Kensington - Talmadge (Mid-City),25000,2421530,"This project provides for a 2,000 square-foot expansion of the existing building at 4121 Adams Avenue. This project will benefit the Kensington/Normal Heights residents.",The expansion is to provide adequate library services to the community. The Kensington/Nor- mal Heights Branch Library is the smallest branch in the Library System. The community has expressed a desire for the library to remain at the same location.,2396530,0,0,0,0,0,0
2013,Bldg - Libraries,164,Library,Library Collection Conversion to RFID,,,Council District: Citywide; Community Plan: Citywide,700000,700000,"This project provides for re-labeling all library materials with Radio Frequency Identification (RFID) tags, purchasing self-checks and security gates that will detect the RFID tags/signals, and where cost effective, modify existing equipment to detect the RFID tag/signal.","All library materials that are checked out to the public are currently labeled with barcodes. RFID technology offers enhanced security, ergonomic benefits, and lends itself better to automation and self- service in libraries; all critical considerations for the Library. Barcodes were once the industry standard for labeling items; however, libraries are increasingly adding RFID tags/signals. Increased efficiency and better customer service are primary reasons for adopting RFID technology. RFID increases the speed of circulation as multiple items can be checked out/checked in simultaneously, rather than one-by-one as in barcode technology. Hand-held RFID readers can also assist staff in the stacks allowing for faster processing of holds, weeding the collection, and performing materials inventory tasks. RFID technology coupled with materials handling sys- tems enhances the speed with which items are back on the shelf and available for check-out.",0,0,0,0,0,0,0
2013,Bldg - Libraries,165,Library,Logan Heights Branch Library,,,Council District: 8; Community Plan: Southeastern San Diego,2534012,2534012,"This project provides for a new 25,000 square-foot library at 28th Street and Ocean View Boule- vard to serve the Logan Heights Community between Logan Elementary School and Memorial Charter Middle School. This project was awarded a grant under the State Library Bond Act.","The Logan Heights Branch Library, located at 811 South 28th Street in the heart of Logan Heights, was built in 1927 and serves a community of 28,883. The 3,967 square foot building has no meeting rooms or a computer lab for its residents and work spaces for staff are very constrained. Updating the existing telecommunications infrastructure is not feasible in the existing facility due to its age and inadequate size. In addition, there is no on-site parking.",0,0,0,0,0,0,0
