cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
2014,Airport Assets,88,Airports,Brown Field,2016,2020,Council District: 8; Community Plan: Otay Mesa,6713145,13713146,"This annual allocation provides for as-needed improvements within the City's Brown Field Air- port; which can include, but is not limited to, pavement, drainage, striping, and signage condition assessments for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with federal and State ADA regulations.",0,0,1400000,1400000,1400000,1400000,1400000
2014,Airport Assets,89,Airports,Montgomery Field,2016,2020,Council District: 6; Community Plan: Kearny Mesa,5936232,10936231,"This annual allocation provides for as-needed improvements within the City's Montgomery Field Airport; which can include, but is not limited to, pavement, drainage, striping, and signage condition assessments for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with federal and State ADA regulations.",0,0,1000000,1000000,1000000,1000000,1000000
2014,Airport Assets,90,Airports,Montgomery Field Rehabilitation,,,Council District: 7; Community Plan: Kearny Mesa,5231922,5231922,This project will provide for a consultant to assess Montgomery Field (MYF) Airport's current conditions of Runway 10L/28R. The consultant will present a design to make the runway comply with Federal Aviation Administration (FAA) guidelines. Construction work to rehabilitate the pavement of Runway 10L/28R will be primarily funded out of this standalone project and portions out of the Montgomery Field annual alloca- tion.,"This project is primarily grant-funded in order to restore the existing 40-year-old runway pave- ment. This planned restoration is required to ensure safety, meet Federal Aviation Administration (FAA) stan- dards, and diminish the possibility of aircraft accidents as well as City liability.",0,0,0,0,0,0,0
2014,Landfills - Supporting Fac / Struct,98,Environmental Services,Arizona St Landfill Closure & Mods,,,Council District: 3; Community Plan: Balboa Park,3603543,3603543,This project provides for modifications to the existing landfill gas collection system and cover at the Arizona Landfill to enhance operations and maintain regulatory compliance.,Federal and State waste disposal legislation requires proper environmental safeguards to con- trol landfill gas.,0,0,0,0,0,0,0
2014,Landfills - Supporting Fac / Struct,99,Environmental Services,CNG Fueling Station for Refuse & Recycling,2015,2017,Council District: 1; Community Plan: Mira Mesa,0,3000000,"This project provides for the design and construction of a compressed natural gas (CNG) fueling station at the Enivironmental Services Operations Station located at 8353 Miramar Place. In conjunction with the completion of the fueling station, the division plans to put into service refuse and recycling vehicles that run on CNG eventually replacing the entire fleet of low sulpher diesel refuse and recycling packers. The construc- tion of CNG fueling infrastructure and the replacement of vehicles will be implemented in a phased approach. It is estimated that CNG infrastructure will be constructed to allow for the replacement of approximately 20 vehi- cles on an annual basis until all vehicles have been replaced. It is anticipated that this conversion will save the City of San Diego approximately $3.0 million annually in fuel costs.",This project provides for the necessary infrastructure to convert Environmental Services fleet refuse and recycling vehicles from low sulfur diesel to compressed natural gas.,0,1200000,900000,900000,0,0,0
2014,Bldg - Other City Facility / Structures,100,Environmental Services,Citywide Energy Improvements,,,Council District: Citywide; Community Plan: Citywide,10193626,10193626,"This project will provide for energy efficiency improvements in City facilities. Projects typically address lighting, air conditioning, chiller, pumping and fan systems, invertors, and City-owned solar systems. Newer, more efficient technologies greatly reduce energy consumption.","Energy efficiency improvements repay capital costs in one to nine years, depending upon the project. The energy savings continue each year thereafter. Energy audits are performed in a variety of City- owned facilities to identify opportunities for energy savings.",0,0,0,0,0,0,0
2014,Bldg - Other City Facility / Structures,101,Environmental Services,Energy Commission Energy Efficiency Facility Imp,,,Council District: Citywide; Community Plan: Citywide,948217,948217,This project provides needed energy improvements to various City facilities.,This project will provide energy improvements at various City facilities located throughout the City of San Diego in all Council Districts.,0,0,0,0,0,0,0
2014,Landfills,102,Environmental Services,Environmental Services Operations Yard Improvement,,,Council District: 5; Community Plan: Mira Mesa,336611,611611,"This annual allocation provides for operational yard improvements necessary to support heavy equipment and other upgrades related to yard security, safety, and stormwater runoff to the Environmental Ser- vices Operations Station (ESOS) Yard.","Operational yard improvements are required to support heavy equipment. Other upgrades will improve yard security, safety, and ensure regulatory compliance with stormwater runoff.",275000,0,0,0,0,0,0
2014,Landfills - Supporting Fac / Struct,103,Environmental Services,Future Waste Mgmt Disposal & Pro Fac,,,Council District: Citywide; Community Plan: Citywide,13626919,13626920,"This project provides for the development and construction of solid waste disposal and process- ing facilities. Strategic planning, design, construction, environmental review, and potential purchase of mitiga- tion property are all within the scope of the project.",The City must continue to have adequate disposal or processing facilities for the solid waste it generates each year. Technology to recover and/or convert portions of refuse material is being explored and developed. It appears that there will always be a need for landfilling part of the generated waste stream and res- idue from other solid waste disposal facilities.,0,0,0,0,0,0,0
2014,Landfills,104,Environmental Services,Minor Improvements to Landfills,,,Council District: Citywide; Community Plan: Citywide,1634975,1634975,"This annual allocation provides for minor improvements to existing sanitary landfills to comply with operating permits and regulatory requirements. Such improvements may include fencing, access roads, drains, small structures, and environmental protection projects. This project also provides for minor improve- ments to existing groundwater monitoring networks at all closed and operating landfills managed by the City. Improvements include new facilities as well as engineering reports and/or design specifications necessary to mitigate groundwater issues or modify groundwater montoring programs.","This project provides the flexibility for timely initiation of minor improvements and construc- tion needed to meet operational and solid waste regulatory mandates such as drainage, grading, and groundwa- ter monitoring improvements.",0,0,0,0,0,0,0
