cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026
2020,Airport Assets,78,Airports,Brown Field,,,Council District: 8; Community Plan: Kearny Mesa,9261695,9261696,"This annual allocation provides for as-needed improvements within the City's Brown Field Airport; which can include, but is not limited to, pavement, drainage, striping, and signage for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with federal and State ADA regulations.",0,0,0,0,0,0,0
2020,Airport Assets,79,Airports,Montgomery-Gibbs Executive Airport,,,Council District: 6; Community Plan: Kearny Mesa,1996293,1996294,"This annual allocation provides for as-needed improvements within the City's Montgomery-Gibbs Executive Airport; which can include, but is not limited to, pavement, drainage, striping, and signage for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with federal and State ADA regulations.",0,0,0,0,0,0,0
2020,Bldg - Operations Facility / Structures,86,Citywide,101 Ash Improvements,,,Council District: 3; Community Plan: Centre City,26213542,26213542,"This project provides for the architectural, electrical, plumbing, asbestos mitigation, and mechanical tenant improvements to the 19 floors of 101 Ash Street for multiple City departments, including tenants of the City Operations Building and former tenants of 1010 2nd Ave building. Improvements will increase building’s occupancy and bring the building into compliance with current Americans With Disabilities Act (ADA) standards.","These tenant improvements are needed to increase the occupancy of the building by approximately 356 employees and accommodate the office space requirements for a development permit center, as well as several City departments. These improvements will provide the needed office space for the more than 500 employees that were displaced from the 1010 2nd Ave building along with Development Services staff from the City Operations Building, which based on a 2014 estimate has more than $90 million in deferred maintenance. The City estimates $43 million in savings over a 20 year period, after accounting for the cost of these improvements and the lease-to-own agreement for the building, when compared to obtaining outside lease space in the Downtown area.",0,0,0,0,0,0,0
2020,I n t a n g ible Assets Information Tech,87,Citywide,Accela Implementation Phase 2,2021,2021,,2186299,3259465,"This project is the next phase in the effort to replace Development Services Department's (DSD) Project Tracking System (PTS). PTS is an in-house system which DSD and the Department of IT staff began developing in 1998 and placed into operation in 2001. DSD uses PTS as its core information system to manage the permitting and development functions for the department. These include the review, comment, issuance, inspection, and archiving functions which are needed in managing the department's permits and projects, as well as code enforcement activities. The scope of this project includes the design, configuration, testing, and deployment of the Development Services module of the Accela platform, as well as the enhancement of the Accela Citizen Access portal. Phase 2 will involve the following: create all permit and approval types found in PTS within Accela, enable multiple independent review cycle functionality to occur, accommodate different review methods (e.g., over-the-counter, submittal, and appointment), expand electronic plan review to digitize 100%, develop and update policies and procedures to support the Accela system, develop interfaces between Accela and other technologies, enhance the Accela Citizen Access public portal and develop and deliver employee training.","In 2012, the Office of the City Auditor issued an audit report which recommended the replacement of PTS with an off-the-shelf package that meets the functional needs of the Department. This project will complete the replacement process of PTS with the Accela platform, as well as address outstanding audit recommendations made by the Office of the City Auditor for various performance audits of the Development Services Department.",0,1073165,0,0,0,0,0
2020,I n t a n g i b l e A s s e t s Information Tech,88,Citywide,Centralized Payment Processing Solution,,,,454999,455000,This project will provide a centralized payment processing solution to consolidate the multiple point-of-sale and online applications. This project is to replace the legacy system used by the Office of the City Treasurer and Public Utilities Departments. This project will include the interfaces required for revenue and deposit reporting. Future projects will include replacing all citywide point-of-sale systems and online payment applications.,This project will consolidate online payment processes from multiple back-end programs which will provide a higher quality of service to the public and streamline payment processing citywide.,0,0,0,0,0,0,0
2020,Bldg - Other City Facility / Structures,89,Citywide,CIP Emergency Reserve,,,Council District: Citywide; Community Plan: Citywide,999999,1000000,This annual allocation provides funding for urgent repairs due to an emergency or natural disaster.,This annual allocation provides an immediate source of funding for public works contracts when no alternative funding sources are available in order to respond quickly to an emergency or natural disaster.,0,0,0,0,0,0,0
2020,Bldg - Other City Facility / Structures,90,Citywide,Convention Center Phase III Expansion,,,Council District: 3; Community Plan: Centre City,3370819,685011298,"This project provides for the expansion of the existing San Diego Convention Center. The expansion will increase the existing leasable space by approximately 225,000 square feet of exhibit hall, 101,000 square feet of meeting rooms, and 80,000 square feet of ballrooms for an approximate total of 406,000 square feet.","The existing facility cannot accommodate some of the larger major events, which leads to the loss of events to other venues. The expansion is expected to increase the attendance and numbers of events held at the facility and provide significant economic benefits to the region.",681640478,0,0,0,0,0,0
2020,Intangible Assets Information Tech,91,Citywide,EAM Enhancements,,,,501679,501679,"This initiative is focused on delivering enhancements that have been requested by the Public Utilities Department (PUD) to the SAP Enterprise Asset Management (EAM) Solution. These requests rely on improvements to the following components: Work Manager, SAP, GIS, and Reporting.","These enhancements increase the usability experience for PUD and their work crews. Enhancements are focused on making data capture on the mobile device easier and more accurate. Added functionality will also be brought forward in SAP/EAM and GIS. Additionally, increased reporting will necessitate the development of additional reports.",0,0,0,0,0,0,0
2020,I n t a n g ible Assets Information Tech,92,Citywide,Enterprise Funded IT Projects,2021,2021,,2636999,11089531,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with enterprise funding sources. Individual projects are expected to result in a city-owned asset, which can include, but is not limited to, equipment, system interfaces, and intellectual property.","This annual allocation provides for improvements and enhancements to information technology projects that are solely funded with enterprise resources, and allows for increased reporting on these projects. Projects are also expected to have a duration longer than one fiscal year.",0,8452531,0,0,0,0,0
2020,Bldg - Other City Facility / Structures,93,Citywide,Fleet Operations Facilities,2022,2022,Council District: Citywide; Community Plan: Citywide,2098734,7687176,"This project will provide needed improvements within the City's Fleet Operations repair facilities. Phase 1 of this project provides for the electrical improvements at the Miramar Place Fleet Services. Phase 2 of this project provides for the electrical improvements at the Rose Canyon Fleet Services. Phase 3 of this project provides for the replacement of pump systems, sprayers, brushes, buildings/awnings, surrounding structures, etc. for three large car washes located at Chollas Operations Yard, 20th & B St. and at Rose Canyon. Phase 4 of this project provides for the replacement of two existing non-operational cranes with runway system each with a 33-foot span and a capacity of 2-tons located within the Equipment Offices & Repair Building of the Chollas Operations Yard. Phase 5 of this project provides for the replacement of the Chollas Operations Yard paint booth that was built in the 1960's. Phase 6 of this project provides for the replacement or rehabilitation of nine existing small car washes located at the Police substations.",This project is necessary to properly equip the existing City's Fleet repair facilities to support the car and truck washes at 20th and B St. and the Chollas Operations Yard which are non-functional and in need of replacement. The other car and truck washes require a variety of repairs and upgrades. Washing City vehicles is a storm water compliance requirement to keep debris from falling in the roadway and the repairs and replacements are necessary to remain in compliance with storm water regulations.,0,0,5588441,0,0,0,0
