cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,start_year,end_year
2007,350,Library,Library,San Ysidro Branch Library,35-093.0,Council District: 8; Community Plan: San Ysidro,316000,14686000,"This project provides for a 15,000 square foot facility to serve the San Ysidro Community. Discussions are currently underway with the Redevelopment Agency of the City of San Diego to build the new library as part of a Redevelopment project currently planned along San Ysidro Blvd.","The existing library, built in 1924 and remodeled in 1983, is only 4,089 square feet. It contains no meeting rooms or computer lab, no on-site parking, and no separation of the children's area and quiet study areas.",0,0,14370000,0,0,0,0,0,0,0,0,2010,2010
2007,351,Library,Library,Scripps Ranch Branch Library,35-112.0,Council District: 5; Community Plan: Scripps Miramar Ranch,35600,1126000,This project provides for an expansion of the Scripps Ranch Branch Library parking lot located at 10301 Scripps Lake Drive. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.,The current facility is fully occupied and the current parking lot does not have the capacity to serve the needs of the community.,0,0,1090400,0,0,0,0,0,0,0,0,2010,2010
2007,352,Library,Library,Skyline Hills Branch Library,35-107.0,Council District: 4; Community Plan: Skyline/Paradise Hills,5504252,11619000,"This project provides for a 15,000 square foot library expansion to the existing facility located at 480 South Meadowbrook Drive. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.","The existing facility is too small to provide adequate library services to the community. There are no meeting room facilities or computer lab, and limited collection space and patron seating.",0,0,6114748,0,0,0,0,0,0,0,0,2010,2010
2007,357,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Clean Water Program Pooled Contingencies,46-502.0,Council District: Citywide; Community Plan: Citywide,0,688499,"This annual allocation provides for Capital Improvements Program contingency needs for Metropolitan Sewer projects, fund 41509.",This annual allocation will provide better Capital Improvements Program budget control. Project contingency needs (except annual allocation projects) will be met by this annual allocation.,688499,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,358,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Metro Biosolids Center,42-913.0,Council District: 7; Community Plan: No Community Planning Area,0,1340000,This annual allocation provides for major renovation or replacement of facilities at the treatment plant and associated facilities.,"The Metro Biosolids Center became operational in 1999. It is anticipated that after the start-up period, several projects will be required within this facility to enhance or maintain operation. This annual allocation will be considered an enhancement to the facility and does not include operation and maintenance.",1340000,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,359,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Metro Operations Center,45-956.0,Council District: 6; Community Plan: Kearny Mesa,0,191887,This annual allocation provides for minor renovations or upgrades to the Metropolitan Operations Center (MOC) facilities.,"This annual allocation will provide for renovation/upgrades to the various facilities that comprise the MOC. The MOC facilities are used to house Metropolitan Wastewater Department (MWWD) employees, as well as warehouse/storage space for MWWD assets and vehicles.",191887,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,360,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Metropolitan System Pump Stations,41-926.0,"Council District: 2, 8; Community Plan: Midway/Pacific Highway Corridor, Barrio Logan",0,6330895,"This annual allocation for Metropolitan System Pump Stations provides for comprehensive upgrades, design modifications, and major renovations or replacement of major equipment, such as pumps, valves, tanks, controls, odor control systems, etc. at the pump stations. The allocation also provides for the addition of an office/shop/storage building.",These improvements will allow the pump stations to be run more efficiently and increase the reliability of the Metropolitan Wastewater System.,6330895,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,361,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - North City Water Reclamation Plant,42-926.0,Council District: 1; Community Plan: University,0,928600,This annual allocation provides for major renovation or replacement of facilities at the North City Water Reclamation Plant (NCWRP) and associated facilities.,"The NCWRP became operational in mid-1997. It is anticipated that during or after the start-up period, several projects will be required within this facility to enhance or maintain operation. This annual allocation will be considered as an enhancement to the facility and does not include budgeting for operation and maintenance.",928600,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,362,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Point Loma Treatment Plant/Related Facilities,46-119.0,Council District: 2; Community Plan: Peninsula,0,1489085,"This annual allocation provides for minor renovation or replacement of facilities at the treatment plant, pump stations, and associated facilities.",Various facilities require replacement due to increasing wastewater flows and higher required levels of treatment.,1489085,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,363,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - South Bay Water Reclamation Plant,45-932.0,Council District: 8; Community Plan: Tia Juana River Valley,0,151424,"This annual allocation provides for minor renovation or replacement of facilities at the South Bay Water Reclamation Plant, pump station, and associated facilities.",Various facilities require replacement or modification due to changing and improved technology.,151424,0,0,0,0,0,0,0,0,0,0,2008,2008
