cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,start_year,end_year
2007,77,City Planning and Community Investment,Centre City Development Corporation,Annual Allocation - Downtown Parking Projects,39-803.0,"Council District: 2, 8; Community Plan: Centre City",0,1500000,"This project provides funding to implement and facilitate projects and programs to maximize the use of existing parking resources. Parking management projects and programs include design and implementation of a ""Wayfinding"" program throughout downtown, implementation of residential parking permits, and payment of debt service. These projects have also been pledged for the payment of 6th and Market and 6th and K parking facilities.","The Redevelopment Plan of the Centre City Redevelopment Area calls for the elimination of blight in Centre City. The Redevelopment Plan was adopted on May 11, 1992, by Ordinance O-17767. The Parking Meter Revenue Allocation Policy (100-18) was adopted on March 4, 1997, and the Comprehensive Downtown Parking Plan was adopted on December 2, 1997.",1500000,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,78,City Planning and Community Investment,Community Services Program,Cortez Hill Family Center,37-013.0,Council District: 2; Community Plan: Centre City,5090976,5090976,This facility provides short-term transitional housing for homeless families.,"The Cortez Hill Family Center project will provide year-round, short-term transitional housing for homeless families.",0,0,0,0,0,0,0,0,0,0,0,,
2007,79,City Planning and Community Investment,Economic Development,25th Street Walkable Community Demonstration Project,39-236.0,"Council District: 8; Community Plan: Southeastern San Diego, Greater Golden Hill",239000,727850,"This project provides for public streetscape improvements on 25th Street from G Street in Golden Hill to Commercial Avenue in Sherman Heights. These improvements will slow down traffic, increase off-street parking, improve pedestrian safety and enhance the walkability of this main thoroughfare.",These public improvements will mitigate the negative effects of vehicular traffic and provide a more walkable streetscape.,0,488850,0,0,0,0,0,0,0,0,0,2009,2009
2007,80,City Planning and Community Investment,Economic Development,Adams Avenue - Streetscape Improvements,39-205.0,"Council District: 3; Community Plan: Greater North Park, Mid-City",2655069,2655069,"This project provides for public improvements such as sidewalk, curb, and gutter replacement along Adams Avenue. The improvements are part of other revitalization activities on Adams Avenue, where four demonstration projects have been completed.",The Adams Avenue Revitalization Project has been a part of the Mid-City Commercial Revitalization Program and was completed in phases. This project will continue the approved design concept on additional commercial blocks in the Normal Heights and Kensington-Talmadge areas.,0,0,0,0,0,0,0,0,0,0,0,,
2007,81,City Planning and Community Investment,Economic Development,Annual Allocation - Removal of Architectural Barriers - CDBG Funded,39-217.0,Council District: Citywide; Community Plan: Citywide,0,1703949,"This annual allocation provides for removal of architectural barriers that prevent access by persons with disabilities to City facilities, programs, and services.","The City is required by the federal Americans with Disabilities Act (ADA) to make its facilities, programs and services accessible to persons with disabilities. Several City facilities are identified annually to be brought into compliance with the ADA.",1703949,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,82,City Planning and Community Investment,Economic Development,Border Infrastructure Study (SB 207),39-235.0,Council District: 8; Community Plan: Otay Mesa,100000,200000,The project provides for a vision and an implementation strategy for infrastructure development in Otay Mesa. This is the first phase in establishing a Border Development Zone (a 30-year designation) as authorized by State legislation (SB 207). The study will identify the needed public infrastructure to enhance economic development along the U.S./Mexico border.,The study will identify the public infrastructure needed to support future industrial development in Otay Mesa. This is the first and necessary step in creating an infrastructure financing plan.,0,100000,0,0,0,0,0,0,0,0,0,2009,2009
2007,83,City Planning and Community Investment,Economic Development,City Heights/University Avenue - Streetscape Improvements,39-210.0,Council District: 3; Community Plan: Mid-City,1077495,1677495,This project provides for public improvements along University Avenue in City Heights.,"Individual projects are important components of the Mid-City Commercial Revitalization Program and the City Heights Redevelopment Plan. The projects improve deteriorated infrastructure, provide visual enhancements and support commercial revitalization.",0,600000,0,0,0,0,0,0,0,0,0,2009,2009
2007,84,City Planning and Community Investment,Economic Development,El Cajon Boulevard Median Improvements,39-234.0,Council District: 7; Community Plan: College Area,2220920,2637920,"This project provides for median improvements on El Cajon Boulevard. Phase I provides for landscape improvements on El Cajon Boulevard between 54th Street and 73rd Street (the City boundary with La Mesa). It will replace substandard curbs and asphalt - surfaced raised medians with new curbs, and color stamped concrete. Phase II will install landscaping and irrigation. Enhancements may include street trees, shrubs, ground covers, automatic irrigation, enriched paving, signage and art work. The project also includes provisions for the installation of community area signs within the medians and a new traffic signal at the intersection of El Cajon Boulevard and Dayton Street.","Streetscape and landscape improvements on El Cajon Boulevard have been part of the commercial revitalization efforts of property owners, the business district and the City for more than ten years. The College Area Business Improvement District has adopted a Master Plan for their area that includes signage, public artwork, street trees, sidewalk replacements, enhanced paving, lighting and landscaping.",0,0,417000,0,0,0,0,0,0,0,0,2010,2010
2007,85,City Planning and Community Investment,Economic Development,Hillcrest Streetscape Improvements - University Avenue and Normal Street,39-213.0,Council District: 3; Community Plan: Uptown,1383966,1383966,"This project provides for streetscape improvements in Hillcrest on University Avenue between Tenth Avenue and Park Boulevard and Normal Street between University Avenue and Washington Street. Improvements include medians, trees, landscape, automatic irrigation systems, enhanced paving, art work, and lighting.","This project is an important component of the Uptown Community Plan. The project will improve deteriorated infrastructure, provide visual enhancements and support commercial revitalization.",0,0,0,0,0,0,0,0,0,0,0,,
2007,86,City Planning and Community Investment,Economic Development,Linda Vista Community Center,39-085.0,Council District: 6; Community Plan: Linda Vista,798628,798628,"This project provides for acquisition and construction of the Linda Vista Community Center, including meeting rooms and office space for City services and community organizations.",This facility will serve as a community center in a low to moderate income community within a redevelopment project area.,0,0,0,0,0,0,0,0,0,0,0,,
2007,87,City Planning and Community Investment,Economic Development,Mid-City Transit Gateways,39-232.0,Council District: 3; Community Plan: Mid-City,5774000,5774000,"This project provides for streetscape enhancements on El Cajon Boulevard and University Avenue where they intersect with the State Route 15 freeway corridor. Streetscape enhancements will be added to the two freeway bridge overpasses where decks were built with pedestrian plaza areas. Improvements include trees and shrubs, public artwork, signage and bus shelters. The project also provides for median and sidewalk enhancements between Central Avenue and 43rd Street on El Cajon Boulevard. Improvements include trees, ground cover, automatic irrigation, enhanced paving and lighting. A traffic signal was installed at El Cajon Boulevard and Copeland Avenue to provide for increased safety.",This project enhances the commercial revitalization of El Cajon Boulevard and University Avenue near the State Route 15 freeway corridor.,0,0,0,0,0,0,0,0,0,0,0,,
2007,88,City Planning and Community Investment,Economic Development,North Ocean Beach - Streetscape Enhancement,39-220.0,Council District: 2; Community Plan: Ocean Beach,885000,1385000,"This project provides for streetscape improvements such as street trees, ornamental lighting, sidewalk repairs, bicycle facilities and signage. The first phase of improvements is focused on the area at and adjacent to the intersection of Sunset Cliffs Boulevard and West Point Loma Boulevard, one of the main entries into the Ocean Beach Community. Part of the North Ocean Beach Master Plan calls for widening Sunset Cliffs Boulevard, which is under CIP 52-698.0, Sunset Cliffs Boulevard Improvements, published under the Engineering and Capital Projects Department.","The North Ocean Beach entryway has been identified as a location for streetscape improvements by Council District Two and by the community. The goals are to increase safety and security, enhance the community image, and contribute positively to the commercial revitalization of the affected area.",0,500000,0,0,0,0,0,0,0,0,0,2009,2009
2007,89,City Planning and Community Investment,Economic Development,North Park/University Avenue - Streetscape Improvements,39-207.0,Council District: 3; Community Plan: Greater North Park,1966500,2296500,This project provides for neighborhood identification signage and public improvements along University Avenue and adjacent streets in North Park.,"Public improvement and neighborhood identification are an important part of the revitalization project, which is a continuing effort to improve the economic base of the North Park community. This project will extend the existing demonstration block concept east and west of the completed phases at 30th Street and University Avenue.",30000,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,90,City Planning and Community Investment,Economic Development,Ocean Beach Commercial Revitalization - Newport Avenue,39-013.0,Council District: 2; Community Plan: Ocean Beach,406000,1076000,"This project provides for phased design and construction of drainage improvements, street grinding and resurfacing, installation of concrete gutters, additional surface drain inlets, enhanced crosswalks, curb pop-outs, hardscaping and tree planting along Newport Avenue from Sunset Cliffs Boulevard to Abbott Street.","The proposed improvements are necessary to satisfy the Americans with Disabilities Act (ADA) requirements by bringing the street surface areas up to standard. This project does not address bringing the area storm water system infrastructure up to standard, therefore, while some improvement may be observed with the surface drainage on Newport Avenue, elimination of flooding along Newport Avenue between Sunset Cliffs Boulevard and Abbott Street will not be achieved.",0,670000,0,0,0,0,0,0,0,0,0,2009,2009
2007,91,City Planning and Community Investment,Economic Development,Ray Street Improvements,39-084.0,Council District: 3; Community Plan: Greater North Park,125000,125000,"This project is on one block of Ray Street from University Avenue to North Park Way in the North Park Community. It provides for sidewalk, curb, and gutter replacement; trees and enhanced paving; street furniture; and identity signage.","This one-block area of Ray Street lies within the boundaries of the North Park Main Street Business Improvement District and the North Park Redevelopment Project Area. Due to the activism of the business owners on the street, this blighted area is being enhanced with facade improvements, a monthly gallery event and leasehold turnover consistent with the art-oriented theme of this small district. This project will add enhancements in the public right-of-way.",0,0,0,0,0,0,0,0,0,0,0,,
2007,92,City Planning and Community Investment,Facilities - Eng,Chollas Creek South Branch Phase One Implementation,37-446.0,"Council District: 4, 8; Community Plan: Mid-City, Barrio Logan, Southeastern San Diego",1262644,1262644,"This project provides for the Chollas Creek Enhancement Program, which builds upon long-standing City Council adopted policies to create a greater level of design guidance for future development related to: wetland and upland restoration, channel reconstruction, trail systems and landscaping design, public art, an educational component and interpretive program, as well as long-term funding of improvements to the creek.",The Chollas Creek Enhancement Program began in the 1970s with the identification of the creek's potential and guidelines being added to several community plans. The creation of the Chollas Creek Enhancement Program puts various guidelines from the below mentioned community plans into one document for a better coordinated implementation. Long-term funding proposals relate to the six phases identified by the Enhancement Program with implementation to occur pursuant to funding availability.,0,0,0,0,0,0,0,0,0,0,0,,
2007,93,City Planning and Community Investment,Facilities - Eng,Multiple Species Conservation Program - Property Acquisition,37-443.0,Council District: Citywide; Community Plan: Citywide,1648076,2148076,This project provides for acquiring property in support of the Multiple Species Conservation Program (MSCP).,"The Multiple Species Conservation Program Implementing Agreement, Section 10(a), Take Authorization of the Endangered Species Act, mandates a statutory responsibility on the part of the City to assemble the MSCP preserve. This responsibility includes public land acquisition to be used for wildlife habitat.",0,500000,0,0,0,0,0,0,0,0,0,2009,2009
2007,94,City Planning and Community Investment,Facilities - Eng,North Park Lighting Improvement Project,39-092.0,Council District: 3; Community Plan: Greater North Park,337860,337860,This project provides for the installation of approximately 150 street lights within the boundaries of the North Park Maintenance Assessment District (MAD).,The North Park MAD was formed in 1996. The Assessment Engineer's report calls for the addition of approximately 150 new mid-block street lights and streetscape improvements.,0,0,0,0,0,0,0,0,0,0,0,,
2007,99,Development Services,Facilities - Eng,Annual Allocation - New Development,58-001.0,Council District: Citywide; Community Plan: Citywide,0,150000,This annual allocation provides for street and utility improvements along City-owned land and to reimburse an adjoining developer for installing such improvements.,"The City is required to improve the right-of-way alongside its property, as must all property owners. The City Council may determine that it is more economical to have this work done by an adjoining developer rather than by a separate City contract.",150000,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,103,Engineering & Capital Projects,Bikeways,54th Street and Euclid Avenue Bike Lanes and Route,58-179.0,"Council District: 4, 7; Community Plan: Southeastern San Diego, College Area",130000,130000,This project provides for the installation of Class II Bike Lanes on 54th Street between Trojan and Euclid Avenues and for Class III Bike Route signage and pavement markings along Euclid Avenue between 54th Street and Market Street.,This project will close a gap in bicycle facilities between the College Area and Southeastern San Diego and its neighborhoods.,0,0,0,0,0,0,0,0,0,0,0,,
2007,104,Engineering & Capital Projects,Bikeways,Bayshore Bikeway,58-140.0,Council District: 8; Community Plan: Otay Mesa/Nestor,1016775,3993775,This project provides for constructing a Class I bikeway from the northern end of 13th Street to Main Street at the Interstate 5 interchange at the southeast corner of San Diego Bay.,This project completes the missing segment of the planned bike path around San Diego Bay from Point Loma to Coronado.,0,2977000,0,0,0,0,0,0,0,0,0,2009,2009
2007,105,Engineering & Capital Projects,Bikeways,Beyer/East Beyer Boulevard Bikeway,58-182.0,Council District: 8; Community Plan: San Ysidro,66000,66000,This project provides for the restriping of Beyer Boulevard to include bike lanes from Dairy Mart Road to Otay Mesa Boulevard/East Beyer Boulevard and a bike route on East Beyer Boulevard from Otay Mesa Road/Beyer Boulevard to the San Ysidro Trolley Station.,This project will provide a connection with the international border crossing through San Ysidro and connect to other proposed bikeway projects.,0,0,0,0,0,0,0,0,0,0,0,,
2007,106,Engineering & Capital Projects,Bikeways,Bicycle Safety and Commuting Education Program,58-167.0,Council District: Citywide; Community Plan: Citywide,934766,934766,"This project provides for a Bicycle Safety and Commuting Education Program. This program reaches out to school children, teachers, parents, law enforcement personnel and others through school workshops and hands-on training. This project is funded by SANDAG.",This project is needed to continue the Bicycle Safety and Commuting Education Program for another year.,0,0,0,0,0,0,0,0,0,0,0,,
2007,107,Engineering & Capital Projects,Bikeways,Camino del Rio North Bike Lanes,58-164.0,Council District: 6; Community Plan: Mission Valley,86000,416000,This project provides for the widening of Camino Del Rio North from State Route 15 crossing to Mission City Parkway to accommodate new bike lanes.,This project is needed to complete the missing bike lane segment of Camino Del Rio North.,0,330000,0,0,0,0,0,0,0,0,0,2009,2009
2007,108,Engineering & Capital Projects,Bikeways,Coastal Rail Trail,58-162.0,"Council District: 1; Community Plan: Torrey Pines, University",730369,21817469,"This project provides for a bicycle facility between the San Diego-Del Mar city limit and Gilman Drive, generally in the existing San Diego Northern Railway right-of-way.","This project is part of a larger multi-jurisdictional project, which proposes a bikeway along the coast in the cities of Oceanside, Encinitas, Solana Beach, Carlsbad, Del Mar, and San Diego. It is intended to provide regional connectivity for both commuting bicylists and recreational activities.",0,2087100,19000000,0,0,0,0,0,0,0,0,2009,2010
2007,109,Engineering & Capital Projects,Bikeways,Fairmont Avenue/Camino del Rio South Traffic Signal and Striping Modifications,58-181.0,Council District: 7; Community Plan: College Area,86000,86000,"This project provides for the addition of a bicycle signal at the existing signalized intersection of eastbound Interstate 8 on and off ramps at Fairmount Avenue. It will also add ""bicycle box"" striping and marking designations that will allow bicyclists to queue in front of motor vehicles. This will allow bicyclists improved access to the subsequent northbound left turn lane at Fairmount Avenue and Camino del Rio North.","The intersection of Fairmount Avenue and Camino del Rio North presents special access for northbound bicyclists wishing to turn left, westbound. They must cross two through lanes in the vicinity of the westbound Interstate 8 on-ramp.",0,0,0,0,0,0,0,0,0,0,0,,
2007,110,Engineering & Capital Projects,Bikeways,Friars Road to Pacific Highway Bike Path,58-150.0,"Council District: 6; Community Plan: Linda Vista, Mission Valley",89518,589518,This project provides for designing and constructing a Class I bike path connecting Friars Road to Pacific Highway.,This project will provide a shortcut access between the one-way Class II eastbound bike paths on Friars Road to a one-way Class II bike path northbound on the Pacific Highway bridge.,0,500000,0,0,0,0,0,0,0,0,0,2009,2009
2007,111,Engineering & Capital Projects,Bikeways,Kearny Villa Road Bike Lane Improvements,58-198.0,Council District: 6; Community Plan: Kearny Mesa,300000,300000,This project provides for the resurfacing and repair of damaged bicycle lanes on Kearny Villa Road between Miramar Way and State Route 163.,"The deteriorating asphalt in the bike lane causes bicyclists to ride close to the main travel lanes, where there are high volumes of high-speed traffic. This project will replace the existing bicycle lane with a newer, blue-colored asphalt that will be more durable and more visible.",0,0,0,0,0,0,0,0,0,0,0,,
2007,112,Engineering & Capital Projects,Bikeways,Minor Bicycle Facilities,58-204.0,Council District: Citywide; Community Plan: Citywide,0,15000,This project provides for the installation of signage and pavement markings for Class II bike lanes or Class III bike routes at various locations throughout the City on an as-needed basis,"Minor bicycle projects are too low-cost to compete for regional grant funding and rely on funding from the General Fund for installation. This project will provide a funding source for small, low-cost bicycle projects.",15000,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,113,Engineering & Capital Projects,Bikeways,Mission Trails Bike Path Study,58-160.0,"Council District: 7; Community Plan: Mission Trails Regional Park, Navajo",100000,100000,"This project provides for a feasibility study of a Class I bike path between Zion Avenue and Princess View Drive along the San Diego River. The feasibility study will devise several alternative alignments for the bike path, analyze the cost, determine environmental impacts, solicit community input, and consider other factors associated with each alternative.",This bike path is needed for the continuity of the bikeway system along the San Diego River in accordance with Navajo Community Plan.,0,0,0,0,0,0,0,0,0,0,0,,
2007,114,Engineering & Capital Projects,Bikeways,Ocean Beach Bike Path/Hotel Circle North Bikeway Design,58-156.0,"Council District: 2, 6; Community Plan: Mission Valley, Ocean Beach",2550000,2550000,"This project provides for the design and environmental documentation of a Class I bike path to connect the existing Ocean Beach Bike Path (at its easterly end) to Hotel Circle North, along the south side of the San Diego River.",This bike path is needed as a critical connection for bicyclists in this area in accordance with the Mission Valley Community Plan.,0,0,0,0,0,0,0,0,0,0,0,,
2007,115,Engineering & Capital Projects,Bikeways,Pedestrian Master Plan Phase 3,58-200.0,Council District: Citywide; Community Plan: Citywide,150000,150000,"This project provides for the development of a comprehensive Pedestrian Master Plan to guide the way the City plans and implements pedestrian improvement projects to address safety, accessibility, connectivity, and walkability. The plan will identify and prioritize pedestrian improvement projects based on technical analysis and community input.","The plan will identify the City's pedestrian needs list, improve the City's ability to implement pedestrian projects using its limited resources as effectively as possible, and improve the City's position to receive grant funding to construct such projects.",0,0,0,0,0,0,0,0,0,0,0,,
2007,116,Engineering & Capital Projects,Bikeways,Rancho Bernardo Bikeway,58-199.0,Council District: 5; Community Plan: Rancho Bernardo,250000,250000,This project provides for the installation of three miles of Class II bike lanes on West Bernardo Drive from Rancho Bernardo Road to Aguamiel Road and on Bernardo Center Drive from West Bernardo Drive to Rancho Bernardo Road.,"This project completes gaps in the Rancho Bernardo community bicycle network, and connects to regional bicycle facilities. It also improves bicycle access to a number of community facilities, including a transit center, library, and schools.",0,0,0,0,0,0,0,0,0,0,0,,
2007,117,Engineering & Capital Projects,Bikeways,Rose Creek Bikeway,58-147.0,"Council District: 2, 6; Community Plan: Mission Bay Park, Pacific Beach",2050000,0,This project provides for designing and constructing a pedestrian/bicycle bridge across Rose Creek and a paved Class I bike path to connect the westerly end of the new bridge to Pacific Beach Drive.,This project will close a gap in the existing network of bike paths and lanes in Mission Bay Park. It will allow pedestrians and bicyclists to circumvent a much longer existing route along Grand Avenue.,0,3050000,0,0,0,0,0,0,0,0,0,2009,2009
2007,118,Engineering & Capital Projects,Bikeways,Safety in Traffic Education Program (STEP),58-202.0,Council District: Citywide; Community Plan: Citywide,20000,20000,"This project provides for development of a public education campaign to promote safe use of streets by motorists, pedestrians, and bicyclists.","This project will result in a guide for a multi-media ad campaign to raise public awareness of the interactions of motorists, pedestrians, and bicyclists on City streets. Various aspects of the public education campaign will target specific elements of the traveling public. Additional funding will be sought for implementation of the campaign.",0,0,0,0,0,0,0,0,0,0,0,,
2007,119,Engineering & Capital Projects,Bikeways,San Diego River Bike Path - Mission Valley,58-144.0,Council District: 6; Community Plan: Mission Valley,201500,201500,This project provides for various bikeway projects in the Mission Valley community.,The implementation of bicycle facilities is in accordance with and supported by the Mission Valley Community Plan.,0,0,0,0,0,0,0,0,0,0,0,,
2007,120,Engineering & Capital Projects,Bikeways,San Diego River Multi-Use Bicycle and Pedestrian Path,58-191.0,Council District: 6; Community Plan: Mission Valley,27000,800000,"This project provides for a Class I bicycle and pedestrian path under State Route 163 from Hazard Center Drive to Fashion Valley Mall on the north side of the San Diego River. The project includes a paved bicycle and pedestrian path, grading, fill, striping, signage, bollards and lighting for the path including the State Route 163 undercrossing.",This project is part of the Bicycle Master Plan to guide the development and the creation of a firm foundation for a bicycle-friendly environment to serve bicyclists and pedestrians throughout the City. These improvements will benefit the community by increasing the mobility and safety through the enhancement of the bicycle path environment.,0,773000,0,0,0,0,0,0,0,0,0,2009,2009
2007,121,Engineering & Capital Projects,Bikeways,State Route 15 Bikeway,58-127.0,"Council District: 3; Community Plan: Mid-City, Mission Valley",1161536,1311536,"This project provides for the construction of a Class I bikeway along State Route 15 from Landis Street to Adams Avenue. This project description is preliminary and the amounts shown below only reflect the funding currently programmed. The total funding needs of the project will be determined, once a final scope of work is established.",This project provides the needed bikeway/bike path parallel with State Route 15 from Park de la Cruz to Camino del Rio South.,0,150000,0,0,0,0,0,0,0,0,0,2009,2009
2007,122,Engineering & Capital Projects,Bikeways,State Route 56 Bike Interchanges,58-171.0,"Council District: 1; Community Plan: Rancho Penasquitos, Pacific Highlands Ranch, Del Mar Mesa, Torrey Highlands, Black Mountain Ranch",1200000,9850000,This project provides at-grade or grade-separated bicycle path interchange facilities along State Route 56. A project study report will identify the actual locations and types of facilities needed.,Bicyclists and pedestrians traveling the SR-56 bicycle path and needing to cross through the interchange areas have to contend with high volumes of conflicting vehicular traffic. The bicycle path facilities to be proposed in the project study report will expedite the movements along the bicycle path through and connecting to the interchange areas.,0,0,0,0,0,0,0,0,0,0,0,,
2007,123,Engineering & Capital Projects,Bikeways,Taylor Street - Bikeway,58-203.0,Council District: 2; Community Plan: Old San Diego,0,250000,"This project provides for the replacement of a bicycle lane on Taylor Street between Presidio Drive and Hotel Circle South, adjacent to Presidio Park.","Erosion has caused the cliffside at this location to destabilize. Temporary barriers are in place to prevent additional rockslide onto Taylor Street; however, these barriers have eliminated the bicycle lane. This project will re-establish the bike lane.",250000,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,124,Engineering & Capital Projects,Bikeways,Traffic Safety and Education Program,58-201.0,Council District: Citywide; Community Plan: Citywide,50000,50000,"This project provides for 100 classes in bicycle safety, specifically tailored for commuters.",This project builds on the City's Smart Cycling and Bike to Work commuter education programs. The classes will focus on bicycle safety and route selection and can include components relative to specific employment locations. The project's ultimate goal is to increase bicycling as a viable commuting option.,0,0,0,0,0,0,0,0,0,0,0,,
2007,125,Engineering & Capital Projects,Bikeways,University Avenue at Alabama Street Bicycle and Pedestrian Safety Improvements,58-196.0,Council District: 3; Community Plan: Greater North Park,750000,750000,"This project provides for the restriping of University Avenue from east of Florida Street to the west side of Mississippi Street, including the two intersections of University Avenue at Alabama Street to provide a center refuge median and wider travel lanes to improve bicycle and pedestrian safety.",This project will provide for the removal of parking on both sides of the street and eliminate left turns in and out of both intersections of University Avenue and Alabama Street.,0,0,0,0,0,0,0,0,0,0,0,,
2007,126,Engineering & Capital Projects,Bikeways,Vista Sorrento Parkway Bike Lanes,58-157.0,"Council District: 1, 5; Community Plan: Mira Mesa",349500,699000,This project provides for the construction of bike lanes on Vista Sorrento Parkway between Sorrento Valley Boulevard and Lusk Boulevard by widening the existing roadway.,"Currently, bicyclists along this section of Vista Sorrento Parkway must share narrow lanes with vehicular traffic and contend with heavy volumes and high speeds. The proposed bike lanes will provide a separate facility for bicyclists in accordance with the Torrey Pines and Mira Mesa Community Plans.",0,349500,0,0,0,0,0,0,0,0,0,2009,2009
2007,127,Engineering & Capital Projects,Economic Development,Azalea Park Neighborhood Identification,39-086.0,Council District: 3; Community Plan: Mid-City,146432,146432,"This project is part of a community revitalization effort called the Azalea Park Neighborhood Identification Project, as outlined in the Azalea Park-Hollywood Park Revitalization Action Program. The specific location of this segment of the project is at the intersection of Poplar Street and Fairmount Avenue. The primary product of the Azalea Park Neighborhood Project is the construction of new vehicular and pedestrian improvements, including enhanced crosswalks and curb-extensions, which are to be funded by Development Impact Fees, and neighborhood identification signs, which are to be funded by Community Development Block Grants.","These improvements will benefit the community by increasing the safety and flow of traffic, enhancing pedestrian access, and promoting community identification.",0,0,0,0,0,0,0,0,0,0,0,,
2007,128,Engineering & Capital Projects,Economic Development,Washington/Goldfinch Improvements,39-216.0,Council District: 2; Community Plan: Uptown,1016500,1700500,"This project provides for streetscape improvements on Washington Street between San Diego Avenue and Front Street, and on Goldfinch Street between University Avenue and Fort Stockton Drive.",The Mission Hills Community adopted the Washington Street Beautification Master Plan in Fiscal Year 1997. Streetscape improvements are being installed to revitalize the Mission Hills Business District.,0,684000,0,0,0,0,0,0,0,0,0,2009,2009
2007,129,Engineering & Capital Projects,Facilities - Eng,City Administration Building Fire Protection and Life Safety Improvement,37-900.0,Council District: 2; Community Plan: Centre City,1198000,5948000,"This project provides for the installation of a fire sprinkler system and for upgrading the existing fire alarm system at the City Administration Building located at 202 C Street in Centre City. One component of the project is asbestos spot abatement. All work will be performed during non-working hours allowing the facility to remain occupied and operational during construction. Phase I provided for the installation of fire sprinklers on the 10th, 14th, and 15th floors. Phase II provided for the installation of eight-inch stand pipes and eight-inch basement lateral. Phase III provided for the installation of sprinklers in the remaining basement and on the 11th and 13th floors and a fire alarm system in the basement and on the 10th, 11th, and 13th floors. Included in Phase III was abatement of amosite ceiling tile on the 11th floor. Phase IV will provide for the installation of sprinklers and alarm system for the 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, and 12th floors. Spot asbestos abatement is not required on the 6th and 7th floors due to prior asbestos abatement.",This facility does not comply with City Council Ordinance O-17172 requiring sprinkler retrofitting for high-rise buildings.,0,0,0,0,0,0,0,0,0,0,0,,
2007,130,Engineering & Capital Projects,Facilities - Eng,Undergrounding of City Utilities,37-028.0,Council District: Citywide; Community Plan: Citywide,0,58605247,"This annual allocation provides for additional underground conversion projects to augment the California Public Utilities Commission (CPUC) Rule 20A projects as well as providing for the necessary administrative expenses, conversion of City-owned street lighting and resurfacing of roadways associated with the undergrounding of utilities.","The CPUC mandates that local utility companies allocate funding for undergrounding of utilities at the direction of the local municipality. Annually, San Diego Gas and Electric, Pacific Bell and the cable television companies spend several million dollars to underground overhead facilities. The City must provide the utility companies with a priority listing of projects, aid coordination, require underground utility districts and give informational support. Construction costs for undergrounding are paid by utility companies in accordance with Public Utilities Commission Decisions 73078, 820118 and Case 8209. If not provided with administrative support, millions of dollars of utility company construction money could go unused. Additional underground conversion projects are funded through the City Undergrounding Surcharge Fund. This fund is used solely for the undergrounding of utilities and cannot be used for other purposes.",58605247,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,131,Engineering & Capital Projects,Storm Drains/Flood Control,San Diego River Flood Mitigation Plan,13-200.0,Council District: 6; Community Plan: Mission Valley,66667,0,"This project will develop a mitigation plan along the San Diego River. Problematic areas along the San Diego River within the City limits that are at risk for repetitive loss due to flooding will be assessed. This project was authorized by City Council Resolution R-301244, dated February 21, 2006.","Due to the number of structures and river crossings within the flood zone surrounding the San Diego River that are subject to inundation by the 100 year flood, the Flood Mitigation Assistance Program (FMA) selected the City as a grant recipient.",0,0,0,0,0,0,0,0,0,0,0,,
2007,132,Engineering & Capital Projects,Storm Drains/Flood Control,Famosa Slough Salt Marsh Restoration,12-152.0,Council District: 2; Community Plan: Peninsula,216000,288000,This project proposes to create 0.64 acres of tidal salt marsh habitat and associated upland buffer as mitigation for impacts to 0.1 acres of coastal salt marsh by the Sorrento West channel clearing project resulting from the El Nino storms of 1997. The mitigation site is located on the tidal channel that is north of West Point Loma Boulevard. The high area adjacent to an access road will be graded to the elevation of the existing salt marsh habitat and be planted with salt marsh plant species.,"The 0.64 acre mitigation project in Famosa Slough is required by the Army Corps of Engineers, Coastal Commission, and California Department of Fish and Game permits and agreements. The Famosa Slough was chosen as the mitigation site because opportunities for coastal salt marsh mitigation in the Los Penasquitos Lagoon have been exhausted. This option utilizes an available, City-owned site within the Coastal Zone and is consistent with the 1993 Famosa Slough Enhancement Plan.",26000,24000,22000,0,0,0,0,0,0,0,0,2008,2010
2007,133,Engineering & Capital Projects,Storm Drains/Flood Control,Fashion Valley Road River Crossing,13-502.0,Council District: 6; Community Plan: Mission Valley,1500000,1500000,This project provides for the replacement of the failed corrugated metal pipes under the roadway at the San Diego River Crossing and for the restoration of the roadway.,"The road collapsed on December 30, 2004 due to the failure of six corrugated metal pipes under the roadway. The road is located in the floodplain zone and is, therefore, subject to inundation during heavy flows in the river as a result of high intensity rainfall. The road was repaired and in operation before the end of October 2005. The project is eligible for FHWA reimbursement.",0,0,0,0,0,0,0,0,0,0,0,,
