cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
2012,Bldg - Other City Facility / Structures,297,Park & Recreation,Montgomery Academy Joint Use Improvements,,,Council District: 6; Community Plan: Linda Vista,695000,695000,"This project provides for the construction of approximately three acres of joint use play fields at the Montgomery Academy and associated Americans with Disabilities Act (ADA) improvements to comply with all State and federal accessibility guidelines and City standards. Phase I amenities may include a turfed multi-purpose sports field, security lighting, decomposed granite running track, accessibility improvements, signage, site furnishings and miscellaneous landscaping. Phase II amenities may include picnic shelters, site furnishings, accent plantings and enhanced gateway treatments.","Development of this project is a Site Development Permit condition of the Pacific Ridge Apart- ment Homes to satisfy population-based park acreage requirements in accordance with the City's General Plan standards for the anticipated population generated by the residential development. Additionally, it provides joint-use recreational facilities in a community deficient in population-based park and recreation facilities.",0,0,0,0,0,0,0
2012,Parks - Neighborhood,298,Park & Recreation,Montgomery Waller Community Park,,,Council District: 8; Community Plan: Otay Mesa - Nestor,1120000,1120000,"This project provides for lighting and park improvements at the Montgomery-Waller Commu- nity Park. Phase I of this project provides for the addition of lighting to the existing multi-purpose softball, soc- cer, and football field. Phase II will replace the comfort station.",This project will provide needed facilities to expand the hours of use at the park and provide safer access for park users.,0,0,0,0,0,0,0
2012,Parks - Neighborhood,299,Park & Recreation,Mountain View Neighborhood Park Area Upgrades,2013,2013,Council District: 4; Community Plan: Southeastern San Diego,775000,844586,"This project provides for Americans with Disabilities Act (ADA) upgrades and improvements to the children's play area and path of travel within the park to comply with State and federal safety and accessibil- ity guidelines, and will serve the needs of existing and future residents.",This project is needed to upgrade existing site improvements and play area facilities to meet current federal and State safety and accessibility regulations.,0,69586,0,0,0,0,0
2012,Parks - Open Space,300,Park & Recreation,Multiple Species Conservation,,,Council District: 1; Community Plan: Citywide,4104830,21144303,This project provides for acquiring property in support of the Multiple Species Conservation Program (MSCP).,"The Multiple Species Conservation Program (MSCP) Implementing Agreement, Section 10(a), Take Authorization of the Endangered Species Act, mandates a statutory responsibility on the part of the City to assemble the MSCP preserve. This responsibility includes public land acquisition to be used for wildlife habitat.",17039472,0,0,0,0,0,0
2012,Bldg - Other City Facility / Structures,301,Park & Recreation,Museum of Man Roof Replacement,2013,2013,Council District: 3; Community Plan: Balboa Park,1480976,1880976,"This project is intended to restore the integrity of the museum, stop the roof leakages, fix the museum ornamentation, restore the historic carports, protect the the public safety and minimize costly mainte- nance. The scope of work includes the following: re-roof the Administration Building, re-roof the clay tile roof on the south side of the quadrangle (re-use existing tile), re-roof and partially reconstruct the carport between the north wing and the administration building (re-use existing tiles), re-roof the north wing of the main museum including the built-up roof, restore ornamentation, restore windows, repair and/or reseal tile domes, replace finial on western quadrangle entrance, and other miscellaneous restoration items including the replace- ment of two curb ramps.","This project will restore the integrity of the museum, stop the roof leakages, fix the museum ornamentation, restore the historic carports, protect the public safety and minimize costly maintenance.",0,400000,0,0,0,0,0
2012,Bldg - Parks - Recreation/Pool Centers,302,Park & Recreation,NTC Aquatic Center,2013,2013,Council District: 2; Community Plan: Peninsula,446726,1486726,"This project will provide for the planning and design of a new aquatic facility center at Naval Training Center Park. The proposed facility will include, but will not be limited to, two competitive and recre- ational pools, a leisure pool with water playground features, spectator seating deck, bath house facility, and associated site improvements.",This project will contribute to satisfying the recreation facility requirement set forth in the City's General Plan.,0,1040000,0,0,0,0,0
2012,Parks - Community,303,Park & Recreation,Nobel Athletic Area Development,,,Council District: 1; Community Plan: University,12974506,12974506,"This project provides for developing approximately 24 additional acres of this community park located in the vicinity of the easterly extension of Nobel Drive and Interstate 805. Improvements will include sports fields, comfort station, 10,300 square-foot recreation center, play area, off-leash dog area, parking and passive areas.",This project will contribute to satisfying the population-based park acreage requirements set forth in the City's General Plan.,0,0,0,0,0,0,0
2012,Parks - Community,304,Park & Recreation,Normal Heights Community Park Development,,,Council District: 3; Community Plan: Normal Heights (Mid-City),192282,192281,This project will provide for the amendment of the General Development Plan to expand the current five acre park site to an approximately six acre site located at 39th Street and Ward Canyon.,This project will provide the community with additional recreational opportunities as well as enhance the visual quality in an area that is park deficient.,0,0,0,0,0,0,0
2012,Parks - Mini Parks,305,Park & Recreation,North Park Mini-Park and Streetscape Improvements,2013,2013,Council District: 3; Community Plan: Greater North Park,250000,5264274,"This project provides for the design and construction of an approximately 0.50 useable acre, urban mini-park to be located behind the recently renovated North Park Theatre. The project may include pub- lic art, plaza areas, specialty/enhanced paving areas for performances and events, an amphitheater or audience seating area, a gazebo/shade structure, a water feature, unique site furniture, walkways, seat walls, security and decorative lighting, and landscape and irrigation. This project also provides for the design and construction of approximately 1,800 linear feet of streetscape which may include enhanced street/pedestrian paving and walk- ways, street trees with tree grates, landscaping, irrigation, unique street furniture including benches and trash receptacles, security and decorative lighting, pedestrian ramps, curbs and gutters.","The community is currently deficient in population-based park requirements set forth in the City's General Plan. This project will add population-based park acreage to the community, thus contributing to satisfying population-based park requirements. The project will also create an urban park/plaza and streetscape system for the benefit of pedestrians, automobiles and community members.",4925000,89274,0,0,0,0,0
2012,Trans - Ped Fac - Sidewalks,306,Park & Recreation,North Park,,,Council District: 3; Community Plan: Greater North Park,200000,200000,The project provides for the replacement of existing red sidewalk and decorative tile pavement along 30th Street and University Avenue near the Main Street area of North Park.,"The project will replace existing red sidewalk and decorative tiles that are cracked, deterio- rated, and missing.",0,0,0,0,0,0,0
