cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
2010,Brown Field / AAA00002,96,Airports,,2011,2017,"Council District: 6, 8; Community Plan: Kearny Mesa, Serra Mesa",1776830,7726830,"The Brown Field (SDM) Annual Allocation projects include the following: the repaving of the north parking lot, remodeling of the restrooms, and rehabilitation design of runway 8L/26R.",,0,850000,850000,850000,850000,850000,850000,850000
2010,Brown Field Elect Upgrade - Phase 2 & 3 / S00772,97,Airports,,,,Council District: 8; Community Plan: Otay Mesa,2513760,2513760,This project provides for the completion of construction of electrical system upgrades at the Brown Field Airport.,,0,0,0,0,0,0,0,0
2010,Brown Field Electrical Upgrade - Phase 1 / S00773,98,Airports,,,,Council District: 8; Community Plan: Otay Mesa,135258,135259,This project (Brown Field Electrical Upgrade Phase I) provides for the design and construction of electrical system upgrades at Brown Field Airport.,,0,0,0,0,0,0,0,0
2010,Montgomery Field / AAA00001,99,Airports,,2011,2017,"Council District: 6, 8; Community Plan: Kearny Mesa, Serra Mesa",1673380,8323380,The Montgomery Field (MYF) Annual Allocation will provide for rehabilitation design of the Montgomery Field Airport Runway 5/23 and Taxiway G and remove and replace pavement to rehabilitate Glenn Curtis Road as needed. A consultant will evaluate the deteriorated conditions of Runway 5/23 and Taxi­ way G and provide a rehabilitation design to bring Runway 5/23 and Taxiway G to current engineering and con­ struction standards and in compliance with Federal Aviation Administration (FAA) guidelines and regulations.,,0,950000,950000,950000,950000,950000,950000,950000
2010,Montgomery Field NW Heliport / S00679,100,Airports,,,,Council District: 6; Community Plan: Kearny Mesa,1564050,1564049,"This project, MYF NW Heliport, provides for redesign of the heliport to address all environmen­ tal constraints and complies with the U.S. Fish and Wildlife Service (U.S.F.W.S.), which delayed the construc­ tion of the heliport under the previous design. The heliport will meet the needs of airport users.",,0,0,0,0,0,0,0,0
2010,Montgomery Field Rehabilitation / S00680,101,Airports,,2012,2013,"Council District: 6; Community Plan: Kearny Mesa, Serra Mesa",649258,1249258,This project (MYF Rehab of Rwy 10L/28R) will restore the asphalt paving of this runway by cold planning the damaged pavement and then repaving.,,0,0,300000,300000,0,0,0,0
2010,OneSD Capital / S09999,103,Chief Financial Officer - BC,Bldg - Operations Facility,,,Council District: Citywide; Community Plan: Citywide,38000000,38000000,"The OneSD project provides for the replacement of many legacy software systems currently in use by City departments with the business center of the Office of the Chief Financial Officer (CFO) and Busi­ ness and Support Services. The System will replace the following major systems: AMRIS (General Ledger), ALVA (Financial Reporting), APIS (Accounts Payable), ARIS (Accounts Receivable), FMIS (Budgeting and Financial Management), FAMIS (Fixed Asset Management), OPIS (Purchasing), CAPPS (Payroll), and PATS (Applicant Tracking). Additionally, this integrated application will be used by all City departments for day-to­ day business operations and human resource needs and is expected to support the City's information technology (IT) needs for the next 15 years.",,0,0,0,0,0,0,0,0
2010,Arizona Landfill Gas Utility / S00777,105,Environmental Services,Bldg - Other City Facility,,,Council District: 3; Community Plan: Balboa Park,2050000,2050000,This project provides for design and construction of improvements necessary to make beneficial use of the landfill gas currently being flared at this site.,,0,0,0,0,0,0,0,0
2010,Citywide Energy Improvements / ABT00003,106,Environmental Services,Bldg - Other City Facility,,,Council District: 6; Community Plan: Kearny Mesa,200000,200000,"This project will provide for energy efficiency improvements in City facilities. Projects typically address lighting, air conditioning, chiller, pumping and fan systems. Newer, more efficient technologies greatly reduce energy consumption.",,0,0,0,0,0,0,0,0
2010,Energy Commission Energy Efficiency Facility Imp / ABT00004,107,Environmental Services,Bldg - Other City Facility,,,Council District: 6; Community Plan: Kearny Mesa,2053571,2053571,This project provides needed energy improvements to various City facilities.,,0,0,0,0,0,0,0,0
2010,Environmental Services Facilities Improvements / ABT00005,108,Environmental Services,Bldg - Other City Facility,,,Council District: 6; Community Plan: Kearny Mesa,393219,393219,"This project provides for needed facility improvements for the Environmental Services Depart­ ment. Facilities include the Ridgehaven building, Miramar Operations Station, and facilities at the Miramar Landfill.",,0,0,0,0,0,0,0,0
2010,Material Recovery Facility / S00817,109,Environmental Services,Bldg - Other City Facility,,,Council District: 3; Community Plan: Greater North Park,5824809,5824809,"This project provides for a recycling facility designed to receive, process, transport and/or dis­ pose of municipal solid waste. The scope and magnitude of this project is under review and may change based on a variety of technical issues including adjustments to meet the state-mandated recycling goal.",,0,0,0,0,0,0,0,0
