cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2018,year_2019,year_2020,year_2021,year_2022
2017,Parks - Community,192,Park & Recreation,Beyer Park Development,S00752,2018,2018,Council District: 8; Community Plan: Otay Mesa; San Ysidro,691999,12287999,"This project provides for the acquisition, design, and construction of",This project provides population-based park acreage in accordance with the Development Plan began in Fiscal Year 2017 and is anticipated to be completed in Fiscal City's General Plan standards to accommodate the park and recreational needs of the Year 2019. residents within the Otay Mesa and San Ysidro Communities.,11196000,400000,0,0,0,0
2017,,193,Park & Recreation,California Tower Seismic Retrofit / L12003  Parks - Resource Based,L12003,2018,2018,Council District: 3; Community Plan: Balboa Park,2411399,4661398,This project provides for the seismic retrofit of the historic California Tower,The California Tower was built in 1914. The last seismic upgrade was project from various other park projects. The project,600000,1649999,0,0,0,0
2017,Parks - Miscellaneous Parks,194,Park & Recreation,Canon Street Pocket Park,S16047,,,Council District: 2; Community Plan: Peninsula,839999,839999,"This project provides for the design and construction of a pocket park,",This project will expand the use of the park and contribute to satisfying Peninsula Community Plan and is in conformance with the City's General Plan. population-based park acreage requirements as set forth in the City's General Plan to serve,0,0,0,0,0,0
2017,,195,Park & Recreation,Canyon Hills Resource Park Improvements / S15006  Parks - Resource Based,S15006,,,Council District: 6; Community Plan: Mira Mesa,1718569,6173501,This project provides for the design and construction of neighborhood park,This project will contribute to satisfying population-based park acreage Construction will be,4454932,0,0,0,0,0
2017,Parks - Community,196,Park & Recreation,Canyonside Community Park Improvements,S12004,,,Council District: 6; Community Plan: Rancho Penasquitos,1001125,1001125,"This project provides for miscellaneous improvements to serve park users, such",This project will provide upgraded and additional recreation amenities to serve,0,0,0,0,0,0
2017,Parks - Neighborhood,197,Park & Recreation,Carmel Creek NP Improvements,S16037,,,Council District: 1; Community Plan: Carmel Valley,1468922,1468922,This project provides for the design and construction of ADA improvements to,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,P  arks - Neighborhood,198,Park & Recreation,Carmel Del Mar NP Comfort Station-Development,S16034,,,Council District: 1; Community Plan: Carmel Valley,1902222,1902222,This project provides for the demolition of the existing comfort station and the,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,-  Neighborhood,199,Park & Recreation,Carmel Grove NP Comfort Station and Park Improveme,S16038,,,Council District: 1; Community Plan: Carmel Valley,1561531,1561531,This project provides for the design and construction of a prefab comfort,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,Parks - Neighborhood,200,Park & Recreation,Carmel Knolls NP Comfort Station-Development,S16033,,,Council District: 1; Community Plan: Carmel Valley,978728,978728,This project provides for the design and construction of a new comfort station,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,P  arks - Neighborhood,201,Park & Recreation,Carmel Mission NP Comfort Station Development,S16039,,,Council District: 1; Community Plan: Carmel Valley,978728,978728,This project provides for the design and construction of a prefabricated comfort,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,202,Park & Recreation,Carmel Valley CP-Turf Upgrades,S16029,,,Council District: 1; Community Plan: Carmel Valley,4274120,4274120,This project provides for the design and construction of approximately 3.2 acres,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,,203,Park & Recreation,Carmel Valley Neighborhood Park #8 / S00642  Parks - Neighborhood,S00642,,,Council District: 1; Community Plan: Carmel Valley,6630525,6630525,"This project provides for acquisition, design, and construction of",This project will provide the community with additional recreational Preservation Act (MHPA) land is completed and accepted by the City. Conveyance to the opportunities as well as enhance the visual quality of the area. City is expected in 2021.,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,204,Park & Recreation,Central Ave Mini Park Ph II Skate Plaza,S14010,,,Council District: 9; Community Plan: Mid-City: City Heights,846949,846949,This project provides for the design and construction of Phase II of the Central,This project will contribute to satisfying the population-based park warranty until Fiscal Year 2018. requirements set forth in the City's General Plan.,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,205,Park & Recreation,Central Avenue MP Acquisition/Development,S00992,,,Council District: 9; Community Plan: Mid-City: City Heights,1972847,1972847,"This project provides for the acquisition of an approximate 16,000 square foot",This project will contribute to satisfying the population-based park acreage 2014. Construction began in Fiscal Year 2015 and will be completed in Fiscal Year 2018. requirements set forth in the City's General Plan to serve residents in this park-deficient,0,0,0,0,0,0
2017,Parks - Neighborhood,206,Park & Recreation,Centrum Neighborhood Pk Improvements,RD16005,,,Council District: 6; Community Plan: Kearny Mesa,999999,999999,This developer-built project provides for the design and construction of,"This project will expand the use of the park and contribute to satisfying the City, is anticipated to be completed in Fiscal Year 2020. population-based park requirements as set forth in the City's General Plan to serve residents.",0,0,0,0,0,0
2017,Parks - Community,207,Park & Recreation,Cesar Solis Community Park,S00649,2018,2018,Council District: 8; Community Plan: Otay Mesa,17480077,20980077,"This project provides for the acquisition, design, and construction of the Cesar",This project will provide the community with additional recreational development within the residential community. Final design and construction were delayed opportunities and will enhance the visual quality of the area. due to pending property acquisition and a reimbursement agreement. Property acquisition,0,3500000,0,0,0,0
2017,,208,Park & Recreation,Charles Lewis III Memorial Park / S00673  Parks - Neighborhood,S00673,,,Council District: 9; Community Plan: Mid-City: City Heights,4640282,4640282,"This project provides for the design and construction of a 5.8 total acre parcel,",This project will contribute to satisfying the population-based park acreage,0,0,0,0,0,0
2017,Parks - Developed Regional Park,209,Park & Recreation,Chicano Park ADA Upgrades,S13003,,,Council District: 8; Community Plan: Barrio Logan,1900834,1900834,This project provides for accessibility upgrades at Chicano Park to,This project will contribute to satisfying population-based park acreage,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,210,Park & Recreation,Children's Park Improvements,S16013,2018,2018,Council District: 3; Community Plan: Centre City,599999,3899999,This project provides for the design and construction of improvements to the,"This project implements the Downtown Community Plan Policy 4.1-P-11, 2018. Construction is estimated to begin in Fiscal Year 2019. ""Implement a program to reclaim open spaces that have deteriorated, have design features",300000,3000000,0,0,0,0
2017,,211,Park & Recreation,Chollas Community Park Comfort Station / S16058  Parks - Community,S16058,,,Council District: 4; Community Plan: Mid-City: Eastern Area,3260680,3260680,This project provides for the continuation of the design and development of,This project will provide a park and athletic facility to serve the greater community. The surrounding area is not currently served by a community park and the region is deficient in sports facilities and open park areas.,0,0,0,0,0,0
2017,Parks - Resource Based,212,Park & Recreation,Chollas Lake Improvements,L18001,2018,2021,Council District: 4; Community Plan: Mid-City: Eastern Area,0,2000000,This project will initiate the design for improvements such as providing,"Currently, the facilities at Chollas Lake Park do not have electricity. Providing electrical service to Chollas Lake Park will expand the use of the park by allowing new park programs to be developed and offered to the community. Electrical service will also enhance security within the park by providing the opportunity to install security lighting and by supplying the park rangers with additional resources to enhance their patrol duties.",0,500000,500000,0,1000000,0
2017,Parks - Community,213,Park & Recreation,Chollas Lake Pk Playground Improvements,S14002,,,Council District: 4; Community Plan: Mid-City: Eastern Area,2329223,2329223,This project provides for the design and construction of two playgrounds at,This project will replace the equipment within two children's playgrounds and,0,0,0,0,0,0
2017,,214,Park & Recreation,Coast Blvd Walkway Improvements / S15001  Trans - Ped Fac - Sidewalks,S15001,,,Council District: 1; Community Plan: La Jolla,689999,689999,"This project provides for the design and construction of widened walkways,",This project will provide improved walkway access and enhanced landscaping Year 2018. along Coast Boulevard.,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,215,Park & Recreation,Coastal Erosion and Access,AGF00006,2018,2021,Council District: Citywide; Community Plan: Citywide,1925200,4150507,This project provides partial funding for coastal infrastructure improvements at,This project provides improvements to coastal erosion sites that present within Ocean Beach. Construction for these locations is anticipated to commence in Fiscal potential public hazards. Year 2020 and be completed in Fiscal Year 2021.,100000,825307,0,800000,500000,0
2017,Trans - Roadway - Enhance/Scape/Medians,216,Park & Recreation,Convert RB Medians-Asphalt to Concrete,L12000,2018,2018,Council District: 5; Community Plan: Rancho Bernardo,208764,558764,This project provides for the conversion of asphalt medians to concrete,"The community has requested streetscape improvements to major arterial new phase of work. Total project costs have increased by $350,000 due to the inclusion corridors within Rancho Bernardo. This project allows certain medians to be enhanced by of newly identified medians. replacing deteriorating asphalt with decorative stamped concrete.",0,350000,0,0,0,0
2017,,217,Park & Recreation,Crest Canyon Resource Management Plan / S10067  Parks - Open Space,S10067,,,Council District: 1; Community Plan: Torrey Pines,75000,75000,"This project provides for the completion of an existing biology report, a literature",This project will provide a management framework for sensitive resources,0,0,0,0,0,0
2017,Parks - Trails,218,Park & Recreation,Del Mar Mesa N Hiking/Equestrian Trail,S00892,,,Council District: 1; Community Plan: Del Mar Mesa,385999,385999,The Del Mar Mesa Community Plan Amendments of Spring 2015 identifies,This project provides additional recreational opportunities in Del Mar Mesa. upon the actual rate of development within the community.,0,0,0,0,0,0
2017,,219,Park & Recreation,Del Mar Mesa Neighborhood Park Ph II / S13023  Parks - Neighborhood,S13023,,,Council District: 1; Community Plan: Del Mar Mesa,3060353,3060353,This project provides for the design and construction of Del Mar Mesa,This project will contribute to satisfying the population-based park,0,0,0,0,0,0
2017,,220,Park & Recreation,Del Mar Mesa Southern Multi-Use Trail / S00889  Parks - Trails,S00889,,,Council District: 1; Community Plan: Del Mar Mesa,110299,110299,This project provides for the construction of a multi-use trail approximately 200,This project provides recreational opportunities in Del Mar Mesa in accordance to property/right-of-way acquisition. The remaining trail connection is within the Carmel Valley with the City's General Plan and implements the Del Mar Mesa Specific Plan Community and funding will be from the Carmel Valley FBA. Environmental study and trail recommendations. design required due to wetland on proposed trail alignment.,0,0,0,0,0,0
2017,- Neighborhood,221,Park & Recreation,Del Sur Neighborhood Park (NP#2)-Land Acquisition,RD17001,,,Council District: 5; Community Plan: Black Mountain Ranch,300000,300000,"This project provides for the acquisition, design, and construction of a 5.0",This project is in conformance with the City’s General Plan guidelines for,0,0,0,0,0,0
2017,Parks - Neighborhood,222,Park & Recreation,Dennery Ranch Neighborhood Park,S00636,2019,2022,Council District: 8; Community Plan: Otay Mesa,1903,15100000,"This project provides for the acquisition, design, and construction of a",This project provides population-based park acreage in accordance with the completed in Fiscal Year 2021. City's General Plan standards to accommodate the park and recreational needs of the,5392803,0,2000000,2000000,1000000,4705294
2017,Parks - Miscellaneous Parks,223,Park & Recreation,Downtown Greenways,L18000,2018,2018,Council District: 3; Community Plan: Centre City,0,1000000,This project provides for the design and construction of urban trails within the,This project will contribute to satisfying population-based park acreage,0,1000000,0,0,0,0
2017,Parks - Community,224,Park & Recreation,Doyle Park Community Park ADA Upgrades,S15037,,,Council District: 1; Community Plan: University,420401,420401,This project provides for the installation of path of travel and accessibility,The current parking area located in the rear cul-de-sac and adjacent walkways Construction is anticipated to begin and be completed in Fiscal Year 2018. leading into the dog off-leash area and park are not compliant with current accessibility,0,0,0,0,0,0
2017,Parks - Resource Based,225,Park & Recreation,East Fortuna Staging Area Field Stn Blg,S14016,2018,2018,Council District: 7; Community Plan: Navajo,2449006,5738210,This project provides for the development and construction of an administration,The Mission Trails Visitors Center office space is at capacity and the Mission Trails Regional Park Master Plan. administration building is needed to accommodate new staff. The facility will also provide,1361839,1927365,0,0,0,0
2017,Parks - Miscellaneous Parks,226,Park & Recreation,East Village Green Phase 1,S16012,2018,2018,Council District: 3; Community Plan: Centre City - East Village,20008157,25508157,This project provides for the design and construction for Phase 1 of the East,This project will contribute to satisfying population-based park acreage,0,5500000,0,0,0,0
2017,Bldg - Other City Facility / Structures,227,Park & Recreation,EB Scripps Pk Comfort Station Replacement,S15035,2020,2022,Council District: 1; Community Plan: La Jolla,1160783,2800404,This project provides for the design and construction of a replacement comfort,The existing comfort station was constructed in the 1960s and has reached the completed in Fiscal Year 2022. end of its useful life. The salt air from the ocean has accelerated the deterioration of the,139621,0,0,1000000,0,500000
2017,- Community,228,Park & Recreation,Egger/South Bay Community Park ADA Improvements,S15031,2018,2018,Council District: 8; Community Plan: Otay Mesa - Nestor,498999,2439885,This project provides for the design and construction of Americans with,The project is needed to provide Americans with Disabilities Act improvements,840886,1100000,0,0,0,0
2017,Trans - Roadway - Enhance/Scape/Medians,229,Park & Recreation,El Cajon Blvd Streetscape Improvements,S00826,,,Council District: 3 9; Community Plan: Priority Category:       Low,2422102,2422102,This project provides for streetscape improvements which include the,The El Cajon Boulevard revitalization project began as a part of the Mid-City Fiscal Year 2018. Commercial Revitalization Program which was originally funded by a Community,0,0,0,0,0,0
2017,Parks - Open Space,230,Park & Recreation,El Cuervo Adobe Improvements,S14006,,,Council District: 6; Community Plan: Rancho Penasquitos,605999,605999,This project provides for drainage improvements and,"The El Cuervo Adobe Ruins site has been designated historic by the City General Plan Historic Resources Element. Historic Site Board, California Historic Resoures Inventory, and the National Register of",0,0,0,0,0,0
2017,,231,Park & Recreation,Encanto Comm Pk Security Lighting Upgrades / S16017  Parks - Miscellaneous Parks,S16017,,,Council District: 4; Community Plan: Southeastern (Encanto Neighborhoods),404558,404558,This project provides for security lighting upgrades within Encanto Community,"The improvements will help bring the park into compliance with the Park and Southeastern San Diego Community Plan, Encanto Neighborhoods and is in conformance Recreation Department’s security light guidelines by providing a more even broadcast of with the City’s General Plan. lighting along the park’s walkways and parking lots. Improved security lighting will also assist",0,0,0,0,0,0
2017,Reclaimed Water System - Pipelines,232,Park & Recreation,Evans Pond Reclaimed Water Pipeline Inst,S13010,,,Council District: 5; Community Plan: Scripps Miramar Ranch,427465,427465,This project would provide for the installation of a reclaimed water pipeline and,"Evans Pond is currently fed by natural rainwater and runoff, but during summer Scripps-Miramar Ranch Community Plan and in conformance with the City’s General Plan. months it loses depth and becomes shallow. Despite annual transfers of raw water from the",0,0,0,0,0,0
2017,Parks - Neighborhood,233,Park & Recreation,Fairbrook Neighborhood Park Development,S01083,,,Council District: 5; Community Plan: Scripps Miramar Ranch,3992698,4992698,This project provides for development of an approximately three acre,This project provides population-based park acreage in accordance with the began in Fiscal Year 2017. Construction is anticipated to be completed in Fiscal Year 2020. City's General Plan standards to accommodate the park and recreational needs of the,1000000,0,0,0,0,0
2017,Drainage - Channels,234,Park & Recreation,Famosa Slough Salt Marsh Creation,S00605,,,Council District: 2; Community Plan: Peninsula,363356,363356,The 0.64 acre mitigation project in Famosa Slough is required by the Army,"The 0.64 acre mitigation project in Famosa Slough is required by the Army period began in Fiscal Year 2006 and ended in Fiscal Year 2011. Due to the extended Corps of Engineers, Coastal Commission, and California Department of Fish and Game drought and lack of rainfall, additional maintenance and monitoring has been required in permits and agreements. The Famosa Slough was chosen as the mitigation site because order to obtain site approval. opportunities for coastal salt marsh mitigation in the Los Penasquitos Lagoon have been",0,0,0,0,0,0
2017,Golf Courses,235,Park & Recreation,Golf Course Drive Improvements,S15040,,,Council District: 3; Community Plan: Greater Golden Hill,259163,2000140,This project provides for the design and construction of a paved pedestrian,This project will provide needed pedestrian/bike access along Golf Course,1740977,0,0,0,0,0
2017,Parks - Open Space,236,Park & Recreation,Gonzales Canyon Resource Management Plan,S10068,,,Council District: 1; Community Plan: Pacific Highlands Ranch,59999,59999,"This project provides for the completion of an existing biology report, a literature",This project will provide a management framework for sensitive resources is anticipated to be completed in Fiscal Year 2019. within the plan area and ensure the City's compliance with MSCP.,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,237,Park & Recreation,Hawk Pocket Prk & Horton ES Joint UseDev,S16045,,,Council District: 4; Community Plan: Southeastern (Encanto Neighborhoods),4571105,4571105,This project provides for the design and construction of 0.7 acres of park and,This project provides for public parks in a community deficit in population-,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,238,Park & Recreation,Hickman Fields Athletic Area,S00751,,,Council District: 6; Community Plan: Kearny Mesa; Serra Mesa; Clairemont Mesa,5651448,5651448,"This project scope of work includes multipurpose fields, irrigation upgrades,",This project provides park and recreational facilities to serve the needs of,0,0,0,0,0,0
2017,Parks - Neighborhood,239,Park & Recreation,Hidden Trails Neighborhood Park,S00995,2018,2018,Council District: 8; Community Plan: Otay Mesa,1133195,5849999,"This project provides for the acquisition, design, and construction of an",This project provides population-based park acreage in accordance with the Financing Plan. The financial,0,4716804,0,0,0,0
2017,Parks - Trails,240,Park & Recreation,Hiking & Equestrian Trail NP #10,S00722,,,Council District: 1; Community Plan: Carmel Valley,620599,620599,This project provides for a multi-use trail connection from Del Mar Mesa to,"The construction of the identified trails or trail connections will contribute to Valley Community Plan and the Carmel Valley Neigborhood 10 Precise Plan, and is in completion of connectivity with the existing City and regional trail system, providing benefits conformance with the City's General Plan. to the community, including increased recreational opportunities, protection of senstive",0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,241,Park & Recreation,Junipero Serra Museum ADA Improvements,S15034,2018,2019,Council District: 3; Community Plan: Old San Diego,999999,1999999,This project provides for the design and construction of improvements to,The ADA improvements will make the historic Junipero Serra Museum more facilities open to the public by the end of December 2019. accessible to park users with disabilities.,0,500000,500000,0,0,0
2017,a  r k  s - Miscellaneous Parks,242,Park & Recreation,Kelly St Neighborhood Pk Security Lighting Upgrade,S16016,,,Council District: 7; Community Plan: Linda Vista,149999,149999,This project provides for security lighting upgrades within Kelly Street,The improvements will help bring the park into compliance with the Park and,0,0,0,0,0,0
2017,,243,Park & Recreation,Larsen Field ADA Improvements Phase II / S13004  Parks - Miscellaneous Parks,S13004,,,Council District: 8; Community Plan: San Ysidro,1797058,1797058,This project provides for a children’s play area and associated path of travel,This project is needed to bring the children's play area and associated paths of Ysidro Community Plan and is in conformance with the City's General Plan. travel into conformance with current Americans with Disabilities Act (ADA) standards and to,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,244,Park & Recreation,Linda Vista Skate Park,S15008,,,Council District: 7; Community Plan: Linda Vista,4258984,4258984,"This project provides for the General Development Plan amendment, design",This project will provide an additional recreational use to serve residents in this Design began in Fiscal Year 2015 and was completed in Fiscal Year 2016. Construction park-deficient community. began in Fiscal Year 2017 and is anticipated to be completed in Fiscal Year 2018.,0,0,0,0,0,0
2017,Parks - Trails,245,Park & Recreation,Los Penasquitos Cyn Preserve STrl Restor,S13014,,,Council District: 1; Community Plan: Los Penasquitos Canyon Preserve,481097,981097,This project provides for the reconstruction and improvement of one of the main,"The existing trail consistently washes out, which results in trail closures after",500000,0,0,0,0,0
2017,- Miscellaneous Parks,246,Park & Recreation,Marie Widman Memorial Pk Security Lighting Upgrade,S16018,,,Council District: 4; Community Plan: Skyline - Paradise Hills,299999,299999,This project provides for security lighting upgrades within Marie Widman,The improvements will help bring the park into compliance with the Park and Southeastern San Diego Community Plan and is in conformance with the City’s General Recreation Department’s security light guidelines by providing a more even broadcast of Plan. lighting along the park’s walkways and near the comfort station. Improved security lighting,0,0,0,0,0,0
2017,Trans - Roadway - Enhance/Scape/Medians,247,Park & Recreation,Martin Luther King Jr. Promenade,S13020,,,Council District: 4; Community Plan: Southeastern San Diego,224999,1229999,This project will provide for the construction of a cultural promenade area,This project will provide for a cultural gathering area for educational and,1005000,0,0,0,0,0
2017,,248,Park & Recreation,MB GC Clbhouse Demo/Prtbl Building Instl / S01090  Golf Courses,S01090,,,Council District: 2; Community Plan: Mission Bay Park,1399999,1399999,"This project provides for the demolition of the existing, antiquated practice","These improvements are necessary to comply with current codes, address 2019. maintenance needs, and increase the viability of identifying potential future lessees.",0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,249,Park & Recreation,Memorial Comm Pk Playground ADA Upgrades,S16020,2018,2018,Council District: 8; Community Plan: Southeastern San Diego,1173127,2473127,This project provides for Americans with Disabilities Act (ADA) upgrades to the,The existing playground and the play equipment within is not accessible to,0,1300000,0,0,0,0
2017,P  arks - Miscellaneous Parks,250,Park & Recreation,Memorial Community Building Clearance Activity,S15039,,,Council District: 8; Community Plan: Southeastern (Encanto Neighborhoods),649999,649999,This project will demolish and remove an existing building of approximately,The existing building is considered spot blight within the community. Removal of the building will allow other park uses within Memorial Community Park.,0,0,0,0,0,0
2017,Bldg - Parks - Recreation/Pool Centers,251,Park & Recreation,Mira Mesa Community Pk Improvements,L16002,2019,2019,Council District: 6; Community Plan: Mira Mesa,6110947,23710947,This project provides for Phase II and Phase III improvements at Mira Mesa,This project will contribute to satisfying the population-based park acreage,0,0,17600000,0,0,0
2017,Golf Courses,252,Park & Recreation,MBGC Irrigation & Electrical Upgrades,S11010,,,Council District: 2; Community Plan: Mission Bay Park,2959999,2959999,This project provides for the design and construction of various improvements,"This project is needed to provide the long awaited improvements to the 18- 2018. This project was previously published as Mission Bay GC Irrigation and Light Upgr. hole golf course. For example, the new computerized irrigation system will replace a system that is outdated, inefficient, and does not meet current or future water restriction requirements. These improvements will help bring the golf course within industry standards for municipal golf courses.",0,0,0,0,0,0
2017,Golf Courses,253,Park & Recreation,Mission Bay Golf Course,AEA00003,,,Council District: 2; Community Plan: Mission Bay Park,826096,826096,This annual allocation provides for the unexpected replacement of minor capital,This annual allocation will provide a capital assets cost-avoidance program Bay Park Master Plan and is in conformance with the City's General Plan. allowing for the timely replacement of unanticipated failure of golf capital assets.,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,254,Park & Recreation,Mission Bay Improvements,AGF00004,2018,2022,Council District: 2; Community Plan: Mission Bay Park,30190039,68724541,This annual allocation provides for permanent public capital improvements and,"Mission Bay Park, as well as other regional parks, open spaces, and coastal may include upgrades and deferred maintenance improvements to comfort stations, beaches, helps define the City's identity, enriches quality of life, and serves as a visitor playgrounds, parking lots, and pedestrian walkways within the Mission Bay Park attraction that strengthens the local economy. This regional treasure is threatened by Improvement Zone as defined in City Charter Section 55.2. In addition, a programmatic increasing use and a backlog of needed improvements. environmental impact report will be initiated to address other high priority projects such as",0,6825570,7252192,7734786,8149482,8572472
2017,Trans - Roadway - Street Lighting,255,Park & Recreation,Mission Hills Historic Street Lighting,S11008,,,Council District: 3; Community Plan: Uptown,367485,367485,"This project provides for the procurement and installation of decorative, acorn",This project is an identified improvement in the Mission Hills Historic Street Construction began in Fiscal Year 2014 and was completed in Fiscal Year 2016. Lighting MAD and will be conducted in conjunction with an underground utility project.,0,0,0,0,0,0
2017,Parks - Open Space,256,Park & Recreation,Mission Trails RP Cowles Mountain Trail,S10065,,,Council District: 7; Community Plan: Navajo; Tierrasanta,299999,399999,"This project provides for design, engineering, construction, and installation of","This project will benefit the community by increasing safety for hikers and structures, as well as the rehabilitation and installation of appropriate material to re-establish protect sensitive natural and cultural resources. approximately 2,000 linear feet of existing trail. This project will supplement the existing and",100000,0,0,0,0,0
2017,Parks - Miscellaneous Parks,257,Park & Recreation,Mission Trails RP Master Plan Update,S01014,,,Council District: 7; Community Plan: Navajo; Tierrasanta; Rancho Encantada; East Elliott,884828,884828,This project provides for an update to the 1985 Mission Trails Regional Park,MTRP faces numerous challenges and issues due to the high number of,0,0,0,0,0,0
2017,,258,Park & Recreation,Mission Trails RP Trail Realignments / S10066  Parks - Trails,S10066,,,Council District: 7; Community Plan: Navajo; Tierrasanta,99999,214999,"This project provides for design, engineering, and construction of approximately","New realignment will provide for improved safety to visitors and protection of 5,000 linear feet of new (realignment) trail and rehabilitation of approximately 3,500 linear sensitive resources. feet of existing trail. This is to supplement existing and increase recreational activity of all",115000,0,0,0,0,0
2017,Parks - Open Space,259,Park & Recreation,Mohnike Adobe and Barn Restoration,S13008,2018,2019,Council District: 5; Community Plan: Los Penasquitos Canyon Preserve,1597597,3197477,This project provides for the rehabilitation/restoration of the historic adobe and,Phase I of a rehabilitation program was completed in 2005 consistent with the Regional Park Improvement Fund in Fiscal Year 2018. The project,99880,1000000,500000,0,0,0
2017,Bldg - Other City Facility / Structures,260,Park & Recreation,Montgomery Academy JU Improvements,S00973,,,Council District: 7; Community Plan: Linda Vista,1331510,1331510,This project provides for the construction of approximately three acres of joint-,Development of this project is a Site Development Permit condition of the,0,0,0,0,0,0
2017,Parks - Neighborhood,261,Park & Recreation,Mountain View NP Area Upgrades,S11019,,,Council District: 9; Community Plan: Southeastern San Diego,1639031,1639031,This project provides for Americans with Disabilities Act (ADA) upgrades and,This project is needed to upgrade existing site improvements and play area,0,0,0,0,0,0
2017,P  a  r k  s - Mini Parks,262,Park & Recreation,North Park Mini Park and Streetscape Improvements,S10050,,,Council District: 3; Community Plan: Greater North Park,3210761,3210761,This project provides for the design and construction of an approximately 0.50,The community is currently deficient in population-based park requirements set Year 2019. forth in the City's General Plan. This project will add population-based park acreage to the,0,0,0,0,0,0
2017,Trans - Ped Fac - Sidewalks,263,Park & Recreation,North Park/Main St Sidewalk Improvements,S10040,,,Council District: 3; Community Plan: Greater North Park,634999,634999,The project provides for the replacement of existing red sidewalk and,"The project will replace existing red sidewalk and decorative tiles that are Construction began and was completed in Fiscal Year 2017. Warranty period for this project cracked, deteriorated, and missing. will continue through Fiscal Year 2018.",0,0,0,0,0,0
2017,Bldg - Parks - Recreation/Pool Centers,264,Park & Recreation,NTC Aquatic Center,S10000,,,Council District: 2; Community Plan: Peninsula,1486725,9486725,This project will provide for the planning and design of a new aquatic facility,This project will contribute to satisfying the recreation facility requirement set project delivery method. No,8000000,0,0,0,0,0
2017,P  a  rks - Community,265,Park & Recreation,Ocean Air Comfort Station and Park Improvements,S16031,,,Council District: 1; Community Plan: Carmel Valley,1881792,1881792,This project provides for the design and construction of a comfort,This project will expand the use of the park and contribute to satisfying,0,0,0,0,0,0
2017,Parks - Community,266,Park & Recreation,Ocean Air CP - Turf Upgrades,S16030,,,Council District: 1; Community Plan: Carmel Valley,6523952,6523952,This project provides for the design and construction of approximately 5 acres,This project will expand the use of the park and contribute to satisfying Valley Community Plan and is in conformance with the City's General Plan. population-based park acreage requirements as set forth in the City's General Plan to serve,0,0,0,0,0,0
2017,Parks - Resource Based,267,Park & Recreation,Old Mission Dam Preservation,S00611,,,Council District: 7; Community Plan: Navajo; Tierrasanta,1577335,1577335,This project provides for dredging behind the Old Mission Dam for the purpose,This project will protect the structural integrity of the historic dam and improve,0,0,0,0,0,0
2017,Parks - Miscellaneous Parks,268,Park & Recreation,Olive Grove Community Park ADA Improve,S15028,,,Council District: 6; Community Plan: Clairemont Mesa,422848,1617848,This project provides for the design and construction of Americans with,"This project is needed to upgrade the existing comfort station, children's play",1195000,0,0,0,0,0
2017,,269,Park & Recreation,Olive St Park Acquisition and Development / S10051  Parks - Mini Parks,S10051,,,Council District: 3; Community Plan: Uptown,2771584,2771584,"This project provides for the acquisition, design, and construction of",This project will contribute to satisfying population-based park acreage,0,0,0,0,0,0
2017,Parks - Open Space,270,Park & Recreation,Open Space Improvements,AGG00001,,,Council District: Citywide; Community Plan: Citywide,1900251,1900251,This project provides funding for Rancho Mission Canyon Slope site restoration.,"This project is needed to preserve and enhance the City's open space Environmental Growth Fund and $22,001 in General Fund to L12003 California Tower areas. Enhancement may include removal of exotic, invasive, and non-native plant material Seismic Retrofit. and re-vegetation with native plants of the areas susceptible to erosion.",0,0,0,0,0,0
2017,Parks - Community,271,Park & Recreation,Pacific Highlands Ranch Community Park,RD16002,2018,2020,Council District: 1; Community Plan: Pacific Highlands Ranch,13009999,39999999,"This reimbursement project provides for the acquisition, design, and","This project is in conformance with the City's General Plan guidelines for population based park acreage, implements the recommendations of the Del Mar Mesa and Pacific Highlands Ranch sub-area plans, and is needed to serve the community. See the Del Mar Mesa and Pacific Highlands Ranch Public Facilities Financing Plan for additional information.",0,12837725,12847725,1304550,0,0
2017,Parks - Trails,272,Park & Recreation,Pacific Highlands Ranch Hiking & Biking,RD12003,2018,2020,Council District: 1; Community Plan: Pacific Highlands Ranch,3705905,7169904,This reimbursement project provides for the design and construction of,"This project will provide the community with additional recreational approximately 80,000 linear feet (15 miles) of hiking, equestrian, and biking trails to be opportunities. See Pacific Highlands Ranch Public Facilities Financing Plan for additional located throughout the community in accordance with the Pacific Highlands Ranch subarea information. plan. The trail system will provide access into the multiple habitat planning area of McGonigle",0,3097000,0,366999,0,0
