cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016_2020,unidentified_funding,start_year,end_year,computed_total,residual,validation_label
2009,90,Airports,Airports,Annual Allocation - Brown Field,31-001.1,Council District: 8; Community Plan: Otay Mesa,,850000,"This annual allocation provides for capital improvements at Brown Field. The improvements are financed by the Airports Enterprise Fund, which may receive State and federal grants. Individual projects are recommended to the City Council based on the Master Plan for the airport and on the availability of funding. These improvements will not be impacted by the Brown Field Development Project.","This project may be used to provide matching local funds for capital improvement projects, which are supported by State and federal grants that require local financial participation, and to provide permanent public improvements for which no State and federal grant funding is available.",850000,,,,,,,,2010,2010,850000,0,
2009,91,Airports,Airports,Annual Allocation - Montgomery Field,31-001.0,Council District: 6; Community Plan: Kearny Mesa,,950000,"This annual allocation provides for capital improvements at Montgomery Field. The improvements are financed by the Airports Enterprise Fund, which may receive State and federal grants. Individual projects are recommended to the City Council based on the Master Plan for the airport and on the availability of funding.","This project may be used to provide matching local funds for capital improvement projects, which are supported by State and federal grants that require local financial participation, and to provide permanent public improvements for which no State and federal grant funding is available.",950000,,,,,,,,2010,2010,950000,0,
2009,92,Airports,Airports,Brown Field Airport Airfield Electrical System Upgrades Phase I,31-300.0,Council District: 8; Community Plan: Otay Mesa,1735381,1735381,This project provides for the design and construction of electrical system upgrades at the Brown Field Airport Airfield.,Brown Field's current electrical system has outlined its design life and needs to be replaced to meet current engineering standards and the Federal Aviation Administration (FAA) regulations; thus providing continued safe use of the airport.,0,0,0,0,0,0,0,0,,,1735381,0,
2009,96,City Planning & Community Investment,Bikeways,City Bicycle Master Plan,58-153.0,Council District: Citywide; Community Plan: Citywide,275000,275000,"This project updates the current Bicycle Master Plan that was completed in 2002. This update provides for documenting existing conditions and making recommendations for future bicycle facilities. It is an essential reference tool for updating community plan, and for use in reviewing development proposals and street improvement plans.","To facilitate grant fund appliations, a new Master Plan is required to update the existing 2002 Biclycle Master Plan.",0,0,0,0,0,0,0,0,,,275000,0,
2009,97,City Planning & Community Investment,Centre City Development Corporation,Annual Allocation - Downtown Parking Projects,39-803.0,"Council District: 2, 8; Community Plan: Centre City",,5500000,"This annual allocation provides funding to implement and facilitate projects and programs to maximize the use of existing parking resources. Parking management projects and programs include design and implementation of a ""Wayfinding"" program throughout downtown that places directional signs in the Downtown San Diego area, implementation of residential parking permits, and payment of debt service. These funds have also been pledged for the payment of 6th Avenue and Market Street, and 6th Avenue and K Street parking facilities.","The Redevelopment Plan of the Centre City Redevelopment Area calls for the elimination of blight in Centre City. The Redevelopment Plan was adopted on May 11, 1992 by Council Ordinance O-17767. The Parking Meter Revenue Allocation Policy (Council Policy 100-18) was adopted on March 4, 1997 and the Comprehensive Downtown Parking Plan was adopted on December 2, 1997.",5500000,,,,,,,,2010,2010,5500000,0,
2009,98,City Planning & Community Investment,Economic Development,Ray Street Improvements,39-084.0,Council District: 3; Community Plan: Greater North Park,125000,125000,"This project provides for sidewalk, curb and gutter replacement, trees, enhanced paving, street furniture, and identity signage on one block of Ray Street from University Avenue to North Park Way in the North Park Community.","This one-block area of Ray Street lies within the boundaries of the North Park Main Street Business Improvement District and the North Park Redevelopment Project Area. Due to the activism of the business owners on the street, this blighted area is being enhanced with facade improvements, a monthly gallery event and leasehold turnover consistent with the art-oriented theme of this small district. This project will add enhancements in the public right-of-way.",0,0,0,0,0,0,0,0,,,125000,0,
2009,99,City Planning & Community Investment,Facilities - Eng,Multiple Species Conservation Program - Property Acquisition,37-443.0,Council District: Citywide; Community Plan: Citywide,15411050,43200522,This project provides for acquiring property in support of the Multiple Species Conservation Program (MSCP).,"The Multiple Species Conservation Program Implementing Agreement, Section 10(a), Take Authorization of the Endangered Species Act, mandates a statutory responsibility on the part of the City to assemble the MSCP preserve. This responsibility includes public land acquisition to be used for wildlife habitat.",0,0,0,0,0,0,0,27789472,,,43200522,0,
2009,100,City Planning & Community Investment,Other Parks,Torrey Pines City Park General Development Plan,29-965.0,"Council District: 1; Community Plan: La Jolla, University",465431,465431,"This project provides for the preparation of a General Development Plan for the 447.0 gross acre park located on North Torrey Pines Road. The General Development Plan will incorporate the Glider Port Leasehold and will provide guidance for the development and protection of the Park's beautiful and historic nature. Amenities may include passive use areas, access road and parking lot, children's play area, pedestrian/bicycle paths connecting to beach access, accessibility improvements, signage, site furnishings, and miscellaneous landscaping. Construction may be a component of this project and may begin once design is completed.","This project is required pursuant to a Settlement Agreement between the City and the Coastal Law Enforcement Action Network for violations resulting from unapproved on-site grading activities by the Lessee. Additionally, the park site is located in a community deficient in parks and recreational facilities per the City's General Plan.",0,0,0,0,0,0,0,0,,,465431,0,
2009,104,Engineering & Capital Projects,Bikeways,54th Street and Euclid Avenue Bike Lanes and Route,58-179.0,"Council District: 4, 7; Community Plan: Southeastern San Diego, College Area",130000,130000,This project provides for the installation of Class II Bike Lanes on 54th Street between Trojan and Euclid Avenues and for Class III Bike Route signage and pavement markings along Euclid Avenue between 54th Street and Market Street.,This project will close a gap in bicycle routes between the College Area and Southeastern San Diego and its neighborhoods.,0,0,0,0,0,0,0,0,,,130000,0,
2009,105,Engineering & Capital Projects,Bikeways,Balboa Ave/Tierrasanta Blvd Bikeway,58-188.0,"Council District: 6, 7; Community Plan: Kearny Mesa, Tierrasanta",250000,250000,"This project provides for the installation of 13.5 miles of Class II bike lanes on Balboa Avenue from Morena Boulevard to Interstate 15 and on Tierrasanta Boulevard from Interstate 15 to Santo Road, and .7 miles of Class III bike route on Balboa Avenue from Mission Bay Drive to Morena Boulevard.",This project will facilitate the use of bicycles in the area.,0,0,0,0,0,0,0,0,,,250000,0,
2009,106,Engineering & Capital Projects,Bikeways,Bayshore Bikeway,58-140.0,Council District: 8; Community Plan: Otay Mesa/Nestor,5282775,5282775,This project provides for constructing a Class I bikeway from the northern end of 13th Street to Main Street at the Interstate 5 interchange at the southeast corner of San Diego Bay.,This project completes the missing segment of the planned bike path around San Diego Bay from Point Loma to Coronado.,0,0,0,0,0,0,0,0,,,5282775,0,
2009,107,Engineering & Capital Projects,Bikeways,Bicycle Rings and Racks,58-207.0,Council District: Citywide; Community Plan: Citywide,50000,50000,This project will install bike rings and racks citywide. It promote safety to bicyclists citywide.,This project is needed to promote bicycle ridership.,0,0,0,0,0,0,0,0,,,50000,0,
2009,108,Engineering & Capital Projects,Bikeways,Bicycle Safety and Commuting Education Program,58-167.0,Council District: Citywide; Community Plan: Citywide,1365994,1365994,"This project provides for a Bicycle Safety and Commuting Education Program. This program reaches out to school children, teachers, parents, law enforcement personnel, and others through school workshops and hands-on training. This project is funded by SANDAG.",This project is needed to continue the Bicycle Safety and Commuting Education Program for another year.,0,0,0,0,0,0,0,0,,,1365994,0,
2009,109,Engineering & Capital Projects,Bikeways,Coastal Rail Trail,58-162.0,"Council District: 1; Community Plan: Torrey Pines, University",1427189,22514289,This project provides for identifying the best alignment for a bikeway route of approximately 10 miles between the San Diego-Del Mar city limits and Gilman Drive,"This project is part of a larger multi-jurisdictional project, which proposes a bikeway along the coast in the cities of Oceanside, Encinitas, Solana Beach, Carlsbad, Del Mar, and San Diego. It is intended to provide regional connectivity for both commuting bicylists and recreational activities.",0,0,0,0,0,0,0,21087100,,,22514289,0,
2009,110,Engineering & Capital Projects,Bikeways,Darkwood Canyon Connector Study for SR-56 Bike Path,58-176.0,Council District: 1; Community Plan: Rancho Penasquitos,50000,50000,This project provides for a feasibility study for a bike lane connection between the State Route 56 Bike Path and Park Run Road and is a part of the State Route 56 Corridor Study.,Bicyclists would otherwise only be able to access the bikepath from the adjacent freeway interchanges of Black Mountain Road or Camino Ruiz. Providing this direct connection would reduce the out-of-direction travel for accessing the bikepath and would also positively influence the potential useage by bicyclists.,0,0,0,0,0,0,0,0,,,50000,0,
2009,111,Engineering & Capital Projects,Bikeways,El Camino Real/State Route-56 Bike Path Connector Paving,58-208.0,Council District: 1; Community Plan: Carmel Valley,50000,267500,"This project will provide for pervious paving on the bike path entrances from El Camino Real to the State Route 56 Bike Path. The existing entrances will be graded, and a driveway apron will be installed on the north side of El Camino Real to allow access to the path.",This project is required to provide a safe method of access from street to trail.,217500,0,0,0,0,0,0,0,2010,2010,267500,0,
2009,112,Engineering & Capital Projects,Bikeways,Friars Road to Pacific Highway Bike Path,58-150.0,"Council District: 6; Community Plan: Linda Vista, Mission Valley",89518,714518,This project provides for designing and constructing a Class I bike path connecting Friars Road to Pacific Highway.,This project will provide shortcut access between the one-way Class II eastbound bike paths on Friars Road to a one-way Class II bike path northbound on the Pacific Highway bridge.,0,0,0,0,0,0,0,625000,,,714518,0,
2009,113,Engineering & Capital Projects,Bikeways,India Street Improvement Study,58-206.0,Council District: 2; Community Plan: Uptown,50000,50000,This project provides for a feasiblity study and preliminary and environmental impact evaluation for providing improved bicyle access on India Street between Laurel Street and Washington Street.,"This project is needed to determine the required modification to a roadway that has heavy bicyle use, heavy auto use, and poor visibility through a lengthy freeway underpass.",0,0,0,0,0,0,0,0,,,50000,0,
2009,114,Engineering & Capital Projects,Bikeways,Interstate 5 Underpass - Bikeway/Pedestrian Connection,58-209.0,Council District: 1; Community Plan: Carmel Valley,535000,1651000,"This project will provide the (missing) link between two existing bike/pedestrian paths: the regional bike connection that runs parallel to State Route 56 corridor, and the Sorrento Valley Road multi-use bike/pedestrian path, and will pass under Interstate 5, just south of the Carmel Mountain Road interchange.",Currently cyclists and pedestrians must use the shoulders of Carmel Valley Road to access the west side of I-5. High traffic volumes coupled with commercial driveways and freeway ramps make it difficult for pedestrians and cyclists to travel from one side of the freeway to the other.,0,0,0,0,0,0,0,1116000,,,1651000,0,
2009,115,Engineering & Capital Projects,Bikeways,Kearny Villa Road Bike Lane Improvements,58-198.0,Council District: 6; Community Plan: Kearny Mesa,300000,300000,This project provides for the resurfacing and repair of damaged bicycle lanes on Kearny Villa Road between Miramar Way and State Route 163.,"The deteriorating asphalt in the bicycle lane causes bicyclists to ride close to the main travel lanes, where there are high volumes of high-speed traffic. This project will replace the existing bicycle lane with new asphalt.",0,0,0,0,0,0,0,0,,,300000,0,
2009,116,Engineering & Capital Projects,Bikeways,Kearny Villa Road Bike Path Study,58-205.0,Council District: 6; Community Plan: Kearny Mesa,100000,100000,"This project will provide for a feasibility study focusing on a long term solution to provide an alternative parallel facility to the existing bicycle lane on Kearny Villa Road, including possible operational improvements at the interchanges at State Route 163.",This project is needed to increase safety for bicyclists in the area.,0,0,0,0,0,0,0,0,,,100000,0,
2009,117,Engineering & Capital Projects,Bikeways,Ocean Beach Bike Path/Hotel Circle North Bikeway Design,58-156.0,"Council District: 2, 6; Community Plan: Mission Valley, Ocean Beach",2550000,3018884,"This project provides for Class I bike path to connect the existing Ocean Beach bike path (at its easterly end) to Hotel Circle North, along the south side of the San Diego River.",This bike path is needed as a critical connection for bicyclists in this area in accordance with the Mission Valley Community Plan.,468884,0,0,0,0,0,0,0,2010,2010,3018884,0,
2009,118,Engineering & Capital Projects,Bikeways,Pedestrian Master Plan Phase III,58-200.0,Council District: Citywide; Community Plan: Citywide,341435,341435,"This project provides for the development of a comprehensive Pedestrian Master Plan to guide the way the City plans and implements pedestrian improvement projects to address safety, accessibility, connectivity, and walkability. The plan will identify and prioritize pedestrian improvement projects based on technical analysis and community input.","The plan will identify the City's pedestrian needs list, improve the City's ability to implement pedestrian projects using its limited resources as effectively as possible, and improve the City's position to receive grant funding to construct such projects.",0,0,0,0,0,0,0,0,,,341435,0,
2009,119,Engineering & Capital Projects,Bikeways,Poway Road - Class I Bicycle Lane,58-089.0,Council District: 5; Community Plan: Sabre Springs,1600000,1600000,"This project provides for the construction of a Class I bicycle path (combined pedestrian and bicycle travel) easterly along the south side of Poway Road from the I-15/Poway Road interchange to Sabre Springs Parkway, approximately 1,950 feet in length. This project replaces the existing Class II bikeway located within the shoulder of Poway Road.","The Sabre Springs Community Plan encourges the development of a system of bikeways within the community, tying into the regional bicycle network.",0,0,0,0,0,0,0,0,,,1600000,0,
2009,120,Engineering & Capital Projects,Bikeways,Rancho Bernardo Bikeway,58-199.0,Council District: 5; Community Plan: Rancho Bernardo,250000,250000,This project provides for the installation of three miles of Class II bike lanes on West Bernardo Drive from Rancho Bernardo Road to Aguamiel Road and on Bernardo Center Drive from West Bernardo Drive to Rancho Bernardo Road.,"This project completes gaps in the Rancho Bernardo community bicycle network, and connects to regional bicycle facilities. It also improves bicycle access to a number of community facilities, including a transit center, library, and schools.",0,0,0,0,0,0,0,0,,,250000,0,
2009,121,Engineering & Capital Projects,Bikeways,Rose Creek Bikeway,58-147.0,"Council District: 2, 6; Community Plan: Mission Bay Park, Pacific Beach",1800000,6800000,This project provides for designing and constructing a pedestrian/bicycle bridge across Rose Creek and a paved Class I bike path to connect the westerly end of the new bridge to Pacific Beach Drive.,This project will close a gap in the existing network of bike paths and lanes in Mission Bay Park. The project will allow pedestrians and bicyclists to circumvent a much longer existing route along Grand Avenue.,0,0,0,0,0,0,0,5000000,,,6800000,0,
2009,122,Engineering & Capital Projects,Bikeways,Safety in Traffic Education Program (STEP),58-202.0,Council District: Citywide; Community Plan: Citywide,220000,220000,"This project provides for development of a public education campaign to promote safe use of streets by motorists, pedestrians, and bicyclists.","This project will result in a guide for a multi-media ad campaign to raise public awareness of the interactions of motorists, pedestrians, and bicyclists on City streets. Various aspects of the public education campaign will target specific elements of the traveling public. Additional funding will be required for campaign implementation.",0,0,0,0,0,0,0,0,,,220000,0,
2009,123,Engineering & Capital Projects,Bikeways,San Diego River Bike Path - Mission Trails to Mission Bay,52-781.0,"Council District: 6, 7; Community Plan: Mission Valley, Navajo",75000,75000,This project provides for various bikeway projects along the San Diego River Bike Path between Mission Trails Park and Mission Bay.,"This project will provide an alternate to Old Town, Ocean Beach, Friars Road and Mission Gorge Road for bicyclists and pedestrians along the San Diego River and Navajo Community Plan.",0,0,0,0,0,0,0,0,,,75000,0,
2009,124,Engineering & Capital Projects,Bikeways,San Diego River Bike Path - Mission Trails to Mission Bay,58-144.0,"Council District: 6, 7; Community Plan: Mission Valley, Navajo",201500,201500,This project provides for various bikeway projects along the San Diego River Bike Path between Mission Trails and Mission Bay in the Mission Valley Community.,"This project will provide various, as-needed bikeways for bicyclists and pedestrians in the Mission Valley and Navajo communities.",0,0,0,0,0,0,0,0,,,201500,0,
2009,125,Engineering & Capital Projects,Bikeways,San Diego River Multi-Use Path,58-191.0,Council District: 6; Community Plan: Mission Valley,500000,1400000,"This project provides for a multi-use pedestrian and bicycle path under State Route 163 from Hazard Center Drive to Fashion Valley Mall on the north side of the San Diego River. The project includes a paved bicycle and pedestrian path, grading, fill, striping, signage, bollards, and lighting for the path including the State Route 163 undercrossing.",This project is part of the Bicycle Master Plan to guide the development and the creation of a firm foundation for a bicycle-friendly environment to serve bicyclists and pedestrians throughout the City. These improvements will benefit the community by increasing the mobility and safety through the enhancement of the bicycle path environment.,0,0,0,0,0,0,0,900000,,,1400000,0,
2009,126,Engineering & Capital Projects,Bikeways,State Route 15 Bikeway,58-127.0,Council District: 3; Community Plan: Mid-City,1242879,1503869,This project provides for the construction of a Class II and Class III bikeway along State Route 15 from Landis Street to Adams Avenue.,This project provides the needed bikeway/bike path parallel with State Route 15 from Landis Street to Adams Avenue.,240000,0,0,0,0,0,0,0,2010,2010,1482879,-20990,
2009,127,Engineering & Capital Projects,Bikeways,State Route 56 Bike Interchanges,58-171.0,"Council District: 1; Community Plan: Rancho Penasquitos, Pacific Highlands Ranch, Del Mar Mesa, Torrey Highlands, Black Mountain Ranch",3100000,11427000,"This project will provide for a bicycle path interchange and community connection points at Black Mountain Road, Camino Del Sur, Rancho Del Sol Way, and Torrey Meadows Drive along State Route 56.",Bicyclists and pedestrians traveling the SR-56 bicycle path and needing to cross through the interchange areas have to contend with high volumes of conflicting vehicular traffic. This project will expedite the movements along the bicycle path through and connecting to the interchange areas.,0,973660,0,0,0,0,530400,6822940,2011,2020,11427000,0,
2009,128,Engineering & Capital Projects,Bikeways,Taylor Street - Bikeway,58-203.0,Council District: 2; Community Plan: Old San Diego,250000,250000,"This project provides for the replacement of a bicycle lane on Taylor Street between Presidio Drive and Hotel Circle South, adjacent to Presidio Park.","Erosion has caused the cliffside at this location to destabilize. Temporary barriers are in place to prevent additional rockslide onto Taylor Street; however, these barriers have eliminated the bicycle lane. This project will re-establish the bike lane.",0,0,0,0,0,0,0,0,,,250000,0,
2009,129,Engineering & Capital Projects,Bikeways,Traffic Safety and Education Program,58-201.0,Council District: Citywide; Community Plan: Citywide,50000,50000,"This project provides for 100 classes in bicycle safety, specifically tailored for commuters.",This project builds on the City's Smart Cycling and Bike to Work commuter education programs. The classes will focus on bicycle safety and route selection and can include components relative to specific employment locations. The project's ultimate goal is to increase bicycling as a viable commuting option.,0,0,0,0,0,0,0,0,,,50000,0,
2009,130,Engineering & Capital Projects,Bikeways,University Avenue at Alabama Street Bicycle and Pedestrian Safety Improvements,58-196.0,Council District: 3; Community Plan: Greater North Park,120000,750000,"This project provides for the restriping of University Avenue from east of Florida Street to the west side of Mississippi Street, including the two intersections of University Avenue at Alabama Street to provide a center refuge median and wider travel lanes to improve bicycle and pedestrian safety.","This project will provide for the removal of parking on both sides of the street and eliminate left turns in and out of both intersections of University Avenue and Alabama Street. In addition, the project will provide center refuge median and wider travel lanes to improve bicycle and pedestrian safety.",630000,0,0,0,0,0,0,0,2010,2010,750000,0,
2009,131,Engineering & Capital Projects,Bikeways,Villa La Jolla Drive Bicycle Route,58-210.0,Council District: 1; Community Plan: University,10000,10000,This project provides for the construction of one mile of Class III bicycle route on Villa La Jolla Drive from Nobel Drive to Gilman Drive.,This project is consistent with the Bicycle Master Plan. The plan will facilitate bicycle usage in the community.,0,0,0,0,0,0,0,0,,,10000,0,
2009,132,Engineering & Capital Projects,Bikeways,Vista Sorrento Parkway Bike Lanes,58-157.0,"Council District: 1, 5; Community Plan: Mira Mesa, Torrey Pines",607500,607500,This project provides for the construction of bike lanes on Vista Sorrento Parkway between Sorrento Valley Boulevard and Lusk Boulevard by widening the existing roadway.,"Bicyclists along this section of Vista Sorrento Parkway currently must contend with heavy volumes and high speeds from vehicular traffic in common lanes. The proposed bike lanes will provide a separate venue for bicyclists to use, which is in accordance with the Torrey Pines and Mira Mesa Community Plans.",0,0,0,0,0,0,0,0,,,607500,0,
2009,133,Engineering & Capital Projects,Economic Development,El Cajon Boulevard Commercial Revitalization - Interstate 805 to 54th Street,39-209.0,"Council District: 3, 7; Community Plan: Greater North Park, Mid-City",2334087,2871279,"This project provides for streetscape improvements, which include sidewalk replacement, curb and gutter replacement, and the installation of street lights, along El Cajon Boulevard from Interstate 805 east to 54th Street.",The El Cajon Boulevard revitalization project has been a part of the Mid-City Commercial Revitalization Program as a Community Development Block Grant and TransNet funded activity. This project will continue the approved design along additional commercial blocks. The El Cajon Boulevard Maintenance Assessment District (MAD) Assessment Engineer's Report also identifies lighting as an improvement within the project area.,200000,0,0,0,0,0,0,337192,2010,2010,2871279,0,
2009,134,Engineering & Capital Projects,Economic Development,North Park/University Avenue - Streetscape Improvements,39-207.0,Council District: 3; Community Plan: Greater North Park,2306500,2306500,This project provides for neighborhood identification signage and public improvements along University Avenue and adjacent streets in North Park.,"Public improvement and neighborhood identification are an important part of the revitalization project, which is a continuing effort to improve the economic base of the North Park community. This project will extend the existing demonstration block concept east and west of the completed phases at 30th Street and University Avenue.",0,0,0,0,0,0,0,0,,,2306500,0,
2009,135,Engineering & Capital Projects,Economic Development,Ocean Beach Commercial Revitalization - Newport Avenue,39-013.0,Council District: 2; Community Plan: Ocean Beach,406000,1246000,"This project provides for phased design and construction of drainage improvements, street grinding and resurfacing, installation of concrete gutters, additional surface drain inlets, enhanced crosswalks, curb pop-outs, hardscaping and tree planting along Newport Avenue from Sunset Cliffs Boulevard to Abbott Street.","The proposed improvements are necessary to satisfy the Americans with Disabilities Act (ADA) requirements by bringing the street surface areas up to standard. This project does not address bringing the area storm water system infrastructure up to standard, therefore, while some improvement may be observed with the surface drainage on Newport Avenue, elimination of flooding along Newport Avenue between Sunset Cliffs Boulevard and Abbott Street will not be achieved.",0,0,0,0,0,0,0,840000,,,1246000,0,
2009,136,Engineering & Capital Projects,Economic Development,University City South Beautification and Right of Way Improvements,39-089.0,Council District: 1; Community Plan: University,100000,100000,This project will provide for median and roadway beautification along Governor Drive between Stressemann Street and Genesee Avenue.,Roadway beautification was requested by the Council District.,0,0,0,0,0,0,0,0,,,100000,0,
2009,137,Engineering & Capital Projects,Economic Development,Washington/Goldfinch Improvements,39-216.0,Council District: 2; Community Plan: Uptown,1462000,1462000,"This project provides for streetscape improvements on Washington Street between San Diego Avenue and India Street, and between Goldfinch Street and Dove Street.",The Mission Hills Community Plan group adopted the Washington Street Beautification Master Plan in Fiscal Year 1997. Streetscape improvements are being installed to revitalize the Mission Hills Business District.,0,0,0,0,0,0,0,0,,,1462000,0,
2009,138,Engineering & Capital Projects,Facilities,Annual Allocation - ADA Improvements,37-064.0,Council District: Citywide; Community Plan: Citywide,,11069316,This annual allocation provides for City facilities and public right of way improvements related to the Americans with Disabilities Act (ADA). Funding ADA obligations is one of the Mayor's eight significant areas.,ADA improvements will allow greater access to City facilities and public right of way for residents.,11069316,,,,,,,,2010,2010,11069316,0,
2009,139,Engineering & Capital Projects,Facilities - Eng,Annual Allocation - Undergrounding of City Utilities,37-028.0,Council District: Citywide; Community Plan: Citywide,,48857037,"This annual allocation provides for additional underground conversion projects to augment the California Public Utilities Commission (CPUC) Rule 20A projects as well as provides for the necessary administrative expenses, conversion of City-owned street lighting, and resurfacing of roadways associated with the undergrounding of utilities.","The CPUC mandates that local utility companies allocate funding for undergrounding of utilities at the direction of the local municipality. San Diego Gas and Electric, Pacific Bell and the cable television companies spend several million dollars annually to underground overhead facilities. The City must provide the utility companies with a priority listing of projects, aid coordination, establish underground utility districts and give informational support. Construction costs for undergrounding are paid by utility companies in accordance with Public Utilities Commission Decisions 73078, 820118 and Case 8209. If not provided with administrative support, millions of dollars of utility company construction money could go unused. Additional underground conversion projects are funded through the City Undergrounding Surcharge Fund. This fund is used solely for the undergrounding of utilities and cannot be used for other purposes.",48857037,,,,,,,,2010,2010,48857037,0,
2009,140,Engineering & Capital Projects,Facilities - Eng,City Administration Building Fire Protection and Life Safety Improvement,37-900.0,Council District: 2; Community Plan: Centre City,1198000,6198000,"This project provides for the installation of a fire sprinkler system and for upgrading the existing fire alarm system at the City Administration Building located at 202 C Street in Centre City. One component of the project is asbestos spot abatement. All work will be performed during non-working hours allowing the facility to remain occupied and operational during construction. Phase I provided for the installation of fire sprinklers on the 10th, 14th, and 15th floors. Phase II provided for the installation of eight-inch stand pipes and eight-inch basement lateral. Phase III provided for the installation of sprinklers in the remaining basement and on the 11th and 13th floors and a fire alarm system in the basement and on the 10th, 11th, and 13th floors. Included in Phase III was abatement of amosite ceiling tile on the 11th floor. Phase IV will provide for the installation of sprinklers and alarm system for the 1st through the 9th, and 12th floors. Spot asbestos abatement is not required on the 6th and 7th floors due to prior asbestos abatement.",This facility currently does not comply with Council Ordinance O-17172 requiring sprinkler retrofitting for high-rise buildings.,0,0,0,0,0,0,0,5000000,,,6198000,0,
2009,141,Engineering & Capital Projects,Facilities - Eng,Martin Luther King Jr Community Park - Recreation Center Roof Replacement,29-914.0,Council District: 4; Community Plan: Southeastern San Diego,150115,180328,"This project provides for the replacement of approximately 11,000 square feet of asphalt concrete shingle roof at the Martin Luther King Junior Community Park Recreation Center.","This project provides for the necessary roof replacement to prevent further water damage, during inclimate weather, to the Martin Luther King Junior Community Park Recreation Center.",0,0,0,0,0,0,0,0,,,150115,-30213,
2009,142,Engineering & Capital Projects,Storm Drains/Flood Control,Carmel Country Road Low Flow Channel,12-162.0,Council District: 1; Community Plan: Carmel Valley,500000,2212000,This project provides a permanent hard bottom low flow channel from Carmel Country Road to the first drop structure west.,This project will provide for relief of water ponding under the Carmel Country Road Bridge and to the east of the bridge on the Palacio Del Mar property. This condition has created a health and safety issue for area residents.,500000,1212000,0,0,0,0,0,0,2010,2011,2212000,0,
2009,143,Engineering & Capital Projects,Storm Drains/Flood Control,Famosa Slough Salt Marsh Restoration,12-152.0,Council District: 2; Community Plan: Peninsula,266000,288000,This project provides for 0.64 acres of tidal salt marsh habitat and associated upland buffer as mitigation for impacts to 0.1 acres of coastal salt marsh by the Sorrento West channel clearing project resulting from the El Nino storms of 1997. The mitigation site is located on the tidal channel that is north of West Point Loma Boulevard. The high area adjacent to an access road will be graded to the elevation of the existing salt marsh habitat and will be planted with salt marsh plant species.,"The 0.64 acre mitigation project in Famosa Slough is required by the Army Corps of Engineers, Coastal Commission, and California Department of Fish and Game permits and agreements. The Famosa Slough was chosen as the mitigation site because opportunities for coastal salt marsh mitigation in the Los Penasquitos Lagoon have been exhausted. This option utilizes an available, City-owned site within the Coastal Zone and is consistent with the 1993 Famosa Slough Enhancement Plan.",22000,0,0,0,0,0,0,0,2010,2010,288000,0,
2009,144,Engineering & Capital Projects,Storm Drains/Flood Control,Fashion Valley Road River Crossing,13-502.0,Council District: 6; Community Plan: Mission Valley,1877000,1877000,This project provides for the replacement of the failed corrugated metal pipes under the roadway at the San Diego River Crossing and for the restoration of the roadway.,"The road collapsed on December 30, 2004 due to the failure of six corrugated metal pipes under the roadway. The road is located in the floodplain zone and is, therefore, subject to inundation during heavy flows in the river as a result of high intensity rainfall. The road was repaired and in operation before the end of October 2005. The project is eligible for FHWA reimbursement.",0,0,0,0,0,0,0,0,,,1877000,0,
2009,145,Engineering & Capital Projects,Storm Drains/Flood Control,La Jolla Ecological Reserve Area of Special Biological Significance,12-160.0,Council District: 1; Community Plan: La Jolla,920000,1620000,This project provides low flow diversion systems for four storm drain outfalls that discharge directly into the La Jolla Ecological Reserve Area of Special Biological Significance (ASBS 29).,This project will address the stringent storm drain discharge water quality standards requried by the California Ocean Plan's Areas of Special Biological Significance requirements in the La Jolla Shores area.,700000,0,0,0,0,0,0,0,2010,2010,1620000,0,
2009,146,Engineering & Capital Projects,Storm Drains/Flood Control,Ransom Street and Darwin Way Storm Drain,11-302.0,Council District: 8; Community Plan: Otay Mesa/Nestor,937000,937000,This project provides for a replacement storm drain pipe at Darwin Way and Ransom Street. Approximately 490 feet of 42-inch and 610 feet of 24 inch corrugated metal pipe will be replaced with reinforced concrete pipe.,The existing corrugated metal pipe under Darwin Way and Ransom Street is badly corroded and has created sinkholes on Ransom Street. Replacement is needed to prevent flooding of the streets.,0,0,0,0,0,0,0,0,,,937000,0,
2009,147,Engineering & Capital Projects,Storm Drains/Flood Control,Storm Station Improvements,12-127.0,Council District: 2; Community Plan: Mission Beach,1885666,1885666,This project provides for eliminating the submerged outfall and for relocating and/or modifying the existing control system at the storm water pumping station at Santa Clara Point in Mission Beach.,"This station has not operated reliably. This project will improve the reliability of the pump station, thus preventing potential flooding of City streets.",0,0,0,0,0,0,0,0,,,1885666,0,
2009,148,Engineering & Capital Projects,Storm Drains/Flood Control,Talbot Street Slope,13-501.0,Council District: 2; Community Plan: Peninsula,1448157,3448157,This project provides for the stabilization of the slope adjacent to Talbot Street at Martinez Street.,The winter storms of 2004 and 2005 eroded the steep slope adjacent to Talbot Street and threatened the houses at the top of the slope. This project is eligible for Federal Highways Adminstration (FHWA) reimbursement.,2000000,0,0,0,0,0,0,0,2010,2010,3448157,0,
