cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
2018,Bldg - Operations Facility / Structures,94,Citywide,101 Ash Improvements,2019,2019,Council District: 3; Community Plan: Centre City,18005383,25880408,"This project provides for the architectural, electrical, plumbing, asbestos mitigation and mechanical tenant improvements to the 19 floors of 101 Ash Street for multiple City Departments, including tenants of the City Operations Building and former tenants of 1010 2nd Ave Building. Improvements will increase building’s occupancy and bring the building into compliance with current Americans With Disabilities Act (ADA) standards.","These tenant improvements are needed to increase the occupancy of the building by approximately 356 employees and accommodate the office space requirements for a development permit center, as well as several City Departments. These improvements will provide the needed office space for the more than 500 employees that were displaced from the 1010 2nd Ave Building along with Development Services staff from the City Operations Building, which based on a 2014 estimate has more than $90 million in deferred maintenance. The City estimates $43 million in savings over a 20-year period, after accounting for the cost of these improvements and the lease-to-own agreement for the building, when compared to obtaining outside lease space in the Downtown area.",0,7875024,0,0,0,0,0
2018,Intangible Assets Information Tech,95,Citywide,Centralized Payment Processing Solution,,,,255000,255000,This project will provide a consolidated online payment and cashiering solution for the City. Phase one will impact the City Treasurer and the Public Utilities Department.,Phase I will consolidate online payment processes from multiple back-end programs which will provide a higher higher quality service to the public.,0,0,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,96,Citywide,CIP Emergency Reserve,,,Council District: Citywide; Community Plan: Citywide,1000000,1000000,This annual allocation provides funding for urgent repairs due to an emergency or natural disaster.,This annual allocation provides an immediate source of funding for public works contracts to respond quickly to an emergency or natural disaster.,0,0,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,97,Environmental Services,Citywide Energy Improvements,,,Council District: Citywide; Community Plan: Citywide,31003714,31003715,"This annual allocation will provide for energy efficiency improvements in City facilities. Projects typically address lighting, air conditioning, chiller, pumping and fan systems, invertors, and City-owned solar systems. Newer, more efficient technologies greatly reduce energy consumption.","Energy efficiency improvements repay capital costs in one to nine years, depending upon the project. The energy savings continue each year thereafter. Energy audits are performed in a variety of City-owned facilities to identify opportunities for energy savings.",0,0,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,98,Citywide,Convention Center Phase III Expansion,,,Council District: 3; Community Plan: Centre City,3370820,685011298,"This project provides for the expansion of the existing San Diego Convention Center. The expansion will increase the existing leasable space by approximately 225,000 square feet of exhibit hall, 101,000 square feet of meeting rooms, and 80,000 square feet of ballrooms for an approximate total of 406,000 square feet.","The existing facility cannot accommodate some of the larger major events, which leads to the loss of events to other venues. The expansion is expected to increase the attendance and numbers of events held at the facility and provide significant economic benefits to the region.",681640478,0,0,0,0,0,0
2018,Intangible Assets Information Tech,99,Citywide,Enterprise Funded IT Projects,2019,2019,,0,1514000,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with enterprise funding sources. Individual projects are expected result in a city-owned asset, which can include but is not limited to equipment, system interfaces and intellectual property.","This annual allocation provides for improvements and enhancements to IT projects that are solely funded with enterprise resources, and allows for increased reporting on these projects. Projects are also expected to have a duration longer than one fiscal year.",0,1514000,0,0,0,0,0
2018,Intangible Assets Information Tech,100,Citywide,311 Enhancements,2019,2019,,0,550000,This project provides for enhancements and upgrades to the City’s 311 system that either provide enhanced benefits or extend the useful life of the system.,This project will continue making minor enhancements that were not included in the original scope of work or were identified after initial development.,0,550000,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,101,Citywide,Fleet Services Elect & Fac Improvements,,,Council District: 1 2 4; Community Plan: Clairemont Mesa; University,2081960,2081961,"This project will provide improvements at various Fleet Operations repair facilities. The improvements include: 1) Electrical upgrades at the Miramar and Rose Canyon Repair Facilities to support the repair and maintenance of heavy duty fire apparatus, 2) Upgrades to the egress/ingress access gates to improve security to those same facilities, 3) Improvements to various car and truck wash facilities including replacing and repairing pump systems, sprayers, brushes etc. and truck and car wash buildings/awnings and surroundings structures.",This project is necessary to properly equip the existing repair facilities to support the repair and maintenance of heavy fire apparatus due to the closing of the heavy Fire repair facility at 3870 Kearny Villa Road and the transfer of heavy Fire apparatus repair to the Rose Canyon and Miramar Repair Facilities. Heavy fire apparatus require access to shore power while they are parked to maintain the charge on the vehicle electronic equipment battery systems. Additionally the car and truck washes at 20th & B and the Chollas Operations Yard are non-functional and in need of replacement. The other car and truck washes require a variety of repairs and upgrades. Washing city vehicles is a storm water compliance requirement to keep debris from falling in the roadway and the repairs and replacements are necessary to remain in compliance with storm water regulations.,0,0,0,0,0,0,0
2018,Intangible Assets Information Tech,102,Citywide,Get It Done Expansion (311 Customer Exp),,,,3527784,3527785,"This project provides for the expansion of the current Get It Done pilot program. This project is a citywide, strategic initiative to improve customer service and the overall customer experience through the development and implementation of a cloud-based Customer","The project will create simple and easy ways for customers to Get It Done. External customers will be able to easily access information and request services from or report problems to the City. City employees will be able to find the right answers, complete work orders, and resolve customer contacts more quickly and easily. Lastly, improved contact center operations will allow for better coordination between departments for a more seamless customer experience.",0,0,0,0,0,0,0
2018,Intangible Assets Information Tech,103,Citywide,Governmental Funded IT Projects,2019,2019,,0,1158800,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with governmental funding sources. Individual projects are expected to have a duration longer than one fiscal year and result in a city-owned asset, which can include but is not limited to equipment, system interfaces and intellectual property.",,0,1158800,0,0,0,0,0
