cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,start_year,end_year,computed_total,residual,validation_label
2008,363,Metropolitan Wastewater,Sewer - Municipal,Harbor Drive Trunk Sewer Replacement,46-205.0,"Council District: 2, 8; Community Plan: Centre City",872186,14897158,"This project provides for upgrading and replacing existing portions of Harbor Drive trunk sewer with 15-inch, 18-inch, 48-inch, and 54-inch pipelines.","The existing trunk sewer has a portion constructed of techite pipeline, which has been prone to structural failure.",0,112486,112486,1000000,12800000,0,0,0,0,0,0,0,2009,2012,14897158,0,
2008,364,Metropolitan Wastewater,Sewer - Municipal,Lake Murray Trunk Sewer - In Canyon,46-197.9,Council District: 7; Community Plan: Navajo,1303305,15061084,This project provides for the replacement of three miles of existing trunk sewer and installation of maintenance access pathways.,This project provides for the upsizing of the trunk sewer to meet buildout capacity.,0,0,13757779,0,0,0,0,0,0,0,0,0,2010,2010,15061084,0,
2008,365,Metropolitan Wastewater,Sewer - Municipal,Miramar Road Trunk Sewer,46-195.8,"Council District: 7; Community Plan: Mira Mesa, University",5150567,5173965,This project provides for the replacement and upgrade of the Miramar Trunk Sewer.,"This project provides for upgrading the existing 15-inch diameter pipe to 18-inch diameter pipe in order to accommodate the flow from the Marine Corps Air Station, Miramar.",0,23398,0,0,0,0,0,0,0,0,0,0,2009,2009,5173965,0,
2008,366,Metropolitan Wastewater,Sewer - Municipal,Montezuma Trunk Sewer,46-196.9,Council District: 7; Community Plan: College Area,662774,3274200,"This project provides for the replacement and upgrade of a portion of the Montezuma Trunk Sewer. The project involves the relocation of approximately 1,610 feet of pipe at Camino Del Rio South and Fairmount Avenue.","A portion of this trunk sewer will be upgraded with a larger pipe to eliminate constrictions and have more capacity, while removing pipe from CALTRANS Row.",0,0,47292,2564134,0,0,0,0,0,0,0,0,2010,2011,3274200,0,
2008,367,Metropolitan Wastewater,Sewer - Municipal,Otay Mesa Trunk Sewer,40-930.0,Council District: 8; Community Plan: Otay Mesa,14334449,20334449,"In order to provide adequate sewage capacity and accommodate future growth in the Otay Mesa community, the City of San Diego and developers have entered into cooperative agreements to design and construct the Otay Mesa Trunk Sewer project. This is a multi-phased, major trunk sewer system to serve the Otay Mesa area as described in the 2004 Otay Mesa Sewer Master Plan and Alignment Study. The project constructs all sewer pipes 18-inches and larger and upgrades the existing pump station 23T. Phase 2A1 constructs 2,634 feet of 42-inch pipe in Old Otay Mesa Road. Phase 2A2 constructs a continuation of the pipe for another 4,282 feet. Phase 2B1 constructs a continuation of the pipe for another 6,180 feet to connect to the San Ysidro Trunk Sewer",The project will provide service for the future wastewater flows in the Otay Mesa Area.,0,0,6000000,0,0,0,0,0,0,0,0,0,2010,2010,20334449,0,
2008,368,Metropolitan Wastewater,Sewer - Municipal,Pump Station 84 Upgrade and Pump Station 62 Abandonment,41-939.0,"Council District: 1, 5; Community Plan: Rancho Bernardo, Rancho Penasquitos",54080,1903192,"This project provides for the possible elimination of Sewer Pump Station 62 through the installation of various pipelines and the upsizing of Sewer Pump Station 84, or upgrades to both pump stations depending on the most feasible option.",This project is needed to optimize the sewage system and possibly to eliminate Sewer Pump Station 62.,0,0,0,1849112,0,0,0,0,0,0,0,0,2011,2011,1903192,0,
2008,369,Metropolitan Wastewater,Sewer - Municipal,Pump Station Upgrades,41-929.0,Council District: Citywide; Community Plan: Citywide,5593137,19639091,"This project provides for the upgrade of 23 pump stations, divided into four groups, located throughout San Diego. The upgrades involve providing new and backup pumps and motors, new control panels, new generators, redundant force mains, underground storage tanks, and miscellaneous civil work.","This project will provide for the upgrading of deteriorated pump stations, improvement of the level of service to the residents of San Diego, and compliance with regulatory agencies by reducing the impact of sewer spills.",0,5577076,5367627,3101251,0,0,0,0,0,0,0,0,2009,2011,19639091,0,
2008,370,Metropolitan Wastewater,Sewer - Municipal,Sewer Pump Station 41 Rehabilitation,46-602.0,"Council District: 2, 6; Community Plan: Mission Bay Park",1540724,9078768,"This project provides for constructing a new pump station, emergency overflow storage structure, 2,200 linear feet of primary and secondary force main to be located in the right-of-way. The project includes the abandonment of the original pump station and existing force main currently located within the recreational space of Mission Bay Park.",The existing pump station and force main were built in 1953 and have exceeded their service life. The project's goal is to restore and improve the reliability of the pump station and bring it up to current standards and regulations. This project is mandated by the Environmental Protection Agency.,0,5137176,984026,1416842,0,0,0,0,0,0,0,0,2009,2011,9078768,0,
2008,371,Metropolitan Wastewater,Sewer - Municipal,South Mission Valley Trunk Sewer,40-931.0,Council District: 6; Community Plan: Mission Valley,1552064,10552064,"This project provides for Phase I replacement of the existing trunk sewer in Mission Valley and installing a larger trunk along approximately 3,500 feet of Taylor Street.",This project will increase the flow capacity of the South Mission Valley Trunk Sewer.,0,3500000,5500000,0,0,0,0,0,0,0,0,0,2009,2010,10552064,0,
2008,372,Metropolitan Wastewater,Sewer - Municipal,USIU Trunk Sewer,46-197.6,Council District: 7; Community Plan: Scripps Miramar Ranch,2602040,13257766,"This project provides for the replacement of the existing 2.2-mile trunk sewer and installation of maintenance access pathways and a junction structure at the United States International University. The trunk sewer starts on the west side of Interstate 15, proceeds east through Horse Ranch Canyon, and continues east on the edge of Pomerado Road to 400 feet east of Avenida Magnifica.",This project will provide for the rehabilitation of the trunk sewer to meet buildout capacity.,0,23397,72253,6927442,3632634,0,0,0,0,0,0,0,2009,2012,13257766,0,
